--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 1413b34 · 2026-07-24 17:22:14 UTC
  ~ auto-generated — do not edit
]]


"lang"
{
	"Language"		"portuguese"
"rune_giant_description_2" 		"Redução de Dano: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_giant_description_3" 		"Redução de Dano: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_titan_description_0" 		"Resistência a Efeitos: 10%/20%/30%"
"rune_titan_description_1" 		"Resistência a Efeitos: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_titan_description_2" 		"Resistência a Efeitos: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_titan_description_3" 		"Resistência a Efeitos: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_warrior_description_0" 		"Dano: 10%/20%/30%"
"rune_warrior_description_1" 		"Dano: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_warrior_description_2" 		"Dano: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_warrior_description_3" 		"Dano: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_cast_range_description_0" 	"Alcance de Conjuração adicional: 200/400/600"
"rune_cast_range_description_1" 	"Alcance de Conjuração adicional: <b><font color='#eabe10'>200</font></b>/400/600"
"rune_cast_range_description_2" 	"Alcance de Conjuração adicional: 200/<b><font color='#eabe10'>400</font></b>/600"
"rune_cast_range_description_3" 	"Alcance de Conjuração adicional: 200/400/<b><font color='#eabe10'>600</font></b>"
"rune_sentinel_description_0" 		"Redução de dano recebido de ataques: 5%/10%/15%"
"rune_sentinel_description_1" 		"Redução de dano recebido de ataques: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_sentinel_description_2" 		"Redução de dano recebido de ataques: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_sentinel_description_3" 		"Redução de dano recebido de ataques: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_antimagic_description_0" 		"Resistência mágica: 10%/20%/30%"
"rune_antimagic_description_1" 		"Resistência mágica: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_antimagic_description_2" 		"Resistência mágica: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_antimagic_description_3" 		"Resistência mágica: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_rebirth_description_0" 		"Vidas extras: 1/2/3"
"rune_rebirth_description_1" 		"Vidas extras: <b><font color='#eabe10'>1</font></b>/2/3"
"rune_rebirth_description_2" 		"Vidas extras: 1/<b><font color='#eabe10'>2</font></b>/3"
"rune_rebirth_description_3" 		"Vidas extras: 1/2/<b><font color='#eabe10'>3</font></b>"
"rune_knight_description_0" 		"Armadura: 10%/20%/30%"
"rune_knight_description_1" 		"Armadura: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_knight_description_2" 		"Armadura: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_knight_description_3" 		"Armadura: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_agility_description_0" 		"Agilidade: 5%/10%/15%"
"rune_agility_description_1" 		"Agilidade: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_agility_description_2" 		"Agilidade: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_agility_description_3" 		"Agilidade: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_evasion_description_0" 		"Evasão: 10%/20%/30%"
"rune_evasion_description_1" 		"Evasão: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_evasion_description_2" 		"Evasão: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_evasion_description_3" 		"Evasão: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_rage_description_0" 			"Aumento de todo dano causado: 5%/10%/15%"
"rune_rage_description_1" 			"Aumento de todo dano causado: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_rage_description_2" 			"Aumento de todo dano causado: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_rage_description_3" 			"Aumento de todo dano causado: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_monk_description_0" 			"Chance de evitar todo o dano: 5%/10%/15%"
"rune_monk_description_1" 			"Chance de evitar todo o dano: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_monk_description_2" 			"Chance de evitar todo o dano: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_monk_description_3" 			"Chance de evitar todo o dano: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_berserker_description_0" 		"Velocidade de Ataque Base: 1.5/1.4/1.3"
"rune_berserker_description_1" 		"Velocidade de Ataque Base: <b><font color='#eabe10'>1.5</font></b>/1.4/1.3"
"rune_berserker_description_2" 		"Velocidade de Ataque Base: 1.5/<b><font color='#eabe10'>1.4</font></b>/1.3"
"rune_berserker_description_3" 		"Velocidade de Ataque Base: 1.5/1.4/<b><font color='#eabe10'>1.3</font></b>"
"rune_hunter_description_0" 		"Alcance de Ataque Adicional: 100/200/300"
"rune_hunter_description_1" 		"Alcance de Ataque Adicional: <b><font color='#eabe10'>100</font></b>/200/300"
"rune_hunter_description_2" 		"Alcance de Ataque Adicional: 100/<b><font color='#eabe10'>200</font></b>/300"
"rune_hunter_description_3" 		"Alcance de Ataque Adicional: 100/200/<b><font color='#eabe10'>300</font></b>"
"rune_vampire_description_0" 		"Roubo de Vida: 5%/10%/15%"
"rune_vampire_description_1" 		"Roubo de Vida: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_vampire_description_2" 		"Roubo de Vida: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_vampire_description_3" 		"Roubo de Vida: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_speed_description_0" 			"Velocidade de Movimento: 10%/20%/30%"
"rune_speed_description_1" 			"Velocidade de Movimento: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_speed_description_2" 			"Velocidade de Movimento: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_speed_description_3" 			"Velocidade de Movimento: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_gold_description_0" 			"Gold Bônus: 5%/10%/15%"
"rune_gold_description_1" 			"Gold Bônus: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_gold_description_2" 			"Gold Bônus: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_gold_description_3" 			"Gold Bônus: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_sage_description_0" 			"Mana: 10%/20%/30%"
"rune_sage_description_1" 			"Mana: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_sage_description_2" 			"Mana: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_sage_description_3" 			"Mana: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_intellect_description_0" 		"Intelecto: 5%/10%/15%"
"rune_intellect_description_1" 		"Intelecto: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_intellect_description_2" 		"Intelecto: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_intellect_description_3" 		"Intelecto: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_restoration_description_0" 	"Regeneração de Mana: 1%/2%/3%"
"rune_restoration_description_1" 	"Regeneração de Mana: <b><font color='#eabe10'>1%</font></b>/2%/3%"
"rune_restoration_description_2" 	"Regeneração de Mana: 1%/<b><font color='#eabe10'>2%</font></b>/3%"
"rune_restoration_description_3" 	"Regeneração de Mana: 1%/2%/<b><font color='#eabe10'>3%</font></b>"
"rune_thought_description_0" 		"Redução de Recarga: 5%/10%/15%"
"rune_thought_description_1" 		"Redução de Recarga: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_thought_description_2" 		"Redução de Recarga: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_thought_description_3" 		"Redução de Recarga: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_curse_description_0" 			"Aumento da duração de efeitos negativos: 10%/20%/30%"
"rune_curse_description_1" 			"Aumento da duração de efeitos negativos: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_curse_description_2" 			"Aumento da duração de efeitos negativos: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_curse_description_3" 			"Aumento da duração de efeitos negativos: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_spell_description_0" 			"Dano de Habilidades: 10%/20%/30%"
"rune_spell_description_1" 			"Dano de Habilidades: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_spell_description_2" 			"Dano de Habilidades: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_spell_description_3" 			"Dano de Habilidades: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_cleansing_description_0" 		"Redução de custo e perda de mana: 10%/20%/30%"
"rune_cleansing_description_1" 		"Redução de custo e perda de mana: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_cleansing_description_2" 		"Redução de custo e perda de mana: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_cleansing_description_3" 		"Redução de custo e perda de mana: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_sorcerer_description_0" 		"Roubo de vida por feitiços: 5%/10%/15%"
"rune_sorcerer_description_1" 		"Roubo de vida por feitiços: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_sorcerer_description_2" 		"Roubo de vida por feitiços: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_sorcerer_description_3" 		"Roubo de vida por feitiços: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_barrier_description_0" 		"Concede uma barreira permanente que absorve qualquer dano: 10%/20%/30% da Vida e Mana máximas <br><br> Tempo de recarga: 20 seg."
"rune_barrier_description_1" 		"Concede uma barreira permanente que absorve qualquer dano: <b><font color='#eabe10'>10%</font></b>/20%/30% da Vida e Mana máximas <br><br> Tempo de recarga: 20 seg."
"rune_barrier_description_2" 		"Concede uma barreira permanente que absorve qualquer dano: 10%/<b><font color='#eabe10'>20%</font></b>/30% da Vida e Mana máximas <br><br> Tempo de recarga: 20 seg."
"rune_barrier_description_3" 		"Concede uma barreira permanente que absorve qualquer dano: 10%/20%/<b><font color='#eabe10'>30%</font></b> da Vida e Mana máximas <br><br> Tempo de recarga: 20 seg."
"rune_creator_description_0" 		"Rerolls adicionais de itens neutros e amuletos: 2/4/6"
"rune_creator_description_1" 		"Rerolls adicionais de itens neutros e amuletos: <b><font color='#eabe10'>2</font></b>/4/6"
"rune_creator_description_2" 		"Rerolls adicionais de itens neutros e amuletos: 2/<b><font color='#eabe10'>4</font></b>/6"
"rune_creator_description_3" 		"Rerolls adicionais de itens neutros e amuletos: 2/4/<b><font color='#eabe10'>6</font></b>"

"rune_replenishment_description_0" 	"Aumento da regeneração de vida: 10%/20%/30%"
"rune_replenishment_description_1" 	"Aumento da regeneração de vida: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_replenishment_description_2" 	"Aumento da regeneração de vida: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_replenishment_description_3" 	"Aumento da regeneração de vida: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_time_description_0" 			"Aumento da duração da rodada: 10/20/30 seg."
"rune_time_description_1" 			"Aumento da duração da rodada: <b><font color='#eabe10'>10</font></b>/20/30 seg."
"rune_time_description_2" 			"Aumento da duração da rodada: 10/<b><font color='#eabe10'>20</font></b>/30 seg."
"rune_time_description_3" 			"Aumento da duração da rodada: 10/20/<b><font color='#eabe10'>30</font></b> seg."
"rune_radius_description_0" 		"Raio de feitiços: 100/200/300"
"rune_radius_description_1" 		"Raio de feitiços: <b><font color='#eabe10'>100</font></b>/200/300"
"rune_radius_description_2" 		"Raio de feitiços: 100/<b><font color='#eabe10'>200</font></b>/300"
"rune_radius_description_3" 		"Raio de feitiços: 100/200/<b><font color='#eabe10'>300</font></b>"

"battlepass_level_ads_1"		"Nível 50"
"battlepass_name_ads_1"			"Morto por Dentro"
"battlepass_desc_ads_1"			"Fundo de Perfil"
"battlepass_level_ads_2"		"Nível 75"
"battlepass_name_ads_2"			"Classificação em Dobro"
"battlepass_desc_ads_2"			"Ficha"
"battlepass_level_ads_3"		"Nível 100"
"battlepass_name_ads_3"			"Cabeça Rosa do Portal"
"battlepass_desc_ads_3"			"Efeito"
"battlepass_level_ads_4"		"Nível 200"
"battlepass_name_ads_4"			"Flopjaw, o Cãixa"
"battlepass_desc_ads_4"			"Companheiro"


"hours_count"				"Horas no jogo: "
"bp_coins_25"				"25 Moedas"
"bp_coins_100"				"100 Moedas"
"bp_coins_500"				"500 Moedas"
"bp_coins_1150"				"1150 Moedas"
"bp_double_token"			"Classificação Dupla"
"bp_woda_plus"				"WODA Plus 1 Dia"
"double_rating_title"		"Classificação Dupla?"



"player_connect_no_data"		"Sem conexão com o servidor.<br>As estatísticas da partida não serão registradas.<br>Você pode sair do jogo."
"is_game_free_disconnect"		"Vários jogadores saíram da partida.<br>As estatísticas da partida não serão registradas.<br>Você pode sair do jogo."
"is_game_free_disconnect_team_detected"		"Jogadores em grupo detectados nesta partida.<br>As estatísticas da partida não serão registradas.<br>Você pode sair do jogo."
"player_connect_no_8"			"Menos de 7 jogadores no lobby.<br>As estatísticas da partida não serão registradas.<br>Você pode sair do jogo."
"is_game_free_disconnect_low_rating_detected"		"Dois jogadores têm classificação baixa.<br>As estatísticas da partida não serão registradas.<br>Você pode sair do jogo."
"Player_Leaved"					"Você saiu da partida. Punição: jogar com um Herói Aleatório."
"give_free_reward"				"Recompensa Diária"
"give_free_reward_description"	"Entre no jogo todos os dias para receber 10 Moedas gratuitamente."
"shop_error_you_get_reward"		"Erro"
"wave"							"Onda "
"season"						"Temporada"
"woda_universal"				"Universais"
"player_banned"					"Você recebeu muitas denúncias por jogo em equipe.<br>Punição: jogar com um Herói Aleatório."
"report_button_description"		"Denunciar"
"player_banned_die"				"Você recebeu muitas denúncias por jogo em equipe.<br>Punição: banimento de jogos em grupo por 24 horas."
"lose_duel"						"O perdedor deste duelo será eliminado do jogo."
"not_lose_duel"					"Ninguém será eliminado após este duelo."
"button_top_profile"			"Perfil"
"button_top_shop"				"Loja"
"button_top_leaderboard"		"Ranking"
"subscribe_information"			"WODA Plus abre novas possibilidades no jogo: <br> + 100% de Bônus de Moedas por Jogos <br> + Acesso a Missões <br> + Estatísticas de Dano <br> + 100% de Bônus de Evolução de Heróis <br> + 100% de Bônus de Evolução do Passe de Batalha"
"localize_rank_info"			"Jogue e ganhe moedas com este herói para aumentar seu Rank. <br><br> <b><font color='#81b6f3'>Platina:</font></b> <br> Reduz todo o dano recebido por este herói no modo Arena em 10% <br><br> <b><font color='#9f5abc'>Mestre:</font></b> <br> Aumenta todo o dano causado por este herói no modo Arena em 10% <br><br> <b><font color='#e01232'>Grão-Mestre:</font></b> <br> Aumenta as moedas ganhas em partidas com este herói: 1"

"donaters_coins"				"Doadores"
"donate_button_leaderboard"		"Comprar"
"Leaderboard_coins_col"			"MOEDAS"
"coins_donaters_description"	"O World of Dota é um projeto que existe exclusivamente graças às doações dos jogadores. Compre moedas no site oficial para entrar na lista. A comunidade precisa conhecer seus heróis!"

"notification_pve_players_hard_1"		"Dificuldade: 1 Jogador"
"notification_pve_players_hard_2"		"Dificuldade: 2 Jogadores"
"notification_pve_players_hard_3"		"Dificuldade: 3 Jogadores"
"notification_pve_players_hard_4"		"Dificuldade: 4 Jogadores"


"how_to_upgrade_talent" 		"<font color='#eabe10'>Para desbloquear este talento, é necessário aprender</font>"
"how_to_upgrade_str"    		"<font color='#eabe10'>talentos na árvore de Força.</font>"
"how_to_upgrade_agi"    		"<font color='#eabe10'>talentos na árvore de Agilidade.</font>"
"how_to_upgrade_int"    		"<font color='#eabe10'>talentos na árvore de Inteligência.</font>"
"how_to_upgrade_talent_unique" 	"<font color='#eabe10'>Para desbloquear este talento, é necessário aprender o talento anterior relacionado.</font>"

"hints_1_description"		"Não se esqueça de melhorar os talentos do seu herói para não ficar atrás dos outros jogadores. O botão de talentos fica ao lado do retrato do herói."
"hints_2_description"		"A cada nível ganho, o herói recebe 1 ponto de talento. Você pode ganhar mais 10 pontos completando a barra no canto inferior direito da tela. O número máximo de talentos por herói é 40."
"hints_3_description"		"No World of Dota, qualquer herói pode mudar seu atributo principal."
"hints_4_description"		"Nos modos Classificação e Classificação Duo, após cada arena os piores jogadores vão para o duelo. Os perdedores podem ser eliminados do jogo."
"hints_5_description"		"Se você escolher um herói aleatório, começará a partida com 100 de ouro bônus."
"hints_6_description"		"Se você acertar o vencedor do duelo nos modos Classificação e Classificação Duo, a barra de talentos será preenchida com 4 e 8 unidades, respectivamente."
"hints_7_description"		"Você ganha Moedas em cada partida no World of Dota. Elas podem ser usadas para comprar itens cosméticos ou votar em novos heróis."
"hints_8_description"		"WODA Plus abre novas possibilidades no jogo: \n + 100% de Bônus de Moedas por Jogos \n + Acesso a Missões + Estatísticas de Dano \n + 100% de Bônus de Evolução de Heróis + 100% de Bônus de Evolução do Passe de Batalha"
"hints_9_description"		"Não há invisibilidade no World of Dota. Em vez disso, habilidades com invisibilidade oferecem outros bônus."
"hints_10_description"		"O duelo final nos modos Classificação e Classificação Duo é no formato Melhor de 3. Ou seja, até uma equipe vencer duas vezes."
"hints_11_description"		"Nos modos Classificação e Classificação Duo, após cada arena você pode escolher entre cinco bônus: item neutro, encantamento ou ouro."
"hints_12_description"		"Fique de olho no tempo no canto superior direito da tela. Esse menu mostra a fase atual do jogo."
"hints_13_description"		"Cada monstro tem uma pequena chance de se tornar um Campeão Azul ou Vermelho. Eles concedem mais ouro e experiência, além de preencher a barra de talentos."
"hints_14_description"		"Em vez de monstros normais, há uma pequena chance de encontrar o Porco Dourado ou o Sapo Gelado. Eles morrem em 3 ataques e concedem muito ouro ou experiência."
"hints_15_description"		"Se você conseguir 5 abates consecutivos nos modos Classificação ou Classificação Duo, passará a ser caçado. Você será visível para todos no mapa até morrer ou até o fim da arena atual."
"hints_16_description"		"Nos modos Classificação e Classificação Duo, um Chefe aparece nas Arenas 3 e 5. Os Chefes são visíveis para todos no mapa e concedem muito ouro ou experiência."
"hints_17_description"		"Se você clicar no ícone do herói no menu superior enquanto segura a tecla Alt, você irá TIPá-lo. Os TIPs podem ser personalizados no perfil do jogador."
"hints_18_description"		"Existem mais de 30 itens únicos e novos no World of Dota. Recomendamos que você os conheça antes de começar a jogar."
"hints_19_description"		"No World of Dota, itens neutros e encantamentos são separados. Você pode combiná-los como quiser."
"hints_20_description"		"Itens neutros podem ser vendidos manualmente. Ao escolher um novo item neutro ou encantamento, os antigos são vendidos automaticamente por metade do valor."
"hints_21_description"		"No World of Dota, você não precisa comprar Sentry Ward e Observer Ward. Eles são reabastecidos automaticamente ao fim de cada arena. O máximo de sentinelas por tipo é 3."
"hints_22_description"		"Clicando no ícone do herói no menu superior, você verá seus talentos principais."
