--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 16fdfbc · 2026-08-07 21:47:55 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
DOTA_Tooltip_sl_modifier_bless_10053_cd,充能护盾 - 冷却中,Charged Shield - Cooldown,Заряженный щит — перезарядка,福佑-10053
DOTA_Tooltip_sl_modifier_bless_10066,折磨王,Sadist,Садист,福佑-10066
DOTA_Tooltip_sl_modifier_bless_10066_Description,提升%fMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%基础攻击力和%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%技能增强,Increases Base Attack Damage by %fMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% and Spell Amp by %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%,Увеличивает базовый урон на %fMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% и усиление заклинаний на %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%,福佑-10066
DOTA_Tooltip_sl_modifier_bless_10067,EM大师,Escape Master,Мастер побега,福佑-10067
DOTA_Tooltip_sl_modifier_bless_10067_Description,看EM直播，做枫一样的男子,"Watch EM stream, be a man like the wind","Смотри стрим EM, будь мужиком как ветер",福佑-10067
DOTA_Tooltip_sl_modifier_bless_10072,我叫磁力棒 - 冷却中,Self-destruct - Cooldown,Самоуничтожение — перезарядка,福佑-10072
DOTA_Tooltip_sl_modifier_bless_10073,焚诀,Burn Attack,Огненная атака,福佑-10073
DOTA_Tooltip_sl_modifier_bless_10073_Description,每秒受到%fMODIFIER_PROPERTY_TOOLTIP%%%最大生命值的魔法伤害,Takes %fMODIFIER_PROPERTY_TOOLTIP%%% of Max Health as Magic Damage per second,Получает магический урон в размере %fMODIFIER_PROPERTY_TOOLTIP%%% от макс. здоровья в секунду,福佑-10073
DOTA_Tooltip_sl_modifier_bless_10073_display,焚诀,Burn Attack,Огненная атака,福佑-10073显示层数
DOTA_Tooltip_sl_modifier_bless_10073_display_Description,每秒受到%fMODIFIER_PROPERTY_TOOLTIP%%%最大生命值的魔法伤害,Takes %fMODIFIER_PROPERTY_TOOLTIP%%% of Max Health as Magic Damage per second,Получает магический урон в размере %fMODIFIER_PROPERTY_TOOLTIP%%% от макс. здоровья в секунду,福佑-10073显示层数
DOTA_Tooltip_sl_modifier_bless_10075_display,持久战,War of Attrition,Затяжная война,福佑-10075显示输出提升
DOTA_Tooltip_sl_modifier_bless_10075_display_Description,输出提升：%fMODIFIER_PROPERTY_TOOLTIP%%%,Damage Boost: %fMODIFIER_PROPERTY_TOOLTIP%%%,Усиление урона: %fMODIFIER_PROPERTY_TOOLTIP%%%,福佑-10075显示输出提升
DOTA_Tooltip_sl_modifier_bless_10078,你爹来啰,Ultimate Shield,Абсолютный щит,福佑-10078
DOTA_Tooltip_sl_modifier_bless_10078_Description,获得护盾且移速+%dMODIFIER_PROPERTY_TOOLTIP%,Grants shield and +%dMODIFIER_PROPERTY_TOOLTIP% Move Speed,Даёт щит и +%dMODIFIER_PROPERTY_TOOLTIP% к скор. передвижения,福佑-10078
DOTA_Tooltip_sl_modifier_bless_10078_cd,你爹来啰 - 冷却中,Ultimate Shield - Cooldown,Абсолютный щит — перезарядка,福佑-10078
DOTA_Tooltip_sl_modifier_bless_10079,?,?,?,福佑-10079
DOTA_Tooltip_sl_modifier_bless_10079_Description,移速/攻速/冷却+%dMODIFIER_PROPERTY_TOOLTIP%%%,Move Speed/Attack Speed/Cooldown +%dMODIFIER_PROPERTY_TOOLTIP%%%,Скор. передв./Скор. атаки/Перезарядка +%dMODIFIER_PROPERTY_TOOLTIP%%%,福佑-10079
DOTA_Tooltip_sl_modifier_bless_10080_display,剑心犹在,Sword Heart Remains,Сердце меча,福佑-10080显示
DOTA_Tooltip_sl_modifier_bless_10080_display_Description,主属性+%dMODIFIER_PROPERTY_TOOLTIP%,Primary Attribute +%dMODIFIER_PROPERTY_TOOLTIP%,Бонус к основной характеристике: %dMODIFIER_PROPERTY_TOOLTIP%,福佑-10080显示
DOTA_Tooltip_sl_modifier_bless_10081_debuff,水平下降一万倍,Persuasion,Приручение,福佑-10081
DOTA_Tooltip_sl_modifier_bless_10081_debuff_Description,伤害输出 -%dMODIFIER_PROPERTY_TOOLTIP%%%,Damage Output -%dMODIFIER_PROPERTY_TOOLTIP%%%,Исходящий урон -%dMODIFIER_PROPERTY_TOOLTIP%%%,福佑-10081
DOTA_Tooltip_sl_modifier_bless_10086_cd,剑来 - 冷却中,Flying Sword - Cooldown,Летающий меч — перезарядка,福佑-10086
DOTA_Tooltip_sl_modifier_bless_10087,我要做赵高,Endure,Терпение,福佑-10087
DOTA_Tooltip_sl_modifier_bless_10087_Description,伤害输出+%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%<br>最大生命值+%fMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%,Damage Output +%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%<br>Max Health +%fMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%,Исходящий урон +%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%<br>Макс. здоровье +%fMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%,福佑-10087
DOTA_Tooltip_sl_modifier_bless_10090_debuff,凭什么和我打,Frontal Combat,Фронтальный бой,福佑-10090
DOTA_Tooltip_sl_modifier_bless_10090_debuff_Description,无法回复生命,Cannot regenerate health,Не может восстанавливать здоровье,福佑-10090
DOTA_Tooltip_sl_modifier_bless_10101,重装法师,Heavy Mage,Тяжёлый маг,福佑-10101
DOTA_Tooltip_sl_modifier_bless_10101_Description,技能增强：%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%,Spell Amplification: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%,Усиление заклинаний: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%,福佑-10101
DOTA_Tooltip_sl_modifier_bless_10102,抗压,Revenge,Месть,福佑-10102
DOTA_Tooltip_sl_modifier_bless_10102_Description,基础攻击力：%fMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%<br>技能增强：%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%,Base Attack Damage: %fMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%<br>Spell Amplification: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%,Базовый урон от атаки: %fMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%<br>Усиление заклинаний: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%,福佑-10102
DOTA_Tooltip_sl_modifier_bless_10103_cd,没到点子上 - 冷却中,On the Edge - Cooldown,На волоске — перезарядка,
DOTA_Tooltip_sl_modifier_bless_10105,放手一搏,Killing Rhythm,Ритм убийства,福佑-10105
DOTA_Tooltip_sl_modifier_bless_10105_Description,伤害输出+%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%<br>承受伤害+%fMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%,Damage Output +%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%<br>Incoming Damage +%fMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%,Исходящий урон +%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%<br>Получаемый урон +%fMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%,福佑-10105
DOTA_Tooltip_sl_modifier_bless_10115,月亮井的祝福 - 冷却中,Blessing of the Moonwell - Cooldown,Благословение лунного колодца — перезарядка,福佑-10115
DOTA_Tooltip_sl_modifier_bless_10118_show,马猴烧酒,Magical Girl,Девочка-волшебница,
DOTA_Tooltip_sl_modifier_bless_10120,端水,Subsidy,Субсидия,福佑-10120
DOTA_Tooltip_sl_modifier_bless_10120_Description,伤害输出+%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%,Damage Output +%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%,Исходящий урон +%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%,福佑-10120
DOTA_Tooltip_sl_modifier_bless_10130,观察烟斗强化 - 最大生命值,Pipe of Insight Upgrade - Max Health,Улучшение: Pipe of Insight: макс. здоровье,
DOTA_Tooltip_sl_modifier_bless_10130_immune,观察烟斗强化 - 减益免疫,Pipe of Insight Upgrade - Debuff Immunity,Улучшение: Pipe of Insight: невосприимчивость к эффектам,
DOTA_Tooltip_sl_modifier_bless_10131,否决坠饰强化,Nullifier Upgrade,Улучшение: Nullifier,福佑-10131
DOTA_Tooltip_sl_modifier_bless_10131_Description,总攻击力+%fMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%,+%fMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%% Total Damage,+%fMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%% к общему урону,福佑-10131
DOTA_Tooltip_sl_modifier_bless_10131_debuff,否决坠饰强化,Nullifier Upgrade,Улучшение: Nullifier,福佑-10131
DOTA_Tooltip_sl_modifier_bless_10131_debuff_Description,移动速度-%fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%,-%fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% Movement Speed,-%fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% к скорости передвижения,福佑-10131
DOTA_Tooltip_sl_modifier_bless_10132,黯灭思维 - 攻击,Desolator Upgrade - Damage,Улучшение: Desolator: урон,福佑-10132
DOTA_Tooltip_sl_modifier_bless_10135,鱼叉强化,Harpoon Upgrade,Улучшение: Harpoon,
DOTA_Tooltip_sl_modifier_bless_10135_Description,基础攻击力+%fMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%,+%fMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% Base Attack Damage,+%fMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% к базовому урону,
DOTA_Tooltip_sl_modifier_bless_10135_debuff,鱼叉强化,Harpoon Upgrade,Улучшение: Harpoon,
DOTA_Tooltip_sl_modifier_bless_10135_debuff_Description,被束缚,Leashed,Оцепенение,
DOTA_Tooltip_sl_modifier_bless_10137_cd,杰哥不要啊 - 冷却中,Nooo - Cooldown,Не надо — перезарядка,福佑-10137
DOTA_Tooltip_sl_modifier_bless_10138,魔法少女,Magical Girl,Девочка-волшебница,福佑-10138
DOTA_Tooltip_sl_modifier_bless_10138_Description,技能增强：%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% / %fMODIFIER_PROPERTY_TOOLTIP%%%,Spell Amp: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% / %fMODIFIER_PROPERTY_TOOLTIP%%%,Усиление заклинаний: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% / %fMODIFIER_PROPERTY_TOOLTIP%%%,福佑-10138
DOTA_Tooltip_sl_modifier_bless_10141,斗战神,God of War,Бог войны,福佑-10141
DOTA_Tooltip_sl_modifier_bless_10141_Description,总攻击力+%fMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%<br>移动速度+%fMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%,+%fMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%% Total Damage<br>+%fMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% Movement Speed,+%fMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%% к общему урону<br>+%fMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% к скорости передвижения,福佑-10141
DOTA_Tooltip_sl_modifier_bless_10141_debuff,斗战神,God of War,Бог войны,福佑-10141
DOTA_Tooltip_sl_modifier_bless_10141_debuff_Description,护甲-%fMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%,-%fMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% Armor,-%fMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% к броне,福佑-10141
DOTA_Tooltip_sl_modifier_bless_10143,吃人,Book of Kills,Книга убийств,福佑-10143
DOTA_Tooltip_sl_modifier_bless_10143_Description,肥美力量：%fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%<br>爽口敏捷：%fMODIFIER_PROPERTY_STATS_AGILITY_BONUS%<br>香甜智力：%fMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%,Savory Strength: %fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%<br>Scrumptious Agility: %fMODIFIER_PROPERTY_STATS_AGILITY_BONUS%<br>Sweet Intelligence: %fMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%,Питательная сила: %fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%<br>Вкусная ловкость: %fMODIFIER_PROPERTY_STATS_AGILITY_BONUS%<br>Сладкий интеллект: %fMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%,福佑-10143
DOTA_Tooltip_sl_modifier_bless_10143a,吃人（sp：力量）,Book of Kills (Strength),Книга убийств (Сила),福佑-10143a
DOTA_Tooltip_sl_modifier_bless_10143a_Description,肥美力量：%fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%,Savory Strength: %fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%,Питательная сила: %fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%,福佑-10143a
DOTA_Tooltip_sl_modifier_bless_10143b,吃人（sp：敏捷）,Book of Kills (Agility),Книга убийств (Ловкость),福佑-10143b
DOTA_Tooltip_sl_modifier_bless_10143b_Description,爽口敏捷：%fMODIFIER_PROPERTY_STATS_AGILITY_BONUS%,Scrumptious Agility: %fMODIFIER_PROPERTY_STATS_AGILITY_BONUS%,Вкусная ловкость: %fMODIFIER_PROPERTY_STATS_AGILITY_BONUS%,福佑-10143b
DOTA_Tooltip_sl_modifier_bless_10143c,吃人（sp：智力）,Book of Kills (Intelligence),Книга убийств (Интеллект),福佑-10143c
DOTA_Tooltip_sl_modifier_bless_10143c_Description,香甜智力：%fMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%,Sweet Intelligence: %fMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%,Сладкий интеллект: %fMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%,福佑-10143c
DOTA_Tooltip_sl_modifier_bless_10144,百年孤独,Solitary Sword Technique,Техника одинокого меча,
DOTA_Tooltip_sl_modifier_bless_10144_Description,攻击速度+%fMODIFIER_PROPERTY_ATTACKSPEED_PERCENTAGE%%%,+%fMODIFIER_PROPERTY_ATTACKSPEED_PERCENTAGE%%% Attack Speed,+%fMODIFIER_PROPERTY_ATTACKSPEED_PERCENTAGE%%% к скорости атаки,
DOTA_Tooltip_sl_modifier_bless_10145,狼王内丹,Arcana Pill,Пилюля Арканы,
DOTA_Tooltip_sl_modifier_bless_10145_Description,冷却时间减少+%fMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%%,+%fMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%% Cooldown Reduction,+%fMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%% к сокращению перезарядки,
DOTA_Tooltip_sl_modifier_bless_10147,铁头娃,Iron Head,Железная голова,
