--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 0b85d8d 
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
DOTA_Tooltip_sl_modifier_rune_assassin,<font color='#ffffff'>射手</font>,<font color='#ffffff'>Marksman</font>,<font color='#ffffff'>Стрелок</font>,射手
DOTA_Tooltip_sl_modifier_rune_assassin_description,<font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font>,<font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font>,<font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font>,射手
rune_ranger_desc,游侠<br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力<br>每点敏捷或力量提升<font color='#83d18a'> {hp_per_agi_str}</font> 生命值,Ranger<br>Each point of Agility grants <font color='#ffffff'>{batk_per_agi}</font>  Base Attack Damage<br> and Agility or Strength grants <font color='#ffffff'>{hp_per_agi_str}</font>  Health,Следопыт<br>Единица ловкости даёт <font color='#ffffff'>{batk_per_agi}</font> к базовому урону<br> а ловкость или сила — <font color='#ffffff'>{hp_per_agi_str}</font>  к здоровью,游侠
DOTA_Tooltip_sl_modifier_rune_ranger,<font color='#ffffff'>游侠</font>,<font color='#ffffff'>Ranger</font>,<font color='#ffffff'>Следопыт</font>,游侠
DOTA_Tooltip_sl_modifier_rune_ranger_description,<font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font>,<font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font>,<font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font>,游侠
rune_spellblade_desc,魔剑<br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力<br>每点敏捷或智力提升<font color='#83d18a'> {amp_per_agi_int}%</font> 技能增强,Spellblade<br>Each point of Agility grants <font color='#ffffff'>{batk_per_agi}</font>  Base Attack Damage<br> and Agility or Intelligence grants <font color='#ffffff'>{amp_per_agi_int}%</font>  Spell Amplification,Клинок магии<br>Единица ловкости даёт <font color='#ffffff'>{batk_per_agi}</font> к базовому урону<br> а ловкость или интеллект — <font color='#ffffff'>{amp_per_agi_int}%</font>  к усилению способностей,魔剑
DOTA_Tooltip_sl_modifier_rune_spellblade,<font color='#ffffff'>魔剑</font>,<font color='#ffffff'>Spellblade</font>,<font color='#ffffff'>Клинок магии</font>,魔剑
DOTA_Tooltip_sl_modifier_rune_spellblade_description,<font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,魔剑
rune_wizard_desc,法师<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强,Wizard<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font>  Spell Amplification,Маг<br>Каждая единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font>  к усилению способностей,法师
DOTA_Tooltip_sl_modifier_rune_wizard,<font color='#ffffff'>法师</font>,<font color='#ffffff'>Wizard</font>,<font color='#ffffff'>Маг</font>,法师
DOTA_Tooltip_sl_modifier_rune_wizard_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,法师
rune_magic_warrior_desc,魔战<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或力量提升<font color='#83d18a'> {hp_per_int_str}</font> 生命值,Battlemage<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font>  Spell Amplification<br> and Intelligence or Strength grants <font color='#ffffff'>{hp_per_int_str}</font>  Health,Боевой маг<br>Единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font>  к усилению способностей<br> а интеллект или сила — <font color='#ffffff'>{hp_per_int_str}</font>  к здоровью,魔战
DOTA_Tooltip_sl_modifier_rune_magic_warrior,<font color='#ffffff'>魔战</font>,<font color='#ffffff'>Battlemage</font>,<font color='#ffffff'>Боевой маг</font>,魔战
DOTA_Tooltip_sl_modifier_rune_magic_warrior_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font>,<font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font>,<font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font>,魔战
rune_magic_archer_desc,灵弓<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或敏捷提升<font color='#83d18a'> {batk_per_int_agi}</font> 基础攻击力,Mystic Archer<br>Each point of Intelligence grants <font color='#ffffff'>{amp_per_int}%</font>  Spell Amplification<br> and Intelligence or Agility grants <font color='#ffffff'>{batk_per_int_agi}</font>  Base Attack Damage,Мистический стрелок<br>Единица интеллекта даёт <font color='#ffffff'>{amp_per_int}%</font>  к усилению способностей<br> а интеллект или ловкость — <font color='#ffffff'>{batk_per_int_agi}</font> к базовому урону,灵弓
DOTA_Tooltip_sl_modifier_rune_magic_archer,<font color='#ffffff'>灵弓</font>,<font color='#ffffff'>Mystic Archer</font>,<font color='#ffffff'>Мистический стрелок</font>,灵弓
DOTA_Tooltip_sl_modifier_rune_magic_archer_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font>,<font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font>,<font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font>,灵弓
rune_universal_desc,全才<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强,Universal<br>Str grants <font color='#ffffff'>{hp_per_str}</font>  HP<br> Agi grants <font color='#ffffff'>{batk_per_agi}</font>  Base Atk<br> and Int grants <font color='#ffffff'>{amp_per_int}%</font>  Spell Amp,Универсал<br>Сила даёт <font color='#ffffff'>{hp_per_str}</font>  к HP<br> ловкость — <font color='#ffffff'>{batk_per_agi}</font>  к урону<br> а интеллект — <font color='#ffffff'>{amp_per_int}%</font>  к усилению,全才
DOTA_Tooltip_sl_modifier_rune_universal,<font color='#ffffff'>全才</font>,<font color='#ffffff'>Universal</font>,<font color='#ffffff'>Универсал</font>,全才
DOTA_Tooltip_sl_modifier_rune_universal_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,全才
rune_tank_pro_desc,<font color='#FFA500'>巨灵神（随机符文）</font><br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>生命值<font color='#83d18a'> +{hp_pct}%</font> <br>承受伤害<font color='#83d18a'> +{csshI}%</font> ,Colossus<br>Str grants <font color='#ffffff'>{hp_per_str}</font>  HP<br> HP +<font color='#ffffff'>{hp_pct}%</font> <br> Incoming Damage +<font color='#ffffff'>{csshI}%</font> ,Колосс<br>Сила даёт <font color='#ffffff'>{hp_per_str}</font>  к HP<br> здоровье +<font color='#ffffff'>{hp_pct}%</font> <br> получаемый урон +<font color='#ffffff'>{csshI}%</font> ,巨灵神
DOTA_Tooltip_sl_modifier_rune_tank_pro,<font color='#FFD700'>巨灵神（随机符文）</font>,<font color='#FFD700'>Colossus</font>,<font color='#FFD700'>Колосс</font>,巨灵神
DOTA_Tooltip_sl_modifier_rune_tank_pro_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>最大生命值百分比：【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#808080'>承受伤害：【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>Max Health Percentage: 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#808080'>Incoming Damage Percentage: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>Бонус к макс. здоровью (%): 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#808080'>Получаемый урон: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,巨灵神
rune_warrior_pro_desc,<font color='#FFA500'>狂战士（随机符文）</font><br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点力量或敏捷提升<font color='#83d18a'> {batk_per_str_agi}</font> 基础攻击力<br>生命值和总攻击力<font color='#83d18a'> +{pct}%</font> <br>承受伤害<font color='#83d18a'> +{csshI}%</font> ,Berserker<br>Str grants <font color='#ffffff'>{hp_per_str}</font>  HP<br> Str/Agi grant <font color='#ffffff'>{batk_per_str_agi}</font>  Base Atk. HP and Total Damage +<font color='#ffffff'>{pct}%</font> <br> Incoming Damage +<font color='#ffffff'>{csshI}%</font> ,Берсерк<br>Сила даёт <font color='#ffffff'>{hp_per_str}</font>  к HP<br> сила/ловкость — <font color='#ffffff'>{batk_per_str_agi}</font>  к урону. HP и общий урон +<font color='#ffffff'>{pct}%</font> <br> получаемый урон +<font color='#ffffff'>{csshI}%</font> ,狂战士
DOTA_Tooltip_sl_modifier_rune_warrior_pro,<font color='#FFD700'>狂战士（随机符文）</font>,<font color='#FFD700'>Berserker</font>,<font color='#FFD700'>Берсерк</font>,狂战士
DOTA_Tooltip_sl_modifier_rune_warrior_pro_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>最大生命值百分比：【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>总攻击力：【+%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>承受伤害：【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Max Health Percentage: 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>Total Damage Percentage: 【+%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Incoming Damage Percentage: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Бонус к макс. здоровью (%): 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>Общий урон: 【+%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Получаемый урон: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,狂战士
rune_magic_tank_pro_desc,<font color='#FFA500'>圣骑士（随机符文）</font><br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点力量或智力提升<font color='#83d18a'> {amp_per_str_int}%</font> 技能增强<br>生命值和伤害输出<font color='#83d18a'> +{pct}%</font> <br>承受伤害<font color='#83d18a'> +{csshI}%</font> ,Paladin<br>Str grants <font color='#ffffff'>{hp_per_str}</font>  HP<br> Str/Int grant <font color='#ffffff'>{amp_per_str_int}%</font>  Spell Amp. HP and Damage Output +<font color='#ffffff'>{pct}%</font> <br> Incoming Damage +<font color='#ffffff'>{csshI}%</font> ,Паладин<br>Сила даёт <font color='#ffffff'>{hp_per_str}</font>  к HP<br> сила/инт. — <font color='#ffffff'>{amp_per_str_int}%</font>  к усилению. HP и урон +<font color='#ffffff'>{pct}%</font> <br> получаемый урон +<font color='#ffffff'>{csshI}%</font> ,圣骑士
DOTA_Tooltip_sl_modifier_rune_magic_tank_pro,<font color='#FFD700'>圣骑士（随机符文）</font>,<font color='#FFD700'>Paladin</font>,<font color='#FFD700'>Паладин</font>,圣骑士
DOTA_Tooltip_sl_modifier_rune_magic_tank_pro_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>最大生命值百分比：【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>伤害输出：【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>承受伤害：【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Max Health Percentage: 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>Total Damage Output Percentage: 【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Incoming Damage Percentage: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Бонус к макс. здоровью (%): 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>Исходящий урон: 【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Получаемый урон: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,圣骑士
rune_assassin_pro_desc,<font color='#FFA500'>神射手（随机符文）</font><br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力<br>总攻击力<font color='#83d18a'> +{pct}%</font> <br>生命值<font color='#83d18a'> -{smI}%</font> ,Sharpshooter<br>Agi grants <font color='#ffffff'>{batk_per_agi}</font>  Base Atk<br> Total Damage +<font color='#ffffff'>{pct}%</font> <br> HP -<font color='#ffffff'>{smI}%</font> ,Снайпер<br>Ловкость даёт <font color='#ffffff'>{batk_per_agi}</font>  к баз. урону<br> общий урон +<font color='#ffffff'>{pct}%</font> <br> HP -<font color='#ffffff'>{smI}%</font> ,神射手
DOTA_Tooltip_sl_modifier_rune_assassin_pro,<font color='#FFD700'>神射手（随机符文）</font>,<font color='#FFD700'>Sharpshooter</font>,<font color='#FFD700'>Снайпер</font>,神射手
DOTA_Tooltip_sl_modifier_rune_assassin_pro_description,<font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>总攻击力：【+%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>最大生命值百分比：【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,<font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Total Damage Percentage: 【+%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Max Health Percentage: 【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,<font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Общий урон: 【+%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Бонус к макс. здоровью (%): 【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,神射手
rune_ranger_pro_desc,<font color='#FFA500'>猎魔人（随机符文）</font><br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力<br>每点敏捷或力量提升<font color='#83d18a'> {hp_per_agi_str}</font> 生命值<br>生命值和总攻击力<font color='#83d18a'> +{pct}%</font> <br>承受伤害<font color='#83d18a'> +{csshI}%</font> ,Demon Hunter<br>Agi grants <font color='#ffffff'>{batk_per_agi}</font>  Base Atk<br> Agi/Str grant <font color='#ffffff'>{hp_per_agi_str}</font>  HP. HP and Total Damage +<font color='#ffffff'>{pct}%</font> <br> Incoming Damage +<font color='#ffffff'>{csshI}%</font> ,Охотник на демонов<br>Ловкость даёт <font color='#ffffff'>{batk_per_agi}</font>  к баз. урону<br> ловкость/сила — <font color='#ffffff'>{hp_per_agi_str}</font>  к HP. HP и общий урон +<font color='#ffffff'>{pct}%</font> <br> получаемый урон +<font color='#ffffff'>{csshI}%</font> ,猎魔人
DOTA_Tooltip_sl_modifier_rune_ranger_pro,<font color='#FFD700'>猎魔人（随机符文）</font>,<font color='#FFD700'>Demon Hunter</font>,<font color='#FFD700'>Охотник на демонов</font>,猎魔人
