--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 9d26fbd · 2026-08-03 06:18:41 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
bless_10039a,先贤之石（SP：技能增强）,Philosopher's Stone (SP: Spell Amp),Филос. камень (SP: Усил. закл.)
bless_10039b,先贤之石（SP：移动速度）,Philosopher's Stone (SP: MS),Филос. камень (SP: МС)
bless_10040,目镜,Long (Ranged),Длинный (Дальний)
bless_10040a,目镜（SP：承受伤害）,Visor (SP: DMG Taken),Визор (SP: Получ. урон)
bless_10041,一寸长一寸强,Long (Melee),Длинный (Ближний)
bless_10041a,一寸长一寸强（SP：施法）,1-Inch Advantage (SP: Cast Range),Преимущ. 1 дюйма (SP: Дальн. прим.)
bless_10042,生命值（伤害）,Health,Здоровье
bless_10042a,生命值（SP：移速）,HP (SP: MS),HP (SP: МС)
bless_10042b,生命值（SP：攻击）,HP (SP: DMG),HP (SP: Урон)
bless_10042c,生命值（SP：技能增强）,HP (SP: Spell Amp),HP (SP: Усил. закл.)
bless_10042d,生命值（SP：魔法值）,HP (SP: MP),HP (SP: MP)
bless_10042e,生命值（SP：攻击速度）,HP (SP: AS),HP (SP: АС)
bless_10043,技能增强,Spell Amp,Урон заклинаний
bless_10043a,技能增强（SP：魔法值）,Spell Amp (SP: MP),Усил. закл. (SP: MP)
bless_10044,攻击力提升,Damage Bonus,Бонус к урону
bless_10044a,攻击力提升（SP：攻速）,DMG Up (SP: AS),Бонус урона (SP: АС)
bless_10045,攻速强化,Attack Speed Bonus,Бонус к скор. атаки
bless_10045a,攻速强化（SP：攻击力）,AS Amp (SP: DMG),Усил. АС (SP: Урон)
bless_10046,生命值提高,Health Increase,Увеличение здоровья
bless_10046a,生命值提高（SP：移速）,HP Up (SP: MS),Увел. HP (SP: МС)
bless_10046b,生命值提高（SP：攻击）,HP Up (SP: DMG),Увел. HP (SP: Урон)
bless_10046c,生命值提高（SP：技能增强）,HP Up (SP: Spell Amp),Увел. HP (SP: Усил. закл.)
bless_10046d,生命值提高（SP：魔法值）,HP Up (SP: MP),Увел. HP (SP: MP)
bless_10046e,生命值提高（SP：攻击速度）,HP Up (SP: AS),Увел. HP (SP: АС)
bless_10046f,生命值提高（SP：技能范围）,HP Up (SP: AOE),Увел. HP (SP: Радиус)
bless_10047,技能增强,Spell Amp,Урон заклинаний
bless_10047a,技能增强（SP：施法距离）,Spell Amp (SP: Cast Range),Усил. закл. (SP: Дальн. прим.)
bless_10048,攻击增幅,Damage Bonus,Бонус к урону
bless_10048a,攻击增幅（SP：技能增强）,DMG Amp (SP: Spell Amp),Усил. урона (SP: Усил. закл.)
bless_10049,攻速与吸血,AS & Lifesteal,Скор. атаки и вампиризм
bless_10049a,攻速与吸血（SP：护甲）,AS & Lifesteal (SP: Armor),АС и вампир. (SP: Броня)
bless_10050,战术目镜,Long Long (Ranged),Длинный-длинный (Дальний)
bless_10050a,战术目镜（SP：攻击）,Tactical Visor (SP: DMG),Такт. визор (SP: Урон)
bless_10051,两寸长两寸强,Long Long (Melee),Длинный-длинный (Ближний)
bless_10051a,两寸长两寸强（SP：技能范围）,2-Inch Advantage (SP: AOE),Преимущ. 2 дюймов (SP: Радиус)
bless_10052,冷却缩减,Cooldown Reduction,Перезарядка
bless_10052a,冷却缩减（SP：输出）,CDR (SP: DMG),КД (SP: Урон)
bless_10052b,冷却缩减（SP：承受伤害）,CDR (SP: DMG Taken),КД (SP: Получ. урон)
bless_10053,充能护盾,Charged Shield,Заряженный щит
bless_10054,世界树的祝福,Fountain's Blessing,Благословение фонтана
bless_10055,护盾电池（小）,Spare Shield (Small),Запасной щит (Малый)
bless_10056,生命之泉的祝福,Fountain's Guard,Защита фонтана
bless_10057,属性转化（力量-智力）,Attribute Shift (Str-Int),Смена атрибутов (Сила-Инт)
bless_10058,属性转化（力量-敏捷）,Attribute Shift (Str-Agi),Смена атрибутов (Сила-Ловк)
bless_10059,属性转化（智力-敏捷）,Attribute Shift (Int-Agi),Смена атрибутов (Инт-Ловк)
bless_10060,属性转化（智力-力量）,Attribute Shift (Int-Str),Смена атрибутов (Инт-Сила)
bless_10061,属性转化（敏捷-智力）,Attribute Shift (Agi-Int),Смена атрибутов (Ловк-Инт)
bless_10062,属性转化（敏捷-力量）,Attribute Shift (Agi-Str),Смена атрибутов (Ловк-Сила)
bless_10063,等我满级,Wait for Max Level,Жди макс. уровня
bless_10064,十年磨一剑,Sharpening,Заточка
bless_10065,霸气外露,Periodic Shock,Периодический шок
bless_10066,折磨王,Sadist,Садист
bless_10067,EM大师,Escape Master,Мастер побега
bless_10068,和平主义者,Pacifist,Пацифист
bless_10069,巨人,Giant,Великан
bless_10069a,巨人（SP：速度）,Giant (SP: Speed),Великан (SP: Скорость)
bless_10070,天胡 九莲宝灯,Trade-in,Трейд-ин
bless_10071,断头台,Execution,Казнь
bless_10072,我叫磁力棒,Self-destruct,Самоуничтожение
bless_10073,焚诀,Burn Attack,Огненная атака
bless_10074,莫欺少年穷,Growth,Рост
bless_10075,持久战,War of Attrition,Затяжная война
bless_10076,给我擦皮鞋,Shine my shoes,Почисти мои туфли
bless_10077,导电飞弹,Arcane Shot,Тайный выстрел
bless_10078,你爹来啰,Ultimate Shield,Абсолютный щит
bless_10079,？,?,?
bless_10080,剑心犹在,Sword Heart Remains,Сердце меча
bless_10081,水平下降一万倍,Persuasion,Приручение
bless_10082,红包神,God of Wealth,Бог богатства
bless_10083,肉松饼,Cookie,Печенье
bless_10084,盒,Legacy,Наследие
bless_10085,DY信用卡,Credit Card,Кредитная карта
bless_10086,剑来,Flying Sword,Летающий меч
bless_10087,我要做赵高,Endure,Терпение
bless_10088,一换一,Mutual Destruction,Взаимное уничтожение
bless_10089,太阳,Sun,Солнце
bless_10090,凭什么和我打,Frontal Combat,Фронтальный бой
bless_10091,救救救救救,Help!,Помогите!
bless_10092,起飞,Flight Mode,Режим полёта
bless_10093,哈基米,Nine Lives,Девять жизней
bless_10094,脱敏训练,Protection Cover,Защитный чехол
bless_10094a,脱敏训练（SP：冷却速度）,Desensitize Train (SP: CDR Speed),Трен. десенс. (SP: Скор. КД)
bless_10095,双层脱敏,Double Protection Cover,Двойной защитный чехол
bless_10095a,双层脱敏（SP：攻击速度）,Double Desensitize (SP: AS),Двойн. десенс. (SP: АС)
bless_10096,技能范围,Skill Range,Дальность навыка
bless_10096a,技能范围（SP：技能增强）,AOE (SP: Spell Amp),Радиус (SP: Усил. закл.)
bless_10097,技能范围增幅,Skill Range Increase,Увеличение дальности навыка
bless_10097a,技能范围增幅（SP：输出）,AOE Amp (SP: DMG),Усил. рад. (SP: Урон)
bless_10098,生命增幅,Health Amp,Усиление здоровья
bless_10098a,生命增幅（SP：护甲）,HP Amp (SP: Armor),Усил. HP (SP: Броня)
bless_10099,攻击强化,Damage Bonus,Бонус к урону
bless_10099a,攻击强化（SP：技能增强）,DMG Amp (SP: Spell Amp),Усил. урона (SP: Усил. закл.)
bless_10100,先发制人,Against All Odds,Вопреки всему
bless_10101,重装法师,Heavy Mage,Тяжёлый маг
bless_10102,抗压,Revenge,Месть
bless_10103,没到点子上,On the Edge,На волоске
bless_10104,虚张声势,Health Inflation,Раздутое здоровье
bless_10105,放手一搏,Killing Rhythm,Ритм убийства
bless_10106,防守一波,Continuous Shield,Постоянный щит
bless_10107,我要验牌,Random,Случайный
bless_10108,掠夺者之斧,Ogre Axe,Ogre Axe
bless_10109,神秘法杖,Mystic Staff,Mystic Staff
bless_10110,鹰歌弓,Eaglesong,Eaglesong
bless_10111,义眼盯真,Spirit Vision,Духовное зрение
bless_10112,会心攻击,Super Crit,Суперкрит
bless_10113,额外技能范围,Amplifier,Усилитель
bless_10113a,额外技能范围（SP：施法）,Bonus AOE (SP: Cast Range),Доп. радиус (SP: Дальн. прим.)
bless_10114,肾宝,Mana Supplements,Биодобавки
bless_10115,月亮井的祝福,Blessing of the Moonwell,Благословение лунного колодца
bless_10116,一支穿云箭,Pursuit Arrows,Преследующие стрелы
bless_10117,烟花,Fireworks,Фейерверки
bless_10118,马猴烧酒,Magical Girl,Девочка-волшебница
bless_10119,精华射击,Essence Shot,Выстрел эссенции
bless_10120,端水,Subsidy,Субсидия
bless_10121,随机：紫色福佑,Random: Epic Blessing,Случайно: эпическое благословение
bless_10122,随机：橙色福佑,Random: Legendary Blessing,Случайно: легендарное благословение
bless_10123,升舱的钱我来出,Interest-free Loan,Беспроцентный займ
bless_10124,年终奖,Gold,Золото
bless_10125,越抓越肥,Never Give Up,Не сдаваться
bless_10126,掠夺,Pillage,Грабёж
bless_10127,原始积累,Primitive Accumulation,Первоначальное накопление
bless_10128,读书人,Scholar,Книголюб
bless_10129,冰火,Burst (Shiva's Guard),Взрыв (Shiva's Guard)
bless_10130,观察烟斗强化,Pipe of Insight Upgrade,Улучшение: Pipe of Insight
bless_10131,否决坠饰强化,Nullifier Upgrade,Улучшение: Nullifier
bless_10132,黯灭思维,Desolator Upgrade,Улучшение: Desolator
bless_10133,斗气,Killing Intent,Жажда убийства
bless_10134,力量蝴蝶,Strength Butterfly,Силовая Butterfly
bless_10135,鱼叉强化,Harpoon Upgrade,Улучшение: Harpoon
bless_10136,不狂不如卖红薯,Battle Fury Upgrade,Улучшение: Battle Fury
bless_10137,杰哥不要啊,Nooo,Не надо
bless_10138,魔法少女,Magical Girl,Девочка-волшебница
bless_10139,苦命鸳鸯,Ill-fated Pair,Несчастная пара
bless_10140,僵王,Zombie King,Король зомби
bless_10141,斗战神,God of War,Бог войны
bless_10142,架狙,Take Aim,Take Aim
bless_10143,吃人,Book of Kills,Книга убийств
bless_10143a,吃人（SP：力量）,Devour (SP: Str),Пожирание (SP: Сил)
bless_10143b,吃人（SP：敏捷）,Devour (SP: Agi),Пожирание (SP: Лов)
bless_10143c,吃人（SP：智力）,Devour (SP: Int),Пожирание (SP: Инт)
bless_10144,百年孤独,Solitary Sword Technique,Техника одинокого меча
bless_10145,狼王内丹,Arcana Pill,Пилюля Арканы
bless_10146,不服solo,1v1 Me,1 на 1
bless_10147,铁头娃,Iron Head,Железная голова
bless_10148,手快选两个,Quickly pick two,Быстро выбирай два
bless_10148a,手快选两个,Quickly pick two,Быстро выбирай два
bless_10148b,手快选两个,Quickly pick two,Быстро выбирай два
bless_10149,至尊骨,Supreme Bone,Верховная кость
bless_10150,肉身成圣 - 骨,Flesh Sanctification・Bone,Освящение плоти・Кость
bless_10151,肉身成圣 - 血,Flesh Sanctification・Blood,Освящение плоти・Кровь
bless_10152,肉身成圣 - 皮,Flesh Sanctification・Skin,Освящение плоти・Кожа
bless_10153,肉身成圣 - 肉,Flesh Sanctification・Flesh,Освящение плоти・Плоть
bless_10154,龙胆,Adaptive Immunity,Адаптивный иммунитет
bless_10155,超级敏感,Stress Response,Стресс-реакция
bless_10156,会心伤害,Critical Damage,Критический урон
bless_10157,法术会心,Spell Critical,Критическое заклинание
bless_10158,会心连击,Critical Combo,Критическая серия
bless_10159,会心攻击,Critical Attack,Критическая атака
bless_10160,腐蚀,Corrosive Attack,Коррозионная атака
bless_10161,炼化,Corrosive Mist,Разъедающий туман
bless_10162,放血,Bloodletting,Кровопускание
bless_10163,银影弩箭,Dread Retribution,Страшное возмездие
bless_10164,替身攻击,Stand Attack,Атака стенда
bless_10165,这两柄斧太干了，杀！,Stand Attack,Мои топоры заждались
bless_10166,杀人剑,Slayer Sword,Меч убийцы
bless_10167,杀人甲,Slayer Armor,Доспех убийцы
bless_10168,遇强则强,Stronger Against Strong,Сильнее против сильных
bless_10169,泉水指挥官,Spring Water Commander,Командир родника
bless_10170,滑板鞋,Sneakers,Кеды
bless_10171,巨人刚戒强化,Giant Ring Reinforcement,Усиление кольца гиганта
bless_10172,滑板鞋,Skate Shoes,Ролики
bless_10173,不赢砍手,I'll carry,Я затащу
bless_10174,丢硬币,Coin Toss,Подбросить монетку
bless_10175,双修,Hybrid Build,Гибрид (физ/маг)
bless_10176,我的刀盾,My Sword & Shield,Мой меч и щит
bless_10177,复活吧我的爱人,"Arise, my friend!","Воскресни, мой друг!"
bless_10178,半包烟,Half a pack of cigarettes,Полпачки сигарет
bless_10178a,半包烟（SP：选中）,Half a pack of cigarettes (SP: Selected),Полпачки сигарет (SP: Выбрано)
bless_10179,石佛,Stone Buddha,Каменный Будда
bless_10180,背带裤,Move & Heal,Восстановление в движении
bless_10181,不会以为是我杀的吧,Hunting Time,Время охоты
bless_10182,乾坤一掷‌,Ultimate Gamble,Бросок Неба и Земли
bless_10183,为了部落,For the Horde!,За Орду!
bless_10184,x,Am I not dead?,Я не умер?
bless_10185,来财,Investment,Инвестиции
bless_10186,抽血麻将,Blood-drain Mahjong,Кровавый маджонг
bless_10187,从从容容,Calm and collected,Спокойно и уверенно
bless_10188,九格神装,9-Slot God Gear,9-слотовое бож-снаряжение
bless_10188a,天胡纯正九莲宝灯,Pure Nine Gates (Heavenly Hand),Тэнхо: Чистые девять лотосов
bless_10189,唯快不破,Speed is key,Только скорость решает
bless_10190,牌煤油问题,The hand is fine,С картами всё в порядке
bless_10191,逮捕,Arrested,Арестован
bless_10192,I 人,Introvert (mbti),Интроверт (mbti)
bless_10193,滑冰,Skating,Катание на коньках
bless_10194,团战魔术师,Teamfight Magician,Волшебник тимфайтов
bless_10195,法式泳衣,Eternal Shroud,Вечная пелена
bless_10196,肚皮,Belly,Живот
bless_10197,,,
bless_10198,,,
bless_10199,背水一战,Last Stand,Последний рубеж
bless_10200,恩人,Nemesis,Заклятый враг
bless_10201,装唐阴他一手,Playing Dumb,Притворство слабым
bless_10202,老人,Old Man,Старик
bless_20001,海妖外壳,Kraken Shell,Kraken Shell
bless_20002,肉钩,Meat Hook,Meat Hook
bless_20003,腐蚀皮肤,Corrosive Skin,Corrosive Skin
bless_20004,剑刃风暴,Blade Fury,Blade Fury
bless_20005,热血战魂,Fervor,Fervor
bless_20006,棒击大地,Boundless Strike,Boundless Strike
bless_20007,闪光幽魂,Spark Wraith,Spark Wraith
bless_20008,查克拉魔法,Chakra Magic,Chakra Magic
bless_20009,奥法鹰隼,Arcane Falcon,Arcane Falcon
bless_20010,陵卫斗篷,Gravekeeper's Cloak,Gravekeeper's Cloak
bless_20011,奔袭冲撞,Stampede,Stampede
bless_20012,变狼,Shapeshift,Shapeshift
bless_21001,灵魂痛击,Soul Strike,Soul Strike
bless_21002,闪钢斩,Flash of Steel,Flash of Steel
bless_21003,狂热左轮,Zealot Revolver,Zealot Revolver
bless_21004,瑶瑶公主,Heart Possession,Heart Possession
bless_21005,寻血猎犬,Bloodhound,Бладхаунд
bless_21006,动力小子,Octane,Октейн
bless_100001,魔霭诅咒强化,Curse Amp,Улучш. Curse
bless_100002,无光之盾强化,Shield Amp,Улучш. Shield
bless_100003,回光返照冷却,Borrowed Time CD,КД Borrowed Time
bless_100004,恶魔之扉强化,Gate Amp,Улучш. Gate
bless_100005,火焰风暴增伤,Firestorm Dmg,Урон Firestorm
bless_100006,恶魔之扉冷却,Gate CD,КД Gate
bless_100007,贪婪强化,Greed Amp,Улучш. Greed
bless_100008,化学狂暴强化,Rage Amp,Улучш. Rage
bless_100009,酸性喷雾强化,Spray Amp,Улучш. Spray
bless_100010,冰晶爆轰阈值,Ice Blast Thres.,Порог Ice Blast
bless_100011,寒霜之足增伤,Death Rime Dmg,Урон Death Rime
bless_100012,冰晶爆轰冷却,Ice Blast CD,КД Ice Blast
bless_100013,法术反制魔抗,Counterspell Res,Counterspell: Сопр.
bless_100014,法力虚空增伤,Mana Void Dmg,Урон Mana Void
bless_100015,闪烁强化,Blink Amp,Улучш. Blink
bless_100016,闪光幽魂冷却,Spark Wraith CD,КД Spark Wraith
bless_100017,风暴双雄冷却,Tempest CD,КД Tempest
bless_100018,闪光幽魂增伤,Spark Wraith Dmg,Урон Spark Wraith
bless_100019,狂战士之吼强化,Call Amp,Улучш. Call
bless_100020,反击螺旋增伤,Helix Dmg,Урон Helix
bless_100021,斧王强化,Axe Amp,Улучш. Axe
bless_100022,蚀脑强化,Brain Sap Amp,Улучш. Brain Sap
bless_100023,魔爪冷却,Grip CD,КД Grip
bless_100024,魔爪距离,Grip Range,Дист. Grip
bless_100025,火焰飞行持续,Firefly Dur,Длит. Firefly
bless_100026,泼油油油,Napalm Amp,Улучш. Napalm
bless_100027,燃烧枷锁强化,Lasso Amp,Улучш. Lasso
bless_100028,召唤猛禽强化,Hawk Amp,Улучш. Hawk
bless_100029,野性之斧增伤,Axes Dmg,Урон Axes
bless_100030,AP斧王,AP Axe,AP Axe
bless_100031,血祭冷却,Blood Rite CD,КД Blood Rite
bless_100032,血祭增伤,Blood Rite Dmg,Урон Blood Rite
bless_100033,割裂强化,Rupture Amp,Улучш. Rupture
bless_100034,忍术强化,Jinada Amp,Улучш. Jinada
bless_100035,追踪术强化,Track Amp,Улучш. Track
bless_100036,投掷飞镖强化,Shuriken Dmg,Урон Shuriken
bless_100037,雷霆一击增伤,Thunder Clap Dmg,Урон Thunder Clap
bless_100038,元素分离持续,Split Dur,Длит. Split
bless_100039,元素分离冷却,Split CD,КД Split
bless_100040,刚毛后背强化,Bristleback Amp,Улучш. Bristleback
bless_100041,针刺扫射增伤,Quill Dmg,Урон Quill
bless_100042,钢背兽强化,BB Amp,Улучш. BB
bless_100043,,#N/A,#N/A
bless_100044,,#N/A,#N/A
bless_100045,,#N/A,#N/A
bless_100046,开足马力移速,Thick Hide Amp,Улучш. Thick Hide
bless_100047,双刃剑增伤,Double Edge Dmg,Урон Double Edge
bless_100048,奔袭冲撞冷却,Stampede CD,КД Stampede
bless_100049a,混乱之箭强化,Chaos Bolt Amp,Улучш. Chaos Bolt
bless_100049,混沌之军强化,Phantasm Amp,Улучш. Phantasm
bless_100050,混沌一击强化,Chaos Strike Amp,Улучш. Chaos Strike
bless_100051,混沌裁决,Chaos Judgment,Хаотический приговор
bless_100052,,#N/A,#N/A
bless_100053,,#N/A,#N/A
bless_100054,,#N/A,#N/A
bless_100055,灼热之箭强化,Searing Arrows Amp,Улучш. Searing Arrows
bless_100056,骷髅弓手攻击,Skeleton Dmg,Урон Скелетов
bless_100057,骷髅弓手强化,Skeleton Amp,Улучш. Скелетов
bless_100058,极寒领域冷却,Field CD,КД Field
bless_100059,冰霜新星强化,Nova Amp,Улучш. Nova
bless_100060,极寒领域增伤,Field Dmg,Урон Field
bless_100061,真空强化,Vacuum Enhancement,Усиление Vacuum
bless_100062,离子外壳强化,Ion Shell Enhancement,Усиление Ion Shell
bless_100063,复制之墙强化,Wall of Replica Enhancement,Усиление Wall of Replica
bless_100064,暗影之境增伤,Maze Dmg,Урон Maze
bless_100066,作祟强化,Bedlam Amp,Улучш. Bedlam
bless_100065,暗影之境冷却,Realm CD,КД Realm
bless_100067,天光现世强化,Guardian Amp,Улучш. Guardian
bless_100068,辰星破晓(先天)强化,Starbreaker Amp,Улучш. Starbreaker
bless_100069,熠熠生辉强化,Luminosity Amp,Улучш. Luminosity
bless_100070,编织(先天)强化,Weave Amp,Улучш. Weave
bless_100071,暗影波强化,Wave Amp,Улучш. Shadow Wave
bless_100072,剧毒之触强化,Touch Amp,Улучш. Poison Touch
bless_100073,地穴虫群强化,Swarm Amp,Улучш. Swarm
bless_100074,吸魂巫术强化,Spirit Siphon Upgrade,Улучшение Spirit Siphon
bless_100075,驱使恶灵强化,Exorcism Amp,Улучш. Exorcism
bless_100076,风雷之击强化,Strike Amp,Улучш. Strike
bless_100077,电磁排斥(先天)强化,Repulsion Amp,Улучш. Repulsion
bless_100078,静态风暴强化,Storm Amp,Улучш. Storm
bless_100079,范围吞噬,AOE Devour,AOE Devour
bless_100080,末日强化,Doom Amp,Улучш. Doom
bless_100081,阎刃强化,Blade Amp,Улучш. Infernal Blade
bless_100082,火焰气息强化,Breathe Fire Amp,Улучш. Breathe Fire
bless_100083,古龙形态强化,Form Amp,Улучш. Dragon Form
bless_100084,龙族血统强化,Blood Amp,Улучш. Dragon Blood
bless_100085,霜冻之箭增伤,Frost Arrows Dmg,Урон Frost Arrows
bless_100086,数箭齐发波数,Multishot Waves,Волны Multishot
bless_100087,射手天赋几率,Marksmanship %,Шанс Marksmanship
bless_100088,巨石翻滚强化,Rolling Boulder Enhancement,Усиление Rolling Boulder
bless_100089,巨石冲击强化,Boulder Smash Enhancement,Усиление Boulder Smash
bless_100090,磁化强化,Magnetize Enhancement,Усиление Magnetize
bless_100091,强化图腾强化,Totem Amp,Улучш. Totem
bless_100092,强击图腾强化,Aftershock Amp,Улучш. Aftershock
bless_100093,回音击强化,Echo Amp,Улучш. Echo Slam
bless_100094,灵体游魂强化,Astral Spirit Duration,Длительность Astral Spirit
bless_100095,回音重踏伤害,Echo Stomp Damage,Урон Echo Stomp
bless_100096,裂地沟壑伤害,Earth Splitter Damage,Урон Earth Splitter
bless_100097,烈火罩强化,Flame Guard Amp,Улучш. Flame Guard
bless_100098,无影拳强化,Sleight Amp,Улучш. Sleight of Fist
bless_100099,残焰强化,Remnant Amp,Улучш. Remnant
bless_100100,自然之助强化,Attendants Amp,Улучш. Attendants
bless_100101,不可侵犯强化,Untouchable Amp,Улучш. Untouchable
bless_100102,推进强化,Impetus Amp,Улучш. Impetus
bless_100103,憎恶强化,Conversion Amp,Улучш. Conversion
bless_100104,黑洞强化,Black Hole Amp,Улучш. Black Hole
bless_100105,黑洞冷却,Black Hole Amp,Улучш. Black Hole
bless_100106,时间膨胀强化,Dilation Amp,Улучш. Dilation
bless_100107,时间漫游强化,Time Walk Amp,Улучш. Time Walk
bless_100108,时间锁定强化,Time Lock Amp,Улучш. Time Lock
bless_100109,传送强化,Teleport Amp,Улучш. Teleport
bless_100110,丛林之魂(先天)强化,Forest Soul Amp,Улучш. Forest Soul
bless_100111,自然之怒强化,Wrath Amp,Улучш. Wrath
bless_100112,戾影强化,Scurry Amp,Улучш. Scurry
bless_100113,绝笔强化,Sharpshooter Amp,Улучш. Sharpshooter
bless_100114,缚魂强化,Soulbind Amp,Улучш. Soulbind
bless_100115,高射火炮攻击,Flak Cannon Attack,Атака Flak Cannon
bless_100116,坠机,Crash,Крушение
bless_100117,矮人直升机强化,Barrage Amp,Улучш. Barrage
bless_100117a,高射火炮强化,Flak Cannon Reinforcement,Усиление Flak Cannon
bless_100118a,林渊旅人(先天)强化,Woodswalker Amp,Улучш. Woodswalker
bless_100118,森海飞霞强化,Hunter's Boomerang Enhanced,Улучшенный Hunter's Boomerang
bless_100119,爆栗出击强化,Acorn Shot Enhanced,Улучшенный Acorn Shot
bless_100120,一箭穿心强化,Sharpshooter Amp,Улучш. Sharpshooter
bless_100120a,爆栗出击伤害,Acorn Shot Damage,Урон Acorn Shot
bless_100121,沸血之矛强化,Spear Amp,Улучш. Spears
bless_100122,狂战士之血,Berserker Blood,Berserker Blood
bless_100123,牺牲强化,Life Break Amp,Улучш. Life Break
bless_100124,混沌陨石强化,Chaos Meteor Enhancement,Усиление метеорита хаоса
bless_100125,电磁脉冲强化,E.M.P. Upgrade,Улучшение E.M.P.
bless_100126,阳炎冲击强化,Sun Strike Upgrade,Улучшение Sun Strike
bless_100127,冰封路径强化,Ice Path Upgrade,Улучшение Ice Path
bless_100128,天生一对（先天）强化,Double Trouble (Innate) Upgrade,Улучшение Double Trouble (врождённая)
bless_100129,烈焰焚身强化,Macropyre Upgrade,Улучшение Macropyre
bless_100130,无敌斩强化,Omnislash Upgrade,Улучшение Omnislash
bless_100131,剑刃风暴增伤,Blade Fury Bonus Damage,Доп. урон Blade Fury
bless_100132,剑舞强化,Blade Dance Upgrade,Улучшение Blade Dance
bless_100132a,弃医从武,Medicine to military,Из медицины в военные
bless_100132b,巨型剑刃风暴,Giant Blade Fury,Улучшение Blade Fury
bless_100133,灵魂形态强化,Spirit Form Upgrade,Улучшение Spirit Form
bless_100134,查克拉魔法强化,Chakra Magic Upgrade,Улучшение Chakra Magic
bless_100135,冲击波强化,Illuminate Upgrade,Улучшение Illuminate
bless_100136,洪流强化,Torrent Upgrade,Улучшение Torrent
bless_100137,幽灵船冷却,Ghostship Upgrade,Улучшение Ghostship
bless_100137a,统帅朗姆酒强化,Admiral's Rum Enhanced,Улучшенный Адмиралтейский ром
bless_100138,潮汐使者强化,Tidebringer Upgrade,Улучшение Tidebringer
bless_100139,压倒性优势强化,Overwhelming Odds Upgrade,Улучшение Overwhelming Odds
bless_100140,决斗强化,Duel Upgrade,Улучшение Duel
bless_100141,勇气之霎强化,Moment of Courage Upgrade,Улучшение Moment of Courage
bless_100142,撕裂大地强化,Split Earth Upgrade,Улучшение Split Earth
bless_100143,脉冲新星强化,Pulse Nova Upgrade,Улучшение Pulse Nova
