--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
ak_combat_notice_unknown_rune,Unknown,未知
ak_combat_notice_entered, entered ,进入了
ak_combat_notice_evacuate,Evacuate,撤离
ak_combat_notice_success,Success,成功
ak_combat_notice_killed, defeated ,击杀了 
ak_combat_notice_craft_success, crafted ,制作成功
ak_combat_notice_craft_start, started crafting ,开始制作
ak_combat_notice_got_rune, picked up rune: ,获得了神符:
hud_task_tracker_title,Task,任务
hud_task_tracker_tutorial_title,Tutorial Tasks,教程任务
hud_task_tracker_tutorial_talk_to_instructor,Talk to the Instructor,跟教官对话
hud_task_tracker_tutorial_initial_waves,Defeat 3 Waves of Monsters,击败三波来袭怪物
hud_task_tracker_tutorial_elite_trial,Defeat the Trial Elite,击败试炼精英
hud_task_tracker_tutorial_profession,Complete Any Profession Change,完成任意转职
hud_task_tracker_tutorial_challenge,Complete Any Challenge,完成任意挑战
hud_task_tracker_tutorial_continue_or_evacuate,Keep Challenging or Evacuate,继续挑战/撤离房间
hud_task_tracker_post_tutorial_title,Starter Tasks,新手任务
hud_task_tracker_post_tutorial_enter_m001,Enter the Abandoned Mine,进入废弃矿坑
hud_task_tracker_post_tutorial_evacuate_value,Evacuate with 200 Item Value,撤离并带出200价值物品
hud_task_tracker_post_tutorial_destroy_tree,Destroy the Abandoned Tombstone,摧毁废弃墓碑
hud_task_tracker_post_tutorial_kill_boss,Defeat the Boss: Tiny,击杀首领：小小
hud_task_tracker_post_tutorial_stay_alive,Stay Alive!,好好活着！
hud_task_tracker_mg002_title,Collect All Rewards,收集全部奖励
hud_task_tracker_floor_steps,Stepped Floors,踩踏地板
hud_task_tracker_beans,Beans,豆子
hud_task_tracker_power_beans,Power Beans,大豆子
hud_task_tracker_fruit,Fruit,水果
hud_task_tracker_revive,Revives,复活
hud_task_tracker_frightened,Ghost Hunt,驱鬼时刻
hud_task_tracker_value_remaining,{count} left,还剩 {count}
hud_task_tracker_value_complete,Complete,已完成
hud_task_tracker_value_ratio,{current} / {total},{current} / {total}
hud_task_tracker_value_available,Available,可采集
hud_task_tracker_value_hidden,Hidden,未出现
hud_task_tracker_value_eaten,Eaten,已吃掉
hud_task_tracker_value_count,{count},{count}
hud_task_tracker_value_frightened,Frogs / Fish,青蛙/鱼
hud_task_tracker_mg001_title,Jump Task,跳跃任务
hud_task_tracker_mg001_exit,Reach the Finish,跳到终点
hud_task_tracker_mg001_chest,Open Chest,开启宝箱
hud_task_tracker_mg001_open_treasure,Open Treasure,开启宝藏
hud_task_tracker_time_remaining,Time Left,剩余时间
hud_task_tracker_mg002_revive_count,Revives,复活次数
hud_mini_game_score_title,Mini-game Score,小游戏得分
hud_task_tracker_reward_gold_luck,{gold} Gold / Daily Luck +{dailyLuck},{gold} 金币 / 每日好运 +{dailyLuck}
hud_task_tracker_mg003_title,Billiards Challenge,台球挑战
hud_task_tracker_current_target,Current Target,当前目标
hud_task_tracker_mg003_pocket_progress,Pocket Progress,入袋进度
hud_task_tracker_fail_condition,Fail Condition,失败条件
hud_task_tracker_mg003_target_group_all_pocketed,Pocket all {group} {current}/{total},将{group}全部入袋 {current}/{total}
hud_task_tracker_mg003_target_black8_pocket,Pocket the Black 8 into the designated pocket,将黑8打入指定袋口
hud_task_tracker_mg003_fail_black8_before_target,Black 8 pocketed before target complete,目标完成前黑8入袋
hud_task_tracker_mg003_fail_opponent_all_pocketed,{group} all pocketed first {current}/{total},{group}先全部入袋 {current}/{total}
hud_task_tracker_mg003_break_any_ball,Hit any billiard ball,攻击任意台球
hud_task_tracker_mg003_group_solids,Skull Balls,骷髅球
hud_task_tracker_mg003_group_stripes,Embervein Balls,熔纹球
hud_task_tracker_mg003_group_unassigned,unassigned,未分配
ak_combat_notice_rune_suffix,Rune,神符
ak_combat_notice_picked_up, picked up ,拾取了
ak_combat_notice_dropped, dropped ,丢弃了
ak_combat_notice_treasure_grant_prefix,,秘宝获得
ak_combat_notice_treasure_to_warehouse,,已放入仓库
ak_combat_notice_treasure_to_knapsack,,已放入背包
ak_combat_notice_treasure_to_ground,,空间不足，已掉落在英雄附近
ak_combat_notice_treasure_formula_unlocked,,已解锁图纸
ak_combat_notice_treasure_duplicate_formula_fragment,,重复图纸，已转化为神秘碎片
ak_combat_notice_shop_buy_prefix,,购买获得
ak_combat_notice_craft_claim_prefix,,领取制作产物
ak_combat_notice_item_to_warehouse,,已放入仓库
ak_combat_notice_item_stored,,已入库
ak_combat_notice_item_to_knapsack,,已放入背包
ak_combat_notice_item_to_ground,,空间不足，已掉落在英雄附近
ak_combat_notice_item_formula_unlocked,,已解锁图纸
ak_combat_notice_item_duplicate_formula_fragment,,重复图纸，已转化为神秘碎片
ak_combat_notice_item_count_prefix,,数量
ak_combat_notice_item_sold_prefix,,出售了
ak_combat_notice_item_sold_gold_prefix,,获得
ak_combat_notice_gold_suffix,,金币
ak_combat_notice_merchant_exchange_point_suffix,,悬赏金币
ak_combat_notice_merchant_exchange_prefix,,会馆商人兑换
ak_combat_notice_merchant_submit_prefix,,提交收购
ak_combat_notice_exchange_list_prefix,,交易所上架
ak_combat_notice_exchange_list_success_suffix,,上架成功
ak_combat_notice_exchange_buy_prefix,,交易所购买
ak_combat_notice_exchange_buy_success_suffix,,购买成功
ak_combat_notice_chest_reward_prefix,,宝箱获得
ak_combat_notice_equipment_equipped_prefix,,穿戴了
ak_combat_notice_equipment_unequipped_prefix,,脱下了
name_unknown_room,Unknown Room,未知房间
ak_tooltip_term_poison_name,Poison,中毒
ak_tooltip_term_poison_desc,"Periodically takes magical damage. Damage is based on the applier's total attributes, and all stacks contribute to total poison damage.",周期性受到魔法伤害。伤害基于施加者全属性，所有层数共同参与总毒伤害计算。
ak_tooltip_term_dot_name,Damage over Time,持续伤害
ak_tooltip_term_dot_desc,Cannot critically strike. Affected by damage over time bonuses.,无法触发暴击，受到持续伤害加成影响，默认伤害间隔为0.5秒。
ak_tooltip_term_thunderized_name,Thunderized,雷化
ak_tooltip_term_thunderized_desc,"Let storm energy flood your body, briefly entering Thunderized state. Some monster skills are deflected by this charge, and Lightning Walls yield a path for you; the power fades after your next main attack.",让风暴能量灌注身体，短暂进入雷化状态。部分怪物技能会被这层电荷偏转，雷墙也会对你让出通路；这份力量会在下一次主攻击后消散。
ak_tooltip_term_thunderized_counter_break_name,Thunderized Break,雷化破招
ak_tooltip_term_thunderized_counter_break_desc,"While Thunderized, your main attack can tear into the magical structure of a monster's cast. If it hits a suitable target, the skill is interrupted and the monster briefly falters.",在雷化状态下发动主攻击，可撕开怪物施法时形成的魔力结构。若命中合适的目标，其技能会被中断，并陷入短暂失衡。
ak_tooltip_term_perfect_thunderized_name,Perfect Thunderized,精准雷化
ak_tooltip_term_perfect_thunderized_desc,"Enter Thunderized state at the critical instant before a monster skill finishes charging. If the timing is precise, the storm briefly answers, making your movement and next attack more lethal.",在怪物技能即将完成蓄力的临界瞬间进入雷化。若时机足够精确，风暴会短暂回应，使你的移动与下一次攻击更加致命。
ak_tooltip_term_burn_name,Burn,灼烧
ak_tooltip_term_burn_desc,"Periodically takes pure damage. Normal targets take 15% of current health per second, elites take 7.5%, and bosses/chieftains take 1.5%; healing and regeneration received are reduced by 25%.",周期性受到纯粹伤害。普通目标每秒受到当前生命值 15%，精英 7.5%，头目和首领 1.5%；治疗与恢复效果降低 25%。
ak_tooltip_term_ignite_name,Ignite,点燃
ak_tooltip_term_ignite_desc,"Deals pure damage to enemies every second based on Intelligence and Strength, and reduces their armor and magic resistance.",每秒使敌人受到基于智力和力量的纯粹伤害，并降低其护甲和魔法抗性。
ak_tooltip_term_shield_name,Shield,护盾
ak_tooltip_term_shield_desc,"Blocks non-pure damage. It will not recover for 3 seconds after taking damage; once recovery starts, it restores 25% per second.",抵挡非纯粹伤害。受到伤害后 3 秒内不会恢复；开始恢复后每秒恢复 25%。
ak_tooltip_term_bleed_name,Bleed,流血
ak_tooltip_term_bleed_desc,Periodically takes physical damage. Damage is based on the final damage that triggered Bleed; repeated applications merge remaining damage and refresh the duration.,"流血仅可能被物理伤害触发,周期受到纯粹伤害,伤害基于触发流血一击的最终伤害的70%,同时仅受到流血伤害和持续伤害加成。"
ak_tooltip_term_ice_slow_name,Freeze,冰冻
ak_tooltip_term_ice_slow_desc,"Movement speed and attack speed are reduced. Each stack reduces them by 3%, up to 10 stacks.",移动速度和攻击速度降低。每层降低 3%，最高叠加 10 层。
ak_tooltip_term_chilled_name,Chilled,冷冻
ak_tooltip_term_chilled_desc,Reduces monster attack speed and movement speed.,怪物的攻击速度和移动速度降低。
ak_tooltip_term_stun_name,Stun,眩晕
ak_tooltip_term_stun_desc,Unable to move attack or cast. Duration is affected by stun resistance.,无法移动、攻击或施法。持续时间会受到眩晕抗性影响。
ak_tooltip_term_vulnerable_name,Vulnerable,易伤
ak_tooltip_term_vulnerable_desc,"Increases all damage taken. Starts at 15%, with +2% per extra stack, up to 25%.",承受的所有伤害提高。初始提高 15%，每层额外提高 2%，最高 25%。
ak_tooltip_term_attack_crit_name,Crit,暴击
ak_tooltip_term_crit_name,Crit,暴击
ak_tooltip_term_attack_crit_desc,"Normal attacks have a chance to deal higher damage. Initial attack crit chance is 5%, and crit damage is 180%.",普通攻击有概率造成更高伤害。初始暴击为 5%，暴击伤害为 180%。
ak_tooltip_term_ability_crit_name,Ability Crit,技能暴击
ak_tooltip_term_ability_crit_desc,"Ability damage has a chance to deal higher damage. Initial crit damage is 180%; when triggered, it uses the current crit damage multiplier.",技能伤害有概率造成更高伤害。初始暴击伤害为 180%。触发后使用当前暴击伤害倍率。
ak_tooltip_term_omni_crit_name,Omni Crit,全域暴击
ak_tooltip_term_omni_crit_desc,Increases all crit chances.,提高所有暴击概率。
ak_tooltip_term_evasion_rate_name,Evasion Rate,闪避率
ak_tooltip_term_evasion_name,Evasion,闪避
ak_tooltip_term_evasion_desc,Has a chance to dodge attacks. Multiple evasion sources are calculated separately.,有概率躲避攻击。多个闪避来源会分别计算。
ak_tooltip_term_block_name,Block,格挡
ak_tooltip_term_block_desc,Reduces final damage taken.,减少最终受到的伤害。
ak_tooltip_term_glow_name,Glow,发光
ak_tooltip_term_glow_desc,A light emitted by the unit that can dispel darkness.,自身发出光亮，可以驱散黑暗。
ak_tooltip_term_healing_reduction_name,Healing Reduction,治疗降低
ak_tooltip_term_healing_reduction_desc,Reduces healing and lifesteal received.,受到的治疗和吸血效果降低。
ak_tooltip_term_omni_lifesteal_name,Omni Lifesteal,全域吸血
ak_tooltip_term_omni_lifesteal_desc,Increases all lifesteal.,提高所有吸血。
ak_tooltip_term_attack_effect_name,Attack Effect,攻击特效
ak_tooltip_term_attack_effect_desc,Triggers all attack-triggered effects.,会触发所有攻击触发效果。
ak_tooltip_term_charge_name,Charge,充能
ak_tooltip_term_charge_desc,Consumed according to charge count and unaffected by cooldown reduction.,按照充能次数消耗，不受冷却缩减影响。
ak_tooltip_term_gold_storage_name,Gold Storage,储存
ak_tooltip_term_gold_storage_desc,Stored gold will not drop on death and does not take backpack space.,储存的金币不会因为死亡掉落，也不会占用背包空间。
ak_tooltip_term_pure_damage_name,Pure Damage,纯粹伤害
ak_tooltip_term_pure_damage_desc,"Pure damage ignores armor and magic resistance, but cannot crit.",纯粹伤害无视护甲和魔法抗性，但是无法暴击。
ak_tooltip_term_skill_damage_amp_name,Ability Damage Bonus,技能伤害
ak_tooltip_term_skill_damage_amp_desc,Increases damage dealt by abilities.,提高技能造成的伤害。
ak_tooltip_term_magical_damage_bonus_name,Magical Damage Bonus,魔法伤害加成
ak_tooltip_term_magical_damage_bonus_desc,Increases magical damage dealt.,提高造成的魔法类型伤害。
ak_tooltip_term_damage_bonus_name,Damage Bonus,伤害加成
ak_tooltip_term_damage_bonus_desc,Increases all damage dealt.,提高造成的全部伤害。
ak_tooltip_term_final_damage_name,Final Damage,最终伤害
ak_tooltip_term_final_damage_desc,"The health actually lost after damage bonuses, critical strikes, defenses, damage taken modifiers, blocks, shields, and other effects are resolved.",对伤害最终结算进行单独乘算加成。
ak_ability_behavior_none,None,无
ak_ability_behavior_passive,Passive,被动
ak_ability_behavior_no_target,No Target,无目标
ak_ability_behavior_unit_target,Unit Target,单位目标
ak_ability_behavior_point,Point Target,点目标
ak_ability_behavior_toggle,Toggle,开关
ak_ability_behavior_channelled,Channelled,持续施法
ak_ability_behavior_autocast,Autocast,自动施法
ak_skill_type_active,Active,主动
ak_skill_type_passive,Passive,被动
ak_skill_type_damage,Damage,伤害
ak_skill_type_buff,Buff,增益
ak_skill_type_movement,Movement,位移
ak_skill_type_charge,Charge,充能
ak_item_type_equip,Equip,装备
ak_item_type_pet,Pet,宠物
ak_item_type_material,Material,材料
ak_item_type_special,Special,特殊
ak_item_type_blueprint,Blueprint,配方
ak_item_type_gem,Sigil,符印
ak_item_type_change,Transmog,幻化
ak_item_type_potion,Potion,药剂
ak_item_type_identity,Identity Tag,身份标识
ak_item_type_stone,Fate Stone,命石
ak_gem_stat_charge_no_consume_chance,Charge Refund,充能返还
ak_gem_stat_aoe,Area of Effect,作用范围
ak_gem_stat_damage,Ability Damage,技能伤害
ak_gem_stat_duration,Duration,持续时间
ak_gem_stat_movement,Movement Distance,位移距离
ak_gem_stat_probability,Trigger Chance Bonus,触发概率加成
ak_gem_stat_mana_cost,Mana Cost,魔法消耗
ak_gem_stat_health_cost,Health Cost,生命消耗
ak_gem_stat_cooldown,Cooldown,冷却时间
ak_gem_stat_cast_range,Cast Range,施法距离
ak_gem_stat_charge_restore_time,Charge Restore Time,充能时间
ak_gem_stat_charge_count,Charge Count,充能上限
ak_gem_stat_projectile_speed,Projectile Speed,投射物速度
ak_gem_stat_heal,Healing,治疗量
ak_gem_stat_buff_power,Buff Power,增益强度
ak_target_team_enemy,Enemy,敌方
ak_target_team_friendly,Friendly,友方
ak_target_team_both,Both,双方
ak_target_team_custom,Custom,自定义
ak_tooltip_reforge_none,Unreforged,未重铸
ak_tooltip_reforge_prefix,Reforge.,重铸.
ak_tooltip_neutral_tier_prefix,Tier ,第
ak_tooltip_neutral_tier_suffix, neutral item,特殊宝物
ak_tooltip_affect_skill_prefix,Affects skills: ,影响技能：
ak_tooltip_skill_prefix,Skill: ,技能：
ak_tooltip_profession_limit_prefix,Profession limit: ,职业限制：
ak_tooltip_affects_prefix,Affects: ,影响：
ak_tooltip_unit_suffix, units,单位
ak_tooltip_all_skills,All skills,所有技能
ak_tooltip_skill_suffix, skills,技能
ak_tooltip_no_limit,No limit,无限制
ak_tooltip_recipe_formula,Recipe,制作配方
ak_tooltip_hold_alt_terms,Hold Alt to view term details,按住 Alt 查看词条说明
ak_tooltip_term_glossary_title,Term Details,词条说明
ak_tooltip_term_damage_resistance_name,Damage Resistance,伤害抵抗
ak_tooltip_term_damage_resistance_desc,"Final damage taken = damage / (1 + Damage Resistance). In this calculation, 100% Damage Resistance equals 1.",最终受到伤害 = 伤害 ÷（1 + 伤害抵抗）。计算时，100%伤害抵抗按1计。
ak_tooltip_max_charge_points,Max charges: ,最大能量点数：
ak_tooltip_base_charge_restore_time,Base charge time: ,基础充能时间：
ak_tooltip_used_count_prefix,Used: ,已使用数量:
ak_tooltip_daily_remaining_challenge_prefix,Challenges remaining today: ,今日剩余挑战次数：
ak_tooltip_sell_price_prefix,Sell: ,售价: 
custom_settings_title,Settings,设置
custom_settings_cursor_move_hotkey,Hold-to-move Hotkey,持续移动快捷键
custom_settings_cursor_move_hotkey_desc,Hold the configured hotkey to keep moving your hero toward the cursor. You can untick it at any time to pause this behavior.,按住已设置的快捷键时，英雄会持续向鼠标指向位置移动。可随时取消勾选来暂停使用。
custom_settings_cursor_move_hotkey_hint,After clearing it you need to set a hotkey again before it can be enabled.,清除后需要重新设置快捷键才能启用。
custom_settings_show_other_player_pickup_info,Show Other Pickup Notices,展示他人拾取信息
custom_settings_show_other_player_pickup_info_desc,When enabled you will see item pickup notices from other players. Your own pickup notices are always shown.,开启后会显示其他玩家拾取物品的通知。关闭后仍会显示你自己的拾取信息。
custom_settings_lock_camera_to_hero,Lock Camera,锁定屏幕
custom_settings_lock_camera_to_hero_desc,When enabled the camera follows your hero. When disabled it returns to normal camera control.,开启后镜头会跟随你的英雄。关闭后恢复为普通镜头控制。
custom_settings_hide_tooltip_term_glossary,Hide Term Details by Default,默认隐藏词条说明
custom_settings_hide_tooltip_term_glossary_desc,When enabled term details in ability and item descriptions are collapsed by default and expand while holding Alt.,开启后，技能和物品说明中的词条说明默认收起，仅在按住 Alt 时展开。
custom_settings_enable_bgm,Enable BGM,启用BGM
custom_settings_enable_bgm_desc,When enabled the map plays Axe King BGM. When disabled a silent music loop is played to suppress both native and custom BGM.,开启后播放本地图 BGM。关闭后会播放静音音乐循环，用于压住原生和自定义 BGM。
custom_settings_show_normal_damage_numbers,Show Normal Damage Numbers,展示普通伤害数字
custom_settings_show_normal_damage_numbers_desc,"When enabled, combined normal damage numbers are displayed. Critical-hit numbers and hit effects are always shown.",开启后会显示合并后的普通伤害数字。暴击数字和受击特效始终显示。
custom_settings_hide_own_hero_effects,Hide Own Hero Effects,屏蔽自身英雄特效
custom_settings_hide_own_hero_effects_desc,"When enabled, newly created skill and equipment effects from your own hero are hidden. Other players, monsters, and system effects are unaffected.",开启后不再显示自己英雄的新建技能和装备特效，其他玩家、怪物和系统特效不受影响。
custom_settings_hide_other_hero_effects,Hide Other Hero Effects,屏蔽其他英雄特效
custom_settings_hide_other_hero_effects_desc,"When enabled, newly created skill and equipment effects from other heroes are hidden. Monster and system effects are unaffected.",开启后不再显示其他英雄的新建技能和装备特效，怪物和系统特效不受影响。
custom_settings_knapsack_scale,Backpack Scale,背包缩放比例
custom_settings_minimap_scale,Minimap Scale,小地图缩放比例
custom_settings_camera_height,Camera Height,镜头高度
custom_settings_unstuck_death,Unstuck,脱离卡死
custom_settings_unstuck_death_desc,"Use this only when your hero is stuck. You will die voluntarily, take normal death penalties, and will not trigger revive, death prevention, or save effects.",仅在英雄卡住时使用。使用后会主动阵亡并承受正常死亡惩罚，不会触发复活、免死或防死效果。
custom_settings_unstuck_return_to_transfer_point_desc,"You are currently at the base. Click to move your hero precisely to the base transfer point without triggering death, cooldown, or settlement.",当前位于基地。点击后将英雄精确移动到基地传送点，不会触发死亡、冷却或结算。
custom_settings_unstuck_death_ready,Ready,可用
custom_settings_unstuck_death_cooldown,Cooldown {time}s,冷却 {time}秒
custom_settings_unstuck_death_unavailable_scene,Only available in normal maps.,只能在普通地图中使用。
custom_settings_unstuck_death_confirm_title,Confirm Unstuck,确认脱离卡死
custom_settings_unstuck_death_confirm_desc,"Your hero will die voluntarily and take normal death penalties. This will not trigger revive, death prevention, or save effects.",你的英雄将主动阵亡，并按正常死亡惩罚处理。本次不会触发复活、免死或防死效果。
custom_settings_unstuck_death_cancel,Cancel,取消
custom_settings_unstuck_death_confirm,Confirm Death,确认阵亡
custom_settings_clear_ground_items,Clear Ground Items,清除地上物品
custom_settings_clear_ground_items_desc,"Clear all pickable ground items older than 20 minutes across the whole map. Items within 1000 range of living players are protected. Cooldown: 20 minutes.",清除全图超过20分钟的地上可拾取物品。存活玩家周围1000范围内的物品不会被清除。冷却时间20分钟。
custom_settings_clear_ground_items_cooldown,Cooldown {time}s,冷却 {time}秒
custom_settings_clear_ground_items_confirm_title,Confirm Clear Ground Items,确认清除地上物品
custom_settings_clear_ground_items_confirm_desc,"This will clear all pickable ground items older than 20 minutes across the whole map (including materials and player death drops). Items within 1000 range of living players are protected. Cooldown: 20 minutes per player.",将清除全图超过20分钟的地上可拾取物品（含材料与玩家死亡掉落）。存活玩家周围1000范围内的物品不会被清除。此操作每人冷却20分钟。
custom_settings_clear_ground_items_cancel,Cancel,取消
custom_settings_clear_ground_items_confirm,Confirm Clear,确认清除
custom_settings_open_dota_settings,Open Dota 2 Settings,DOTA2设置
hud_portrait_give_up,GIVE UP,放弃等待
hud_portrait_give_up_confirm_title,Confirm Give Up,确认放弃营救
hud_portrait_give_up_confirm_desc,"You will stop waiting for teammates to rescue you. This action cannot be undone.",你将不再等待队友营救，此操作不可撤销。
hud_portrait_give_up_cancel,Cancel,取消
hud_portrait_give_up_confirm,Confirm,确认放弃
ak_tooltip_charge_base_prefix,Base:,基础：
ak_tooltip_charge_restore_time,Charge Time:,充能时间：
ak_tooltip_divine_forged_description,Divine Forged: Attributes and equipment effects are increased!,神铸：属性和装备效果被提高了！
ak_tooltip_divine_forged,Divine Forged,神铸
ak_tooltip_fixed,Fixed,固定
ak_tooltip_enhanced,Enhanced,强化
hud_profession_guide_instructor,Instructor,教官
hud_profession_guide_trial_instructor,Trial Instructor,试炼教官
hud_profession_guide_trial_character,Trial Character,体验角色
hud_profession_guide_options_choose_response,Choose your response,选择你的回应
hud_profession_guide_choose_trial,Choose Trial,选择体验
hud_profession_guide_decided,I've made my choice,我想好了
hud_profession_guide_think_again,Let me think again,我再想想
hud_profession_guide_understood,Got it,我知道了
hud_mg003_guide_display_name,Ogre Magi Instructor,食人魔法师教官
hud_mg003_guide_description,"Your first attack is the break. Your ball group is assigned at random; pocket all of your balls, then pocket the Black 8 to win.",首次攻击即开球，随机分配你的球组；将己方球全部入袋，最后打入黑8获胜。
hud_mg003_guide_archetype,Mini-game Rules · Billiards,小游戏规则 · 台球
hud_mg003_guide_speaker,Mini-game Tutorial,小游戏教学
hud_mg003_guide_identity,Start Billiards,开始台球
hud_mg002_guide_display_name,Rubick Instructor,拉比克教官
hud_mg002_guide_description,"Follow the paths to collect every floor reward. Ghosts will relentlessly chase you; eat a Power Bean to defeat them.","沿着道路收集所有地面奖励。幽灵会持续追逐你，吃下能量豆后可以反杀幽灵。"
hud_mg002_guide_archetype,Mini-game Rules · Maze,小游戏规则 · 迷宫
hud_mg002_guide_speaker,Mini-game Tutorial,小游戏教学
hud_mg002_guide_identity,Start Maze,开始迷宫
hud_mg004_guide_display_name,Ringmaster Instructor,百戏大王教官
hud_mg004_guide_description,"At the start, the instructor assigns one target state. Find the matching monster in all three rounds to complete the challenge.",挑战开始时，教官会指定一种目标状态。连续三轮找出符合该状态的怪物即可完成挑战。
hud_mg004_guide_description_facing,This challenge asks you to find the monster <font color='#ff5a5a'><b>facing you</b></font>. The same target applies to all three rounds.,本次挑战需要找出<font color='#ff5a5a'><b>面对你</b></font>的怪物，连续三轮的目标状态保持不变。
hud_mg004_guide_description_back_facing,This challenge asks you to find the monster <font color='#ff5a5a'><b>with its back to you</b></font>. The same target applies to all three rounds.,本次挑战需要找出<font color='#ff5a5a'><b>背对你</b></font>的怪物，连续三轮的目标状态保持不变。
hud_mg004_guide_description_attacking,This challenge asks you to find the monster that is <font color='#ff5a5a'><b>attacking</b></font>. The same target applies to all three rounds.,本次挑战需要找出<font color='#ff5a5a'><b>正在攻击</b></font>的怪物，连续三轮的目标状态保持不变。
hud_mg004_guide_description_running,This challenge asks you to find the monster that is <font color='#ff5a5a'><b>running</b></font>. The same target applies to all three rounds.,本次挑战需要找出<font color='#ff5a5a'><b>正在奔跑</b></font>的怪物，连续三轮的目标状态保持不变。
hud_mg004_task_title,State Recognition,状态识别
hud_mg004_task_facing,Select the monster facing you,选出面对你的怪物
hud_mg004_task_back_facing,Select the monster with its back to you,选出背对你的怪物
hud_mg004_task_attacking,Select the attacking monster,选出正在攻击的怪物
hud_mg004_task_running,Select the running monster,选出正在奔跑的怪物
hud_mg004_guide_archetype,Mini-game Rules · State Recognition,小游戏规则 · 状态识别
hud_mg004_guide_speaker,Mini-game Tutorial,小游戏教学
hud_mg004_guide_identity,Start Challenge,开始挑战
hud_profession_guide_intro_description,Welcome to the World of Weapons. This is a combat trial. Prove yourself to earn a Profession Change Certificate. Never pet a cat.,欢迎来到兵器世界，这是一场战斗试炼，你需要证明自己的能力，以获得转职证明。一定不要摸小猫。
hud_profession_guide_intro_archetype,Combat Trial · Entrance Test,战斗试炼 · 入门考验
hud_profession_guide_intro_identity,Begin Trial,开始试炼
hud_profession_guide_intro_confirm,I understand. Bring it on...,我明白了，来吧……
hud_profession_guide_intro_reconsider,I'm not ready yet...,我还没准备好……
hud_profession_guide_phantom_assassin_description,"I exploit enemy weaknesses with agility and burst damage. Choose me for nimble movement and high single-target damage, but you must know when to advance and retreat.",我擅长以敏捷和爆发撕开敌人的弱点。选择我，你会获得灵活的身法与高额单体伤害，但也需要把握进退时机。
hud_profession_guide_phantom_assassin_archetype,Agility · Burst Assassin,敏捷 · 爆发刺杀
hud_profession_guide_axe_description,"I rely on strength and resilience to stand where the danger is greatest. Choose me to endure damage, draw enemy attention, and control the battlefield with counterattacks.",我依靠力量与坚韧站在最危险的位置。选择我，你会擅长承受伤害、吸引敌人并用反击掌控战场。
hud_profession_guide_axe_archetype,Strength · Melee Counterattack,力量 · 近战反击
