--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 9d26fbd · 2026-08-03 06:18:41 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
achievement_name_4000421,幽鬼历练,Spectre Trials,Испытание Spectre
achievement_name_4000431,矮人直升机历练,Gyrocopter Trials,Испытание Gyrocopter
achievement_name_4000441,力丸历练,Riki Trials,Испытание Riki
achievement_name_4000451,美杜莎历练,Medusa Trials,Испытание Medusa
achievement_name_4000461,主宰历练,Juggernaut Trials,Испытание Juggernaut
achievement_name_4000471,冥界亚龙历练,Viper Trials,Испытание Viper
achievement_name_4000481,克林克兹历练,Clinkz Trials,Испытание Clinkz
achievement_name_4000491,露娜历练,Luna Trials,Испытание Luna
achievement_name_4000501,巨魔战将历练,Troll Warlord Trials,Испытание Troll Warlord
achievement_name_4000511,熊战士历练,Ursa Trials,Испытание Ursa
achievement_name_4000521,敌法师历练,Anti-Mage Trials,Испытание Anti-Mage
achievement_name_4000531,森海飞霞历练,Hoodwink Trials,Испытание Hoodwink
achievement_name_4000541,编织者历练,Weaver Trials,Испытание Weaver
achievement_name_4000551,变体精灵历练,Morphling Trials,Испытание Morphling
achievement_name_4000561,恐怖利刃历练,Terrorblade Trials,Испытание Terrorblade
achievement_name_4000571,血魔历练,Bloodseeker Trials,Испытание Bloodseeker
achievement_name_4000581,米拉娜历练,Mirana Trials,Испытание Mirana
achievement_name_4000591,圣堂刺客历练,Templar Assassin Trials,Испытание Templar Assassin
achievement_name_4000601,凯历练,Kez Trials,Испытание Kez
achievement_name_4000611,赏金猎人历练,Bounty Hunter Trials,Испытание Bounty Hunter
achievement_name_4000621,痛苦女王历练,Queen of Pain Trials,Испытание Queen of Pain
achievement_name_4000631,莱恩历练,Lion Trials,Испытание Lion
achievement_name_4000641,宙斯历练,Zeus Trials,Испытание Zeus
achievement_name_4000651,莉娜历练,Lina Trials,Испытание Lina
achievement_name_4000661,拉比克历练,Rubick Trials,Испытание Rubick
achievement_name_4000671,邪影芳灵历练,Dark Willow Trials,Испытание Dark Willow
achievement_name_4000681,天怒法师历练,Skywrath Mage Trials,Испытание Skywrath Mage
achievement_name_4000691,杰奇洛历练,Jakiro Trials,Испытание Jakiro
achievement_name_4000701,瘟疫法师历练,Necrophos Trials,Испытание Necrophos
achievement_name_4000711,帕克历练,Puck Trials,Испытание Puck
achievement_name_4000721,术士历练,Warlock Trials,Испытание Warlock
achievement_name_4000731,魅惑魔女历练,Enchantress Trials,Испытание Enchantress
achievement_name_4000741,风暴之灵历练,Storm Spirit Trials,Испытание Storm Spirit
achievement_name_4000751,拉席克历练,Leshrac Trials,Испытание Leshrac
achievement_name_4000761,琼英碧灵历练,Muerta Trials,Испытание Muerta
achievement_name_4000771,巫医历练,Witch Doctor Trials,Испытание Witch Doctor
achievement_name_4000781,殁境神蚀者历练,Outworld Destroyer Trials,Испытание Outworld Destroyer
achievement_name_4000791,巫妖历练,Lich Trials,Испытание Lich
achievement_name_4000801,修补匠历练,Tinker Trials,Испытание Tinker
achievement_name_4000811,远古冰魄历练,Ancient Apparition Trials,Испытание Ancient Apparition
achievement_name_4000821,祈求者历练,Invoker Trials,Испытание Invoker
achievement_name_4000831,水晶室女历练,Crystal Maiden Trials,Испытание Crystal Maiden
achievement_name_4000841,暗影恶魔历练,Shadow Demon Trials,Испытание Shadow Demon
achievement_name_4000851,百戏大王历练,Ringmaster Trials,Испытание Ringmaster
achievement_name_4000861,黑暗贤者历练,Dark Seer Trials,Испытание Dark Seer
achievement_name_4000871,干扰者历练,Disruptor Trials,Испытание Disruptor
achievement_name_4000881,光之守卫历练,Keeper of the Light Trials,Испытание Keeper of the Light
achievement_name_4000891,帕格纳历练,Pugna Trials,Испытание Pugna
achievement_name_4000901,天涯墨客历练,Grimstroke Trials,Испытание Grimstroke
achievement_name_4000911,寒冬飞龙历练,Winter Wyvern Trials,Испытание Winter Wyvern
achievement_name_4000921,沉默术士历练,Silencer Trials,Испытание Silencer
achievement_name_4000931,暗影萨满历练,Shadow Shaman Trials,Испытание Shadow Shaman
achievement_name_4000941,剧毒术士历练,Venomancer Trials,Испытание Venomancer
achievement_name_4000951,亚巴顿历练,Abaddon Trials,Испытание Abaddon
achievement_name_4000961,风行者历练,Windranger Trials,Испытание Windranger
achievement_name_4000971,司夜刺客历练,Nyx Assassin Trials,Испытание Nyx Assassin
achievement_name_4000981,兽王历练,Beastmaster Trials,Испытание Beastmaster
achievement_name_4000991,电炎绝手历练,Snapfire Trials,Испытание Snapfire
achievement_name_4001001,工程师历练,Techies Trials,Испытание Techies
achievement_name_4001011,沙王历练,Sand King Trials,Испытание Sand King
achievement_name_4001021,凤凰历练,Phoenix Trials,Испытание Phoenix
achievement_name_4001031,石鳞剑士历练,Pangolier Trials,Испытание Pangolier
achievement_name_4001041,发条技师历练,Clockwerk Trials,Испытание Clockwerk
achievement_name_4001051,蝙蝠骑士历练,Batrider Trials,Испытание Batrider
achievement_name_4001061,虚无之灵历练,Void Spirit Trials,Испытание Void Spirit
achievement_name_4001071,马格纳斯历练,Magnus Trials,Испытание Magnus
achievement_name_4001081,玛西历练,Marci Trials,Испытание Marci
achievement_name_4001091,谜团历练,Enigma Trials,Испытание Enigma
achievement_name_4001101,祸乱之源历练,Bane Trials,Испытание Bane
achievement_name_4001111,死亡先知历练,Death Prophet Trials,Испытание Death Prophet
achievement_name_500001,攻速鞋,Attack Speed Boots,Ботинки на скор. атаки
achievement_name_500002,特效大师,VFX Master,VFX-мастер
achievement_name_500003,电锤思维,Maelstrom Mind,Мышление молний
achievement_name_500004,法术暴击,Spell Crit,Крит заклинаний
achievement_name_500005,一拳超人,One Punch Man,Ванпанчмен
achievement_name_500006,我真没K,Culling,Казнь
achievement_name_500007,烂命两条,Quick Respawn,Быстрое возрождение
achievement_name_500008,泉水会员,Fountain Member,Член фонтана
achievement_name_500009,限定盲盒,Limited Blind Box,Ограниченный таинственный ларец