--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese,Russian,Vietnamese
msg_宠物_请将宠物蛋拖拽到宠物槽上阵,,请将宠物蛋拖拽到宠物槽上阵,,
msg_宠物_未能创建宠物蛋,,未能创建宠物蛋,,
msg_宠物_未找到对应的宠物蛋,,未找到对应的宠物蛋,,
msg_宠物_需要装备5级以上宠物才能设置拾取名单,,需要装备5级以上宠物才能设置拾取名单,,
msg_宠物_已切换出战宠物,,已切换出战宠物：{value},,
msg_传送门_该地图已开启为难度_请选择对应传送,,该地图已开启为{value}难度，请选择对应传送,,
msg_传送门_金币不足,,金币不足!,,
msg_传送门_金币不足_无法支付传送费用_已返回基地,,金币不足，无法支付传送费用，已返回基地,,
msg_传送门_需要先从该地图成功撤离一次才能使用传送,,需要先从该地图成功撤离一次才能使用传送!,,
msg_传送门_英雄未就绪_无法进入地图,,英雄未就绪，无法进入地图,,
msg_兑换码_背包或仓库空间不足_暂时无法发放奖励,,背包或仓库空间不足，暂时无法发放奖励,,
msg_兑换码_兑换码不存在或已失效,,兑换码不存在或已失效,,
msg_兑换码_该兑换码奖励配置异常_请联系管理员,,该兑换码奖励配置异常，请联系管理员,,
msg_兑换码_该兑换码已经使用过了,,该兑换码已经使用过了,,
msg_兑换码_请输入有效兑换码,,请输入有效兑换码,,
msg_房间_材料已提交,,材料已提交,,
msg_房间_传送失败_已离开确认范围,,传送失败，已离开确认范围,,
msg_房间_没有可提交的材料,,没有可提交的材料,,
msg_房间_请靠近信号塔后再提交材料,,请靠近信号塔后再提交材料,,
msg_房间_提交材料失败,,提交材料失败,,
msg_房间_信号塔尚未启用,,信号塔尚未启用,,
msg_会馆_未解锁传功能,,未解锁传功能!,,
msg_会馆_未解锁会馆商人功能,,未解锁会馆商人功能!,,
msg_会馆_未解锁交易所功能,,未解锁交易所功能!,,
msg_会馆_未解锁炼金系统,,未解锁炼金系统!,,
msg_会馆_未解锁远古商店,,未解锁远古商店!,,
msg_教程_别灰心_记得及时使用药剂,,别灰心，记得及时使用药剂。,,
msg_教程_当前存档已完成新手教程,,当前存档已完成新手教程,,
msg_教程_当前无法切换新手职业_请重新选择,,当前无法切换新手职业，请重新选择,,
msg_教程_当前职业清理失败_请重新选择,,当前职业清理失败，请重新选择,,
msg_教程_该挑战已经完成_请选择其他难度,,该挑战已经完成，请选择其他难度,,
msg_教程_奖励发放失败_请整理背包后重新挑战,,{displayName}奖励发放失败，请整理背包后重新挑战,,
msg_教程_教程补给恢复失败_请整理背包后重试,,教程补给恢复失败，请整理背包后重试,,
msg_教程_教程房间已完成,,教程房间已完成,,
msg_教程_教程进度写入失败_请重新进入撤离点重试,,教程进度写入失败，请重新进入撤离点重试,,
msg_教程_教程完成状态写入失败_请再次从_M001_撤离,,教程完成状态写入失败，请再次从 M001 撤离,,
msg_教程_教程中暂时不会死亡,,教程中暂时不会死亡,,
msg_教程_首通记录写入失败_请重新挑战,,{displayName}首通记录写入失败，请重新挑战,,
msg_教程_挑战奖励发放失败_未找到本轮临时职业,,挑战奖励发放失败：未找到本轮临时职业,,
msg_教程_新手教程测试已完成,,新手教程测试已完成,,
msg_教程_新手教程初始化超时_请重新进入游戏,,新手教程初始化超时，请重新进入游戏,,
msg_教程_新手教程已完成,,新手教程已完成,,
msg_教程_新手职业创建失败_请重新选择,,新手职业创建失败，请重新选择,,
msg_教程_已进入新手教程房间,,已进入新手教程房间,,
msg_教程_M001_教程进度写入失败_请重新进入_M001,,M001 教程进度写入失败，请重新进入 M001,,
msg_炼金_背包和仓库已满_物品已掉落在英雄附近,,背包和仓库已满，物品已掉落在英雄附近,,
msg_炼金_背包或仓库中没有该材料,,背包或仓库中没有该材料,,
msg_炼金_材料已放入炼金法阵,,材料已放入炼金法阵,,
msg_炼金_材料已取出,,材料已取出,,
msg_炼金_存档加载中_请稍后再试,,存档加载中，请稍后再试,,
msg_炼金_放入材料失败,,放入材料失败,,
msg_炼金_该材料不能用于炼金,,该材料不能用于炼金!,,
msg_炼金_该槽位已解锁,,该槽位已解锁,,
msg_炼金_该槽位已有材料,,该槽位已有材料,,
msg_炼金_该炼金法阵槽位已达上限,,该炼金法阵槽位已达上限,,
msg_炼金_该炼金法阵已解锁,,该炼金法阵已解锁,,
msg_炼金_该炼金法阵暂未开放,,该炼金法阵暂未开放,,
msg_炼金_货币不足,,货币不足,,
msg_炼金_获得_个远古钱币,,获得 {claimAmount} 个远古钱币,,
msg_炼金_获得_个远古钱币_2,,获得 {total} 个远古钱币,,
msg_炼金_解锁材料不足,,解锁材料不足,,
msg_炼金_凯蒂斯遗物不足,,凯蒂斯遗物不足,,
msg_炼金_扣除解锁材料失败,,扣除解锁材料失败,,
msg_炼金_扣除凯蒂斯遗物失败,,扣除凯蒂斯遗物失败,,
msg_炼金_扣除玛雅遗物失败,,扣除玛雅遗物失败,,
msg_炼金_炼金法阵槽位已解锁,,炼金法阵槽位已解锁,,
msg_炼金_炼金法阵已解锁,,炼金法阵已解锁,,
msg_炼金_炼金收益上限已提升,,炼金收益上限已提升,,
msg_炼金_玛雅遗物不足,,玛雅遗物不足,,
msg_炼金_目标格无法放入该材料,,目标格无法放入该材料,,
msg_炼金_请先解锁炼金法阵,,请先解锁炼金法阵,,
msg_炼金_暂无可领取收益,,暂无可领取收益,,
msg_内测码_操作太快了_请稍后再试,,操作太快了，请稍后再试!(2352),,
msg_内测码_获取激活码失败_请稍后重试,,获取激活码失败，请稍后重试,,
msg_内测码_激活码验证失败_请稍后重试,,激活码验证失败，请稍后重试,,
msg_内测码_内测码已发放完毕,,内测码已发放完毕,,
msg_内测码_使用内测码成功,,使用内测码成功,,
msg_排行榜_排行榜标签设置失败,,排行榜标签设置失败,,
msg_赛季商店_赛季个人贡献,,赛季个人贡献 +{contribution},,
msg_商城_背包或仓库空间不足_奖励领取失败_请整理空间后再领取,,背包或仓库空间不足，奖励领取失败，请整理空间后再领取,,
msg_商城_背包或仓库空间不足_礼包奖励发放失败_请整理空间后联系管理员处理,,背包或仓库空间不足，礼包奖励发放失败，请整理空间后联系管理员处理,,
msg_商城_背包或仓库空间不足_无法兑换该物品,,背包或仓库空间不足，无法兑换该物品,,
msg_商城_背包或仓库空间不足_无法领取额外奖励,,背包或仓库空间不足，无法领取额外奖励,,
msg_商城_背包或仓库空间不足_赞助勋章发放失败_请整理空间后联系管理员处理,,背包或仓库空间不足，赞助勋章发放失败，请整理空间后联系管理员处理,,
msg_商城_背包与仓库空间不足_且无法将秘宝奖励掉落到地面,,背包与仓库空间不足，且无法将秘宝奖励掉落到地面,,
msg_商城_操作太快了_请稍后再试,,操作太快了，请稍后再试!(2351),,
msg_商城_当前没有可领取的额外奖励,,当前没有可领取的额外奖励,,
msg_商城_典藏秘宝饰品发放失败,,典藏秘宝饰品发放失败: {itemId},,
msg_商城_典藏秘宝饰品配置无效,,典藏秘宝饰品配置无效: {itemId},,
msg_商城_额外奖励参数无效,,额外奖励参数无效,,
msg_商城_额外奖励状态已刷新_请重新领取,,额外奖励状态已刷新，请重新领取,,
msg_商城_每日特惠购买失败,,每日特惠购买失败,,
msg_商城_秘宝参数无效,,秘宝参数无效,,
msg_商城_秘宝动态奖池配置无效_请检查奖励配置,,秘宝动态奖池配置无效，请检查奖励配置,,
msg_商城_秘宝奖励创建失败,,秘宝奖励创建失败: {itemId},,
msg_商城_神秘碎片不足,,神秘碎片不足,,
msg_商城_神秘钥匙扣除失败,,神秘钥匙扣除失败,,
msg_商城_神秘钥匙数量不足,,神秘钥匙数量不足,,
msg_商城_饰品兑换失败_碎片未扣除,,饰品兑换失败，碎片未扣除,,
msg_商城_饰品数据尚未加载完成_请稍后再试,,饰品数据尚未加载完成，请稍后再试,,
msg_商城_碎片商城类型配置无效,,碎片商城类型配置无效,,
msg_商城_碎片商城商品不存在或未上架,,碎片商城商品不存在或未上架,,
msg_商城_碎片商城商品配置无效,,碎片商城商品配置无效,,
msg_商店_快捷出售_件物品_获得_金币,,快捷出售 {soldCount} 件物品，获得 {totalGold} 金币,,
msg_商店_售出获得_金币,,售出获得 {price} 金币,,
msg_商店_售出获得_金币_2,,售出获得 {Price} 金币,,
msg_商店_已刷新商店_消耗_个行会契书,,已刷新商店，消耗 {cost} 个行会契书,,
msg_商店_已刷新远古商贩_消耗_个行会契书,,已刷新远古商贩，消耗 {cost} 个行会契书,,
msg_商人_材料不足,,材料不足,,
msg_商人_当前没有可刷出的合格材料订单,,当前没有可刷出的合格材料订单,,
msg_商人_兑换材料发放失败,,兑换材料发放失败,,
msg_商人_兑换成功_消耗_个悬赏金币,,兑换成功，消耗 {cost} 个悬赏金币,,
msg_商人_兑换商品不存在或已刷新,,兑换商品不存在或已刷新,,
msg_商人_兑换商品库存不足,,兑换商品库存不足,,
msg_商人_该订单槽今日已完成上限_明日刷新,,该订单槽今日已完成上限，明日刷新,,
msg_商人_解锁材料不足_需要_个,,解锁材料不足，{itemId} 需要 {count} 个,,
msg_商人_今日订单重置次数已用完_每天最多重置_个任务,,今日订单重置次数已用完，每天最多重置 {MERCHANT_REFRESH_DAILY_LIMIT} 个任务,,
msg_商人_今日兑换商店刷新次数已用完_每天最多刷新_次,,今日兑换商店刷新次数已用完，每天最多刷新 {MERCHANT_EXCHANGE_REFRESH_DAILY_LIMIT} 次,,
msg_商人_扣除材料失败,,扣除材料失败,,
msg_商人_扣除解锁材料失败_x,,扣除解锁材料失败：{itemId} x{count},,
msg_商人_扣除行会契书失败,,扣除行会契书失败,,
msg_商人_没有可解锁的收购订单槽位,,没有可解锁的收购订单槽位,,
msg_商人_每日收购任务奖励已领取_获得_个悬赏金币,,每日收购任务奖励已领取，获得 {rewardPoints} 个悬赏金币,,
msg_商人_每日收购任务未完成_还需要完成_个订单,,每日收购任务未完成，还需要完成 {count} 个订单,,
msg_商人_收购订单槽位已全部解锁,,收购订单槽位已全部解锁,,
msg_商人_收购任务不存在,,收购任务不存在,,
msg_商人_完成收购任务_获得_个悬赏金币,,完成收购任务，获得 {gainedPoints} 个悬赏金币,,
msg_商人_行会契书不足_刷新兑换商店需要_个,,行会契书不足，刷新兑换商店需要 {refreshCost} 个,,
msg_商人_行会契书不足_重置订单需要_个,,行会契书不足，重置订单需要 {refreshCost} 个,,
msg_商人_悬赏金币不足,,悬赏金币不足,,
msg_商人_悬赏金币不足_解锁需要_个,,悬赏金币不足，解锁需要 {unlockCost} 个,,
msg_商人_已解锁第_个收购订单槽位_消耗,,已解锁第 {count} 个收购订单槽位，消耗 {unlockCostText},,
msg_商人_已刷新兑换商店_消耗_个行会契书,,已刷新兑换商店，消耗 {refreshCost} 个行会契书,,
msg_商人_已重置收购订单_消耗_个行会契书,,已重置收购订单，消耗 {refreshCost} 个行会契书,,
msg_饰品_饰品恢复默认请求无效,,饰品恢复默认请求无效,,
msg_饰品_饰品卸下请求无效,,饰品卸下请求无效,,
msg_饰品_饰品装备请求无效,,饰品装备请求无效,,
msg_贪婪洞窟_背包和仓库已满_奖励已掉落在英雄附近,,背包和仓库已满，奖励已掉落在英雄附近,,
msg_贪婪洞窟_件无尽奖励因空间不足进入待领取队列,,{length}件无尽奖励因空间不足进入待领取队列,,
msg_贪婪洞窟_开启级宝箱成功,,开启{tier}级宝箱成功,,
msg_贪婪洞窟_已进入倾天秘境,,已进入倾天秘境,,
msg_贪婪洞窟_已自动发放件无尽秘境待领取奖励,,已自动发放{delivered}件无尽秘境待领取奖励,,
msg_天赋_调试解锁天赋成功,,调试解锁天赋成功,,
msg_天赋_调试锁定天赋成功,,调试锁定天赋成功,,
msg_通用_背包没有可用空位_无法拆分,,背包没有可用空位，无法拆分,,
msg_通用_背包已满,,背包已满,,
msg_通用_仓库已满,,仓库已满,,
msg_通用_拆分数量无效,,拆分数量无效,,
msg_通用_次级英雄复制物品不能放入背包,,次级英雄复制物品不能放入背包,,
msg_通用_次级英雄复制物品不能装备到主英雄,,次级英雄复制物品不能装备到主英雄,,
msg_通用_存档尚未加载完成,,存档尚未加载完成,,
msg_通用_当前地图未开放,,当前地图未开放,,
msg_通用_封印物品不能移动,,封印物品不能移动,,
msg_通用_该地图传送权已激活,,该地图传送权已激活,,
msg_通用_该格子正在被重铸占用,,该格子正在被重铸占用,,
msg_通用_该物品无法拆分,,该物品无法拆分,,
msg_通用_该物品正在被重铸占用,,该物品正在被重铸占用,,
msg_通用_教程中无法穿脱装备,,教程中无法穿脱装备,,
msg_通用_金币不足,,金币不足,,
msg_通用_临时英雄无法穿脱装备,,临时英雄无法穿脱装备,,
msg_通用_职业数据加载中_请稍后再试,,职业数据加载中，请稍后再试,,
msg_通用_只有宠物可以放入宠物槽,,只有宠物可以放入宠物槽,,
msg_通用_装备预设正在切换_请稍后再试,,装备预设正在切换，请稍后再试,,
msg_脱离卡死_当前场景无法使用脱离卡死,,当前场景无法使用脱离卡死,,
msg_脱离卡死_当前秘境状态无法使用脱离卡死,,当前秘境状态无法使用脱离卡死,,
msg_清除地上物品_冷却中,,清除地上物品冷却中,,
msg_清除地上物品_清理进行中_请稍后再试,,正在清理地上物品，请稍后再试,,
msg_清除地上物品_已清除_件,,已清除 {count} 件地上物品,,
msg_玩家_存档已关闭_请重进游戏,,"存档已关闭,请重进游戏!",,
msg_玩家_你没有权限启动离线模式,,你没有权限启动离线模式,,
msg_玩家_玩家数据未初始化,,玩家数据未初始化,,
msg_玩家_信号塔已激活_地图传送权已解锁,,信号塔已激活，地图传送权已解锁,,
msg_玩家_职业技能数据加载中_请稍后再试,,职业技能数据加载中，请稍后再试,,
msg_物品使用_该物品不支持连续使用,,该物品不支持连续使用,,
msg_物品使用_连续使用数量无效,,连续使用数量无效,,
msg_系统_操作太快了,,操作太快了,,
msg_系统_内部错误,,内部错误,,
msg_系统维护_服务器维护已开始_游戏即将结束,,服务器维护已开始，游戏即将结束,,
msg_系统维护_游戏版本过低_游戏即将结束,,游戏版本过低，游戏即将结束,,
msg_邀请码_背包和仓库空间不足_请整理后重试,,背包和仓库空间不足，请整理后重试,,
msg_邀请码_存档状态暂不可写入_请稍后重试,,存档状态暂不可写入，请稍后重试,,
msg_邀请码_该奖励规则当前不可用,,该奖励规则当前不可用,,
msg_邀请码_该奖励条件尚未达成,,该奖励条件尚未达成,,
msg_邀请码_该奖励已经领取,,该奖励已经领取,,
msg_邀请码_奖励配置异常_请联系管理员,,奖励配置异常，请联系管理员,,
msg_邀请码_你已经绑定过邀请码了,,你已经绑定过邀请码了,,
msg_邀请码_请输入有效的邀请码,,请输入有效的邀请码,,
msg_邀请码_刷新过于频繁_请在_秒后重试,,刷新过于频繁，请在 {seconds} 秒后重试,,
msg_邀请码_邀请码绑定成功_绑定奖励可在页面领取,,邀请码绑定成功，绑定奖励可在页面领取,,
msg_邀请码_邀请码绑定失败,,邀请码绑定失败,,
msg_邀请码_邀请码奖励领取成功,,邀请码奖励领取成功,,
msg_邮件_背包空间不足_无法领取邮件附件,,背包空间不足，无法领取邮件附件,,
msg_邮件_请在基地内领取邮件,,请在基地内领取邮件。,,
msg_邮件_邮件状态保存失败_请稍后再试,,邮件状态保存失败，请稍后再试,,
msg_支付_背包和仓库空间不足,,背包和仓库空间不足,,
msg_支付_每日特惠价格配置无效,,每日特惠价格配置无效,,
msg_支付_每日特惠礼包发放失败_请重新确认支付结果,,每日特惠礼包发放失败，请重新确认支付结果,,
msg_支付_每日特惠支付配置无效,,每日特惠支付配置无效,,
msg_支付_你已被禁止赞助,,你已被禁止赞助,,
msg_支付_请选择有效的地区和支付方式,,请选择有效的地区和支付方式,,
msg_支付_玩家数据尚未加载完成_请稍后再试,,玩家数据尚未加载完成，请稍后再试,,
msg_支付_未满足条件_无法领取奖励,,未满足条件，无法领取奖励,,
msg_支付_支付过于频繁_请稍后再试,,支付过于频繁，请稍后再试,,
msg_支付_支付金额异常_请稍后再试,,支付金额异常，请稍后再试,,
msg_制作_背包和仓库空间不足_无法返还制作材料,,背包和仓库空间不足，无法返还制作材料,,
msg_制作_背包和仓库空间不足_无法领取制作物品,,背包和仓库空间不足，无法领取制作物品,,
msg_制作_当前没有可保留的重铸结果,,当前没有可保留的重铸结果,,
msg_制作_当前没有可还原的重铸结果,,当前没有可还原的重铸结果,,
msg_制作_当前重铸不需要使用重铸石,,当前重铸不需要使用重铸石,,
msg_制作_分解成功,,分解成功,,
msg_制作_该物品无法分解,,该物品无法分解,,
msg_制作_该装备没有可用的命石升华配方,,该装备没有可用的命石升华配方,,
msg_制作_该装备已达到重铸上限,,该装备已达到重铸上限,,
msg_制作_仅品质_5_及以上装备可重铸,,仅品质 5 及以上装备可重铸,,
msg_制作_命石与目标装备不匹配,,命石与目标装备不匹配,,
msg_制作_您不在家中,,您不在家中,,
msg_制作_您没有足够的材料来制作该物品,,您没有足够的材料来制作该物品,,
msg_制作_请放入命石,,请放入命石,,
msg_制作_请放入装备和对应命石,,请放入装备和对应命石,,
msg_制作_请先放入同名装备,,请先放入同名装备,,
msg_制作_请先放入重铸目标,,请先放入重铸目标,,
msg_制作_请先确认或还原当前重铸结果,,请先确认或还原当前重铸结果,,
msg_制作_请在基地中操作,,请在基地中操作,,
msg_制作_升华成功_已获得先祖装备,,升华成功，已获得先祖装备,,
msg_制作_升华随机种子生成失败,,升华随机种子生成失败,,
msg_制作_升华所需的重铸精华不足,,升华所需的重铸精华不足,,
msg_制作_同一件物品不能占用两个升华槽位,,同一件物品不能占用两个升华槽位,,
msg_制作_物品不存在,,物品不存在,,
msg_制作_物品数量不足,,物品数量不足,,
msg_制作_先祖装备创建失败,,先祖装备创建失败,,
msg_制作_先祖装备放入背包失败,,先祖装备放入背包失败,,
msg_制作_已保留重铸结果,,已保留重铸结果,,
msg_制作_已还原重铸结果,,已还原重铸结果,,
msg_制作_制作队列最多只能有个任务,,制作队列最多只能有{MAX_MAKE_QUEUE}个任务,,
msg_制作_制作配方参数无效,,制作配方参数无效,,
msg_制作_制作数量无效,,制作数量无效,,
msg_制作_重铸材料不能与目标是同一件物品,,重铸材料不能与目标是同一件物品,,
msg_制作_重铸材料不足,,重铸材料不足,,
msg_制作_重铸材料需为同名装备,,重铸材料需为同名装备,,
msg_制作_重铸材料已失效,,重铸材料已失效,,
msg_制作_重铸材料与目标装备不匹配,,重铸材料与目标装备不匹配,,
msg_制作_重铸中的物品无法分解,,重铸中的物品无法分解,,
msg_制作_装备重铸不需要副装备,,装备重铸不需要副装备,,
msg_自定义物品栏_背包中没有该物品_无法使用,,背包中没有该物品，无法使用,,
msg_自定义物品栏_背包中没有该物品_无法装备,,背包中没有该物品，无法装备,,
msg_自定义物品栏_该物品已在自定义物品栏中,,该物品已在自定义物品栏中,,
msg_自定义物品栏_只能将药水或可主动使用的材料放入自定义物品栏,,只能将药水或可主动使用的材料放入自定义物品栏,,
msg_自定义物品栏_自定义物品栏已满,,自定义物品栏已满,,
msg_仓库_没有可补充的锁定物品,,没有可补充的锁定物品,,
msg_仓库_已补充锁定槽位,,已补充 {count} 个锁定槽位,,
msg_兑换码_兑换码参数无效,,兑换码参数无效,,
msg_房间_传送失败_目标地图暂未开放,,传送失败，目标地图暂未开放,,
msg_房间_当前地图未开放,,当前地图未开放,,
msg_房间_当前无法从该撤离点离开,,当前无法从该撤离点离开,,
msg_房间_地图加载失败_请重试,,地图加载失败，请重试,,
msg_房间_地图连续加载失败_请尝试重启游戏,,地图连续加载失败，请尝试重启游戏,,
msg_房间_进入地图失败_请重试,,进入地图失败，请重试,,
msg_房间_连续进入地图失败_请尝试重启游戏,,连续进入地图失败，请尝试重启游戏,,
msg_房间_某处的门打开了,,某处的门打开了,,
msg_交易所_查询条件无效,,查询条件无效,,
msg_交易所_订单参数无效,,订单参数无效,,
msg_交易所_购买成功,,购买成功,,
msg_交易所_购买数量无效,,购买数量无效,,
msg_交易所_交易所已禁用_请联系管理员,,交易所已禁用，请联系管理员,,
msg_交易所_每页数量无效,,每页数量无效,,
msg_交易所_请求标识无效,,请求标识无效,,
msg_交易所_上架成功,,上架成功,,
msg_交易所_上架价格无效,,上架价格无效,,
msg_交易所_上架失败,,上架失败,,
msg_交易所_上架数量无效,,上架数量无效,,
msg_交易所_物品参数无效,,物品参数无效,,
msg_交易所_物品等级无效,,物品等级无效,,
msg_交易所_物品来源无效,,物品来源无效,,
msg_交易所_物品类型无效,,物品类型无效,,
msg_交易所_物品品质无效,,物品品质无效,,
msg_交易所_下架成功,,下架成功,,
msg_交易所_下架失败,,下架失败,,
msg_交易所_页码无效,,页码无效,,
msg_教程_当前不在有效的新手教程中,,当前不在有效的新手教程中,,
msg_教程_击败任意挑战后才能从这里撤离,,击败任意挑战后才能从这里撤离,,
msg_教程_流程尚未就绪,,流程尚未就绪,,
msg_赛季商店_本赛季奖励已经领取,,本赛季奖励已经领取,,
msg_赛季商店_兑换保存失败_奖励与扣款均已撤销,,兑换保存失败，奖励与扣款均已撤销,,
msg_赛季商店_兑换保存失败_未扣除赛季币,,兑换保存失败，未扣除赛季币,,
msg_赛季商店_兑换成功_账号级奖励已生效,,兑换成功，账号级奖励已生效,,
msg_赛季商店_兑换请求异常_本次奖励已撤销,,兑换请求异常，本次奖励已撤销,,
msg_赛季商店_兑换请求异常_请刷新后确认结果,,兑换请求异常，请刷新后确认结果,,
msg_赛季商店_兑换数据打包失败_本次奖励已撤销,,兑换数据打包失败，本次奖励已撤销,,
msg_赛季商店_兑换已完成_但界面刷新异常,,兑换已完成，但界面刷新异常,,
msg_赛季商店_该商品已达到本赛季兑换上限,,该商品已达到本赛季兑换上限,,
msg_赛季商店_个人贡献等级达到指定等级后才能兑换,,个人贡献等级达到 {requiredLevel} 级后才能兑换,,
msg_赛季商店_贡献保存失败_已返还资源,,贡献保存失败，已返还资源,,
msg_赛季商店_贡献数据打包失败_已返还资源,,贡献数据打包失败，已返还资源,,
msg_赛季商店_贡献已保存_请刷新界面,,贡献已保存，请刷新界面,,
msg_赛季商店_建设贡献增加,,建设贡献 +{contribution},,
msg_赛季商店_奖励发放失败_请整理背包或仓库后重试,,奖励发放失败，请整理背包或仓库后重试,,
msg_赛季商店_结算请求异常_请刷新后重试,,结算请求异常，请刷新后重试,,
msg_赛季商店_另一项赛季操作正在处理中,,另一项赛季操作正在处理中,,
msg_赛季商店_赛季币不足_当前余额与所需数量,,赛季币不足，当前 {current}，需要 {required},,
msg_赛季商店_赛季币余额尚未加载_请稍后重试,,赛季币余额尚未加载，请稍后重试,,
msg_赛季商店_赛季贡献需求尚未加载,,赛季贡献需求尚未加载,,
msg_赛季商店_赛季结算领取失败,,赛季结算领取失败,,
msg_赛季商店_赛季结算完成_获得赛季币,,赛季结算完成，获得 {reward} 赛季币,,
msg_赛季商店_赛季商品不存在或未开放,,赛季商品不存在或未开放,,
msg_赛季商店_赛季商品价格配置无效,,赛季商品价格配置无效,,
msg_赛季商店_赛季商品奖励配置无效,,赛季商品奖励配置无效,,
msg_赛季商店_赛季商品配置不存在,,赛季商品配置不存在,,
msg_赛季商店_赛季尚未结束,,赛季尚未结束,,
msg_赛季商店_赛季已结束_无法继续贡献资源,,赛季已结束，无法继续贡献资源,,
msg_赛季商店_上一笔兑换正在保存_请稍候,,上一笔兑换正在保存，请稍候,,
msg_赛季商店_提交异常_资源已返还,,提交异常，资源已返还,,
msg_赛季商店_玩家数据正在保存_请稍后提交,,玩家数据正在保存，请稍后提交,,
msg_赛季商店_玩家数据正在保存_请稍后再兑换,,玩家数据正在保存，请稍后再兑换,,
msg_赛季商店_无效的贡献类型,,无效的贡献类型,,
msg_赛季商店_远古币不足,,远古币不足,,
msg_商城_背包或仓库空间不足_扩展包物品发放失败_请整理空间后再购买,,背包或仓库空间不足，扩展包物品发放失败，请整理空间后再购买,,
msg_商城_背包或仓库空间不足_礼包奖励发放失败_请整理空间后再购买,,背包或仓库空间不足，礼包奖励发放失败，请整理空间后再购买,,
msg_商城_背包或仓库空间不足_请整理后重新确认支付结果,,背包或仓库空间不足，请整理后重新确认支付结果,,
msg_商城_背包或仓库空间不足_赞助勋章发放失败_请整理空间后再购买,,背包或仓库空间不足，赞助勋章发放失败，请整理空间后再购买,,
msg_商城_本周特惠已购买,,本周特惠已购买,,
msg_商城_点券不足,,点券不足,,
msg_商城_点券不足_当前余额与所需数量,,点券不足，当前剩余 {current}，需要 {required},,
msg_商城_点券预占确认超时_已取消本次购买_请稍后重试,,点券预占确认超时，已取消本次购买，请稍后重试,,
msg_商城_点券预占失败_请稍后重试,,点券预占失败，请稍后重试,,
msg_商城_该特惠商品不支持点券购买,,该特惠商品不支持点券购买,,
msg_商城_购买保存失败_数据将保留为待重试状态,,购买保存失败，数据将保留为待重试状态,,
msg_商城_购买保存异常_云端未确认扣款,,购买保存异常，云端未确认扣款,,
msg_商城_购买失败_已达到购买上限,,购买失败，已达到购买上限,,
msg_商城_购买数据打包失败_本次变更尚未保存,,购买数据打包失败，本次变更尚未保存,,
msg_商城_激活M003信号塔后开放每日特惠,,激活M003信号塔后开放每日特惠,,
msg_商城_今日特惠已购买,,今日特惠已购买,,
msg_商城_礼包发放失败_请整理背包或仓库后重试,,礼包发放失败，请整理背包或仓库后重试,,
msg_商城_礼包奖励发放失败_请整理空间后再购买,,礼包奖励发放失败，请整理空间后再购买,,
msg_商城_礼包奖励配置无效,,礼包奖励配置无效,,
msg_商城_礼包内部点券结算失败_请重新确认支付结果,,礼包内部点券结算失败，请重新确认支付结果,,
