--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 0b85d8d 
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
achievement_undo_desc_4000271,使用伐木机2次,Play Timbersaw twice,Сыграть за Timbersaw 2 раза
achievement_undo_desc_4000281,使用破晓辰星2次,Play Dawnbreaker twice,Сыграть за Dawnbreaker 2 раза
achievement_undo_desc_4000291,使用混沌骑士2次,Play Chaos Knight twice,Сыграть за Chaos Knight 2 раза
achievement_undo_desc_4000301,使用树精卫士2次,Play Treant Protector twice,Сыграть за Treant Protector 2 раза
achievement_undo_desc_4000311,使用炼金术士2次,Play Alchemist twice,Сыграть за Alchemist 2 раза
achievement_undo_desc_4000321,使用朗戈2次,Play Lango twice,Сыграть за Lango 2 раза
achievement_undo_desc_4000331,使用大地之灵2次,Play Earth Spirit twice,Сыграть за Earth Spirit 2 раза
achievement_undo_desc_4000341,使用狙击手2次,Play Sniper twice,Сыграть за Sniper 2 раза
achievement_undo_desc_4000351,使用幻影刺客2次,Play Phantom Assassin twice,Сыграть за Phantom Assassin 2 раза
achievement_undo_desc_4000361,使用斯拉克2次,Play Slark twice,Сыграть за Slark 2 раза
achievement_undo_desc_4000371,使用虚空假面2次,Play Faceless Void twice,Сыграть за Faceless Void 2 раза
achievement_undo_desc_4000381,使用灰烬之灵2次,Play Ember Spirit twice,Сыграть за Ember Spirit 2 раза
achievement_undo_desc_4000391,使用卓尔游侠2次,Play Drow Ranger twice,Сыграть за Drow Ranger 2 раза
achievement_undo_desc_4000401,使用雷泽2次,Play Razor twice,Сыграть за Razor 2 раза
achievement_undo_desc_4000411,使用影魔2次,Play Shadow Fiend twice,Сыграть за Shadow Fiend 2 раза
achievement_undo_desc_4000421,使用幽鬼2次,Play Spectre twice,Сыграть за Spectre 2 раза
achievement_undo_desc_4000431,使用矮人直升机2次,Play Gyrocopter twice,Сыграть за Gyrocopter 2 раза
achievement_undo_desc_4000441,使用力丸2次,Play Riki twice,Сыграть за Riki 2 раза
achievement_undo_desc_4000451,使用美杜莎2次,Play Medusa twice,Сыграть за Medusa 2 раза
achievement_undo_desc_4000461,使用主宰2次,Play Juggernaut twice,Сыграть за Juggernaut 2 раза
achievement_undo_desc_4000471,使用冥界亚龙2次,Play Viper twice,Сыграть за Viper 2 раза
achievement_undo_desc_4000481,使用克林克兹2次,Play Clinkz twice,Сыграть за Clinkz 2 раза
achievement_undo_desc_4000491,使用露娜2次,Play Luna twice,Сыграть за Luna 2 раза
achievement_undo_desc_4000501,使用巨魔战将2次,Play Troll Warlord twice,Сыграть за Troll Warlord 2 раза
achievement_undo_desc_4000511,使用熊战士2次,Play Ursa twice,Сыграть за Ursa 2 раза
achievement_undo_desc_4000521,使用敌法师2次,Play Anti-Mage twice,Сыграть за Anti-Mage 2 раза
achievement_undo_desc_4000531,使用森海飞霞2次,Play Hoodwink twice,Сыграть за Hoodwink 2 раза
achievement_undo_desc_4000541,使用编织者2次,Play Weaver twice,Сыграть за Weaver 2 раза
achievement_undo_desc_4000551,使用变体精灵2次,Play Morphling twice,Сыграть за Morphling 2 раза
achievement_undo_desc_4000561,使用恐怖利刃2次,Play Terrorblade twice,Сыграть за Terrorblade 2 раза
achievement_undo_desc_4000571,使用血魔2次,Play Bloodseeker twice,Сыграть за Bloodseeker 2 раза
achievement_undo_desc_4000581,使用米拉娜2次,Play Mirana twice,Сыграть за Mirana 2 раза
achievement_undo_desc_4000591,使用圣堂刺客2次,Play Templar Assassin twice,Сыграть за Templar Assassin 2 раза
achievement_undo_desc_4000601,使用凯2次,Play Kez twice,Сыграть за Kez 2 раза
achievement_undo_desc_4000611,使用赏金猎人2次,Play Bounty Hunter twice,Сыграть за Bounty Hunter 2 раза
achievement_undo_desc_4000621,使用痛苦女王2次,Play Queen of Pain twice,Сыграть за Queen of Pain 2 раза
achievement_undo_desc_4000631,使用莱恩2次,Play Lion twice,Сыграть за Lion 2 раза
achievement_undo_desc_4000641,使用宙斯2次,Play Zeus twice,Сыграть за Zeus 2 раза
achievement_undo_desc_4000651,使用莉娜2次,Play Lina twice,Сыграть за Lina 2 раза
achievement_undo_desc_4000661,使用拉比克2次,Play Rubick twice,Сыграть за Rubick 2 раза
achievement_undo_desc_4000671,使用邪影芳灵2次,Play Dark Willow twice,Сыграть за Dark Willow 2 раза
achievement_undo_desc_4000681,使用天怒法师2次,Play Skywrath Mage twice,Сыграть за Skywrath Mage 2 раза
achievement_undo_desc_4000691,使用杰奇洛2次,Play Jakiro twice,Сыграть за Jakiro 2 раза
achievement_undo_desc_4000701,使用瘟疫法师2次,Play Necrophos twice,Сыграть за Necrophos 2 раза
achievement_undo_desc_4000711,使用帕克2次,Play Puck twice,Сыграть за Puck 2 раза
achievement_undo_desc_4000721,使用术士2次,Play Warlock twice,Сыграть за Warlock 2 раза
achievement_undo_desc_4000731,使用魅惑魔女2次,Play Enchantress twice,Сыграть за Enchantress 2 раза
achievement_undo_desc_4000741,使用风暴之灵2次,Play Storm Spirit twice,Сыграть за Storm Spirit 2 раза
achievement_undo_desc_4000751,使用拉席克2次,Play Leshrac twice,Сыграть за Leshrac 2 раза
achievement_undo_desc_4000761,使用琼英碧灵2次,Play Muerta twice,Сыграть за Muerta 2 раза
achievement_undo_desc_4000771,使用巫医2次,Play Witch Doctor twice,Сыграть за Witch Doctor 2 раза
achievement_undo_desc_4000781,使用殁境神蚀者（黑鸟）2次,Play Outworld Destroyer twice,Сыграть за Outworld Destroyer 2 раза
achievement_undo_desc_4000791,使用巫妖2次,Play Lich twice,Сыграть за Lich 2 раза
achievement_undo_desc_4000801,使用修补匠2次,Play Tinker twice,Сыграть за Tinker 2 раза
achievement_undo_desc_4000811,使用远古冰魄2次,Play Ancient Apparition twice,Сыграть за Ancient Apparition 2 раза
achievement_undo_desc_4000821,使用祈求者2次,Play Invoker twice,Сыграть за Invoker 2 раза
achievement_undo_desc_4000831,使用水晶室女2次,Play Crystal Maiden twice,Сыграть за Crystal Maiden 2 раза
achievement_undo_desc_4000841,使用暗影恶魔2次,Play Shadow Demon twice,Сыграть за Shadow Demon 2 раза
achievement_undo_desc_4000851,使用百戏大王2次,Play Ringmaster twice,Сыграть за Ringmaster 2 раза
achievement_undo_desc_4000861,使用黑暗贤者2次,Play Dark Seer twice,Сыграть за Dark Seer 2 раза
achievement_undo_desc_4000871,使用干扰者2次,Play Disruptor twice,Сыграть за Disruptor 2 раза
achievement_undo_desc_4000881,使用光之守卫2次,Play Keeper of the Light twice,Сыграть за Keeper of the Light 2 раза
achievement_undo_desc_4000891,使用帕格纳2次,Play Pugna twice,Сыграть за Pugna 2 раза
achievement_undo_desc_4000901,使用天涯墨客2次,Play Grimstroke twice,Сыграть за Grimstroke 2 раза
achievement_undo_desc_4000911,使用寒冬飞龙2次,Play Winter Wyvern twice,Сыграть за Winter Wyvern 2 раза
achievement_undo_desc_4000921,使用沉默术士2次,Play Silencer twice,Сыграть за Silencer 2 раза
achievement_undo_desc_4000931,使用暗影萨满2次,Play Shadow Shaman twice,Сыграть за Shadow Shaman 2 раза
achievement_undo_desc_4000941,使用剧毒术士2次,Play Venomancer twice,Сыграть за Venomancer 2 раза
achievement_undo_desc_4000951,使用亚巴顿2次,Play Abaddon twice,Сыграть за Abaddon 2 раза
achievement_undo_desc_4000961,使用风行者2次,Play Windranger twice,Сыграть за Windranger 2 раза
achievement_undo_desc_4000971,使用司夜刺客2次,Play Nyx Assassin twice,Сыграть за Nyx Assassin 2 раза
achievement_undo_desc_4000981,使用兽王2次,Play Beastmaster twice,Сыграть за Beastmaster 2 раза
achievement_undo_desc_4000991,使用电炎绝手2次,Play Snapfire twice,Сыграть за Snapfire 2 раза
achievement_undo_desc_4001001,使用工程师2次,Play Techies twice,Сыграть за Techies 2 раза
achievement_undo_desc_4001011,使用沙王2次,Play Sand King twice,Сыграть за Sand King 2 раза
achievement_undo_desc_4001021,使用凤凰2次,Play Phoenix twice,Сыграть за Phoenix 2 раза
achievement_undo_desc_4001031,使用石鳞剑士2次,Play Pangolier twice,Сыграть за Pangolier 2 раза
achievement_undo_desc_4001041,使用发条技师2次,Play Clockwerk twice,Сыграть за Clockwerk 2 раза
achievement_undo_desc_4001051,使用蝙蝠骑士2次,Play Batrider twice,Сыграть за Batrider 2 раза
achievement_undo_desc_4001061,使用虚无之灵2次,Play Void Spirit twice,Сыграть за Void Spirit 2 раза
achievement_undo_desc_4001071,使用马格纳斯2次,Play Magnus twice,Сыграть за Magnus 2 раза
achievement_undo_desc_4001081,使用玛西2次,Play Marci twice,Сыграть за Marci 2 раза
achievement_undo_desc_4001091,使用谜团2次,Play Enigma twice,Сыграть за Enigma 2 раза
achievement_undo_desc_4001101,使用祸乱之源2次,Play Bane twice,Сыграть за Bane 2 раза
achievement_undo_desc_4001111,使用死亡先知2次,Play Death Prophet twice,Сыграть за Death Prophet 2 раза
achievement_undo_desc_500001,?????,?????,?????
achievement_undo_desc_500002,?????,?????,?????
achievement_undo_desc_500003,?????,?????,?????
achievement_undo_desc_500004,?????,?????,?????
achievement_undo_desc_500005,?????,?????,?????
achievement_undo_desc_500006,?????,?????,?????
achievement_undo_desc_500007,?????,?????,?????
achievement_undo_desc_500008,?????,?????,?????
achievement_undo_desc_500009,?????,?????,?????