--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build b9dc48c · 2026-08-02 17:42:46 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
bless_10009_desc_short,攻击附带 <font color='#83d18a'>{dmg}</font> 魔法伤害。对同一目标连续攻击每次伤害叠加 <font color='#83d18a'>+{add_dmg}</font><font color='#8e8e8e'>（切换目标后，原目标叠加持续 {dur} 秒）</font> 。,Attacks deal <font color='#83d18a'>{dmg}</font> bonus magic damage. Stacks +<font color='#83d18a'>{add_dmg}</font> damage on same target (duration: <font color='#83d18a'>{dur}</font>s).,Атаки наносят <font color='#83d18a'>{dmg}</font> доп. маг. урона. Урон по той же цели суммируется: +<font color='#83d18a'>{add_dmg}</font> (длится <font color='#83d18a'>{dur}</font> сек.).
bless_10010_desc_short,获得 <font color='#83d18a'>{gold}</font> 金币。首次携带黯灭时，将其升级为 <font color='#83d18a'>雷神之锤(真)</font> 。,Gain <font color='#83d18a'>{gold}</font> Gold. Upgrades Desolator to Mjollnir (True) when first carried.,Даёт <font color='#83d18a'>{gold}</font> золота. При первом получении улучшает Desolator до Mjollnir (истинный).
bless_10011_desc_short,每次释放技能，减少基础技能冷却 <font color='#83d18a'>{cd_reduce}</font> 秒。,Casting spells reduces base skill cooldowns by <font color='#83d18a'>{cd_reduce}</font>s.,Применение способностей сокращает перезарядку базовых умений на <font color='#83d18a'>{cd_reduce}</font> сек.
bless_10012_desc_short,技能增强 <font color='#83d18a'>+{jnzq}%</font>，释放终极技能后立刻刷新其冷却。 <font color='#8e8e8e'>（CD: {cd} 秒）</font>,"+<font color='#83d18a'>{jnzq}%</font> Spell Amp. Casting Ultimate refreshes its cooldown (CD: <font color='#83d18a'>{cd}</font>s, resets on death).","+<font color='#83d18a'>{jnzq}%</font> урона закл. Ульт сбрасывает свою перезарядку (КД: <font color='#83d18a'>{cd}</font> сек., сброс при смерти)."
bless_10013_desc_short,基于已损生命值获得至多 <font color='#83d18a'>{spell_amp_max}%</font> 技能增强、 <font color='#83d18a'>{mp_max}%</font> 移动速度与法术吸血。<br>施法消耗 <font color='#83d18a'>{hp_cost}%</font> 当前生命值。,"Gain up to <font color='#83d18a'>{spell_amp_max}%</font> Spell Amp, <font color='#83d18a'>{mp_max}%</font> Move Speed, and <font color='#83d18a'>{spell_life_steal_max}%</font> Spell Lifesteal based on missing HP. Spells cost <font color='#83d18a'>{hp_cost}%</font> current HP.","Даёт до <font color='#83d18a'>{spell_amp_max}%</font> силы закл., <font color='#83d18a'>{mp_max}%</font> скор. передв. и <font color='#83d18a'>{spell_life_steal_max}%</font> вамп. закл. от нед. здоровья. Расход: <font color='#83d18a'>{hp_cost}%</font> тек. здоровья."
bless_10014_desc_short,技能有 <font color='#83d18a'>{chance}%</font> 几率造成 <font color='#83d18a'>{rate}%</font> 伤害。,Spells have a <font color='#83d18a'>{chance}%</font> chance to deal <font color='#83d18a'>{rate}%</font> critical damage.,Способности имеют <font color='#83d18a'>{chance}%</font> шанс нанести <font color='#83d18a'>{rate}%</font> крит. урона.
bless_10015_desc_short,使用闪烁匕首 <font color='#83d18a'>{duration}</font> 秒内，承受伤害 <font color='#83d18a'>-{income_dmg_pct}%</font>，移动速度 <font color='#83d18a'>+{mp}</font>。,For <font color='#83d18a'>{duration}</font>s after Blink Dagger: <font color='#83d18a'>-{income_dmg_pct}%</font> Damage Taken and <font color='#83d18a'>+{mp}</font> Move Speed.,После Blink Dagger на <font color='#83d18a'>{duration}</font> сек.: -<font color='#83d18a'>{income_dmg_pct}%</font> получ. урона и <font color='#83d18a'>+{mp}</font> скор. передв.
bless_10016_desc_short,使用影刃/白银之锋时向前传送 <font color='#83d18a'>{blink}</font> 码，驱散自身负面效果。背后破隐一击造成 <font color='#83d18a'>{dmg}</font> 额外物理伤害。,Blinks forward <font color='#83d18a'>{blink}</font> units when using Shadow Blade/Silver Edge and dispels debuffs. Backstab deals <font color='#83d18a'>{dmg}</font> bonus physical damage.,При использовании Shadow Blade/Silver Edge прыгает на <font color='#83d18a'>{blink}</font> вперёд и вешает развеивание. Удар в спину наносит <font color='#83d18a'>{dmg}</font> доп. физ. урона.
bless_10017_desc_short,每秒提升下一次攻击 <font color='#83d18a'>{atk}%</font> 基础攻击力，上限</font> {max_stack}</font> 层。,Increases base damage of next attack by <font color='#83d18a'>{atk}%</font> every second (max <font color='#83d18a'>{max_stack}</font> stacks).,Увеличивает баз. урон след. атаки на <font color='#83d18a'>{atk}%</font> каждую секунду (до <font color='#83d18a'>{max_stack}</font> раз).
bless_10018_desc_short,受伤时获得层数， <font color='#83d18a'>10</font> 层时获得 <font color='#83d18a'>{hp_pct}%</font> 最大生命值护盾并刷新基础技能。 <font color='#8e8e8e'>（CD: {cd} 秒）</font>,"Gain stacks when taking over <font color='#83d18a'>{dmg}</font> damage. At max stacks, gain <font color='#83d18a'>{hp_pct}%</font> Max HP shield and refresh base skills (CD: <font color='#83d18a'>{cd}</font>s).","Даёт заряд, если получено > <font color='#83d18a'>{dmg}</font> урона. На макс. зарядах: щит в <font color='#83d18a'>{hp_pct}%</font> макс. здоровья и сброс баз. способностей (КД: <font color='#83d18a'>{cd}</font> сек.)."
bless_10019_desc_short,硬控敌方英雄后，获得 <font color='#83d18a'>{base}</font> + <font color='#83d18a'>{hp_pct}%</font> 最大生命值的护盾。 <font color='#8e8e8e'>（CD: {cd} 秒）</font>,CCing an enemy hero grants a shield: <font color='#83d18a'>{base}</font> + <font color='#83d18a'>{hp_pct}%</font> Max HP (CD: <font color='#83d18a'>{cd}</font>s).,Контроль героя даёт щит: <font color='#83d18a'>{base}</font> + <font color='#83d18a'>{hp_pct}%</font> макс. здоровья (КД: <font color='#83d18a'>{cd}</font> сек.).
bless_10020_desc_short,硬控敌方英雄后，<font color='#83d18a'>{delay}</font> 秒后在目标位置周围造成 <font color='#83d18a'>{base} + {hp_pct}% × 自身最大生命值</font> 魔法伤害。 <font color='#8e8e8e'>（CD: {cd} 秒）</font>,"After applying hard CC to an enemy hero, deal <font color='#83d18a'>{base} + {hp_pct}% × your Max HP</font> damage around the target after <font color='#83d18a'>{delay}</font>s. <font color='#8e8e8e'>(CD: {cd}s)</font>",После жесткого контроля вражеского героя через <font color='#83d18a'>{delay}</font> сек. наносит <font color='#83d18a'>{base} + {hp_pct}% × ваш макс. ОЗ</font> урона вокруг цели. <font color='#8e8e8e'>(CD: {cd} сек.)</font>
bless_10021_desc_short,持续牵引 <font color='#83d18a'>{radius}</font> 码内敌方英雄，每牵引一名敌方英雄，受到伤害降低 <font color='#83d18a'>{dmg_income_pct}%</font>。,Continuously pulls enemy heroes within <font color='#83d18a'>{radius}</font> units. Reduces damage taken by <font color='#83d18a'>{dmg_income_pct}%</font> for each hero pulled.,Притягивает вражеских героев в радиусе <font color='#83d18a'>{radius}</font>. Снижает получаемый урон на <font color='#83d18a'>{dmg_income_pct}%</font> за каждого притянутого героя.
bless_10022_desc_short,<font color='#83d18a'>{time}</font> 秒未受伤后，获得 <font color='#83d18a'>{lv_factor} × 等级</font> 点护盾。 <font color='#8e8e8e'>（CD: {cd} 秒）</font>,Gain shield of <font color='#83d18a'>{lv_factor}×Level</font> when out of combat for <font color='#83d18a'>{time}</font>s (CD: <font color='#83d18a'>{cd}</font>s).,"Если не получать урон <font color='#83d18a'>{time}</font> сек., даёт щит: <font color='#83d18a'>{lv_factor}xУр</font> (КД: <font color='#83d18a'>{cd}</font> сек.)."
bless_10023_desc_short,无法主动使用终极技能，伤害输出 <font color='#83d18a'>+{shI}%</font>，冷却时间 <font color='#83d18a'>-{lq}%</font>。,"Damage Output +<font color='#83d18a'>{shI}%</font>, Cooldown Reduction <font color='#83d18a'>{lq}%</font>.<br>Penalty: Cannot use Ultimate.","Урон +<font color='#83d18a'>{shI}%</font>, перезарядка -<font color='#83d18a'>{lq}%</font>.<br>Штраф: нельзя использовать ульт."
bless_10024_desc_short,复活后 <font color='#83d18a'>{duration}</font> 秒内，总攻击力、生命恢复、技能增强与移动速度提升 <font color='#83d18a'>{value_pct}%</font>。,"For <font color='#83d18a'>{duration}</font>s after respawn, gain +<font color='#83d18a'>{value_pct}%</font> Total Damage, HP Regen, Spell Amp, and Move Speed.","В течение <font color='#83d18a'>{duration}</font> сек. после возрождения: +<font color='#83d18a'>{value_pct}%</font> к урону, восст. здоровья, силе закл. и скор. передв."
bless_10025_desc_short,释放终极技能后获得伤害免疫，持续 <font color='#83d18a'>{duration}</font> 秒 <font color='#8e8e8e'>（CD: {cd} 秒）</font> 。,Immune to damage for <font color='#83d18a'>{duration}</font>s after casting Ultimate (CD: <font color='#83d18a'>{cd}</font>s).,Невосприимчивость к урону на <font color='#83d18a'>{duration}</font> сек. после ульта (КД: <font color='#83d18a'>{cd}</font> сек.).
bless_10026_desc_short,使用卫士胫甲时，周围 <font color='#83d18a'>{radius}</font> 码敌人伤害降低 <font color='#83d18a'>{dmg_pct}%</font> <font color='#8e8e8e'>（持续 {duration} 秒）</font>。,Nearby enemies deal <font color='#83d18a'>{dmg_pct}%</font> less damage for <font color='#83d18a'>{duration}</font>s when using Guardian Greaves.,При использовании Guardian Greaves урон врагов поблизости снижен на <font color='#83d18a'>{dmg_pct}%</font> на <font color='#83d18a'>{duration}</font> сек.
bless_10027_desc_short,伤害输出 <font color='#83d18a'>+{shI}%</font>。最大生命值 <font color='#83d18a'>-{smI}%</font>。,-<font color='#83d18a'>{smI}%</font> Max HP. Damage Output <font color='#83d18a'>{shI}%</font>.,<font color='#83d18a'>-{smI}%</font> макс. здоровья. Урон: <font color='#83d18a'>{shI}%</font>.
bless_10027a_desc_short,伤害输出 <font color='#83d18a'>+{shI}%</font>。最大生命值 <font color='#83d18a'>-{smI}%</font>，承受伤害 <font color='#83d18a'>+{csshI}%</font> 。,"Damage <font color='#83d18a'>+{shI}%</font>. Max HP <font color='#83d18a'>-{smI}%</font>, DMG Taken <font color='#83d18a'>+{csshI}%</font>.","Урон <font color='#83d18a'>+{shI}%</font>. Макс. HP <font color='#83d18a'>-{smI}%</font>, Получ. урон <font color='#83d18a'>+{csshI}%</font>."
bless_10028_desc_short,对生命值低于 <font color='#83d18a'>{hp_pct}%</font> 的英雄造成伤害时将其斩杀，并获得 <font color='#83d18a'>{gold}</font> 金币。,Instantly execute heroes below <font color='#83d18a'>{hp_pct}%</font> HP and gain <font color='#83d18a'>{gold}</font> gold.,Мгновенно казнит героев с ОЗ ниже <font color='#83d18a'>{hp_pct}%</font> и дает <font color='#83d18a'>{gold}</font> золота.
bless_10029_desc_short,复活时间减少 <font color='#83d18a'>{fhsj}</font> 秒。,Respawn time reduced by <font color='#83d18a'>{fhsj}</font>s.,Время возрождения сокращено на <font color='#83d18a'>{fhsj}</font> сек.
bless_10029a_desc_short,复活时间减少 <font color='#83d18a'>{fhsj}</font> 秒，承受伤害 <font color='#83d18a'>+{csshI}%</font> 。,"Respawn Time <font color='#83d18a'>{fhsj}</font>s, DMG Taken <font color='#83d18a'>+{csshI}%</font>.","Время возрожд. <font color='#83d18a'>{fhsj}</font> сек., Получ. урон <font color='#83d18a'>+{csshI}%</font>."
bless_10030_desc_short,施法后下一次普攻触发一次额外攻击，造成 <font color='#83d18a'>{dmg_pct}%</font> 伤害。,Next attack after spellcasting triggers an extra strike for <font color='#83d18a'>{dmg_pct}%</font> damage.,След. атака после способности наносит <font color='#83d18a'>{dmg_pct}%</font> урона повторно.
bless_10031_desc_short,攻击间隔固定为 <font color='#83d18a'>{atk_rate}</font> 秒。每 1 点攻速转化为 <font color='#83d18a'>{atk_bonus}</font> 攻击力。,Attack Rate fixed to <font color='#83d18a'>{atk_rate}</font>s. Each 1 excess AS converts to <font color='#83d18a'>{atk_bonus}</font> Attack Damage.,Интервал атак: <font color='#83d18a'>{atk_rate}</font> сек. Каждая ед. лишней скор. атаки даёт <font color='#83d18a'>{atk_bonus}</font> урона.
bless_10032_desc_short,离开泉水后仍可返回泉水购物和治疗。处于泉水 <font color='#83d18a'>{range}</font> 码内时，伤害 <font color='#83d18a'>+{dmg_pct}%</font>。,Can shop and heal at Fountain from anywhere. +<font color='#83d18a'>{dmg_pct}%</font> Damage in Fountain range.,Можно закупаться и лечиться в фонтане отовсюду. +<font color='#83d18a'>{dmg_pct}%</font> урона в радиусе фонтана.
bless_10033_desc_short,使用跳刀 <font color='#83d18a'>{delay}</font> 秒后强制返回原位，并返还 <font color='#83d18a'>{cd_reduce_pct}%</font> 冷却。,"Forced to return to original position <font color='#83d18a'>{delay}</font>s after Blink Dagger, refunding <font color='#83d18a'>{cd_reduce_pct}%</font> CD.",Возвращает в точку прыжка через <font color='#83d18a'>{delay}</font> сек. после Blink Dagger и сокращает КД на <font color='#83d18a'>{cd_reduce_pct}%</font>.
bless_10034_desc_short,每 <font color='#83d18a'>{cd}</font> 秒标记一名敌人，标记期间击杀敌人，自身获得 <font color='#83d18a'>{owner_gold}</font> 金币<font color='#8e8e8e'>（助攻者获得{assist_gold}金币）</font> 。,Marks an enemy every <font color='#83d18a'>{cd}</font>s. Grants bonus gold if they are killed while marked (Self: <font color='#83d18a'>{owner_gold}</font> / Allies: <font color='#83d18a'>{assist_gold}</font>).,Помечает врага каждые <font color='#83d18a'>{cd}</font> сек. Убийство помеченной цели даёт бонусное золото (вам: <font color='#83d18a'>{owner_gold}</font> / союзникам: <font color='#83d18a'>{assist_gold}</font>).
bless_10035_desc_short,参与击杀时永久获得 <font color='#83d18a'>{bonus_kill}/{bonus_assist}%</font> 技能增强，上限 <font color='#83d18a'>{bonus_max}%</font>。,Permanent <font color='#83d18a'>{bonus_kill}%</font> Spell Amp on hero kills (<font color='#83d18a'>{bonus_assist}%</font> on assists). Max: <font color='#83d18a'>{bonus_max}%</font>.,Навсегда даёт +<font color='#83d18a'>{bonus_kill}%</font> к силе закл. за убийство (<font color='#83d18a'>{bonus_assist}%</font> за помощь). Макс.: <font color='#83d18a'>{bonus_max}%</font>.
bless_10036_desc_short,获得 <font color='#83d18a'>{gold}</font> 金币。静止 <font color='#83d18a'>{stay_time}</font> 秒后，隐身<font color='#83d18a'>{duration}</font> 秒。,Gain <font color='#83d18a'>{gold}</font> Gold. Invisibility for <font color='#83d18a'>{duration}</font>s after staying still for <font color='#83d18a'>{stay_time}</font>s.,"Даёт <font color='#83d18a'>{gold}</font> золота. Невидимость на <font color='#83d18a'>{duration}</font> сек., если стоять на месте <font color='#83d18a'>{stay_time}</font> сек."
bless_10037_desc_short,首次在敌方泉水附近 <font color='#83d18a'>{radius}</font> 码内停留 <font color='#83d18a'>{duration}</font> 秒后，获得 <font color='#83d18a'>{count}</font> 个随机橙色福佑。 <font color='#8e8e8e'>（停留期间有橙色特效）</font>,First stay within <font color='#83d18a'>{radius}</font> range of enemy fountain for <font color='#83d18a'>{duration}</font>s to gain <font color='#83d18a'>{count}</font> random orange blessings. <font color='#8e8e8e'>(Orange effect during stay)</font>,"Впервые пробыв <font color='#83d18a'>{duration}</font> сек. в <font color='#83d18a'>{radius}</font> ярдах от враж. фонтана, получите <font color='#83d18a'>{count}</font> оранж. благословений. <font color='#8e8e8e'>(Оранж. эффект при нахождении)</font>"
bless_10038_desc_short,获取时，额外随机获得 <font color='#83d18a'>{count}</font> 个福佑。,Gain <font color='#83d18a'>{count}</font> extra random blessings on pickup.,При получении даёт ещё <font color='#83d18a'>{count}</font> случ. благословений.
bless_10039_desc_short,施法距离 <font color='#83d18a'>+{sfjl}</font>。,+<font color='#83d18a'>{sfjl}</font> Cast Range.,+<font color='#83d18a'>{sfjl}</font> к дальности применения.
bless_10039a_desc_short,施法距离 <font color='#83d18a'>+{sfjl}</font>，技能增强 <font color='#83d18a'>-{jnzq}%</font> 。,"Cast Range <font color='#83d18a'>+{sfjl}</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>.","Дальн. прим. <font color='#83d18a'>+{sfjl}</font>, Усил. закл. <font color='#83d18a'>-{jnzq}%</font>."
bless_10039b_desc_short,施法距离 <font color='#83d18a'>+{sfjl}</font>，移动速度 <font color='#83d18a'>-{ysI}%</font> 。,"Cast Range <font color='#83d18a'>+{sfjl}</font>, MS <font color='#83d18a'>-{ysI}%</font>.","Дальн. прим. <font color='#83d18a'>+{sfjl}</font>, МС <font color='#83d18a'>-{ysI}%</font>."
bless_10040_desc_short,攻击距离 <font color='#83d18a'>+{gjjl}</font>。,+<font color='#83d18a'>{gjjl}</font> Attack Range (Ranged only).,+<font color='#83d18a'>{gjjl}</font> к дальности атаки (дальний бой).
bless_10040a_desc_short,攻击距离 <font color='#83d18a'>+{gjjl}</font> ，承受伤害 <font color='#83d18a'>+{csshI}%</font> 。,"Atk Range <font color='#83d18a'>+{gjjl}</font>, DMG Taken <font color='#83d18a'>+{csshI}%</font>.","Дальн. атаки <font color='#83d18a'>+{gjjl}</font>, Получ. урон <font color='#83d18a'>+{csshI}%</font>."
bless_10041_desc_short,攻击距离 <font color='#83d18a'>+{gjjl}</font>。,Attack Range <font color='#83d18a'>+{gjjl}</font> (Melee only).,Дальность атаки <font color='#83d18a'>+{gjjl}</font> (ближний бой).
bless_10041a_desc_short,攻击距离 <font color='#83d18a'>+{gjjl}</font>，施法距离 <font color='#83d18a'>-{sfjl}</font> 。,"Atk Range <font color='#83d18a'>+{gjjl}</font>, Cast Range <font color='#83d18a'>-{sfjl}</font>.","Дальн. атаки <font color='#83d18a'>+{gjjl}</font>, Дальн. прим. <font color='#83d18a'>-{sfjl}</font>."
bless_10042_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，伤害输出 <font color='#83d18a'>-{shI}%</font>。,"+<font color='#83d18a'>{sm}</font> Health, <font color='#83d18a'>-{shI}%</font> Damage Output.","+<font color='#83d18a'>{sm}</font> к здоровью, урон <font color='#83d18a'>-{shI}%</font>."
bless_10042a_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，移动速度 <font color='#83d18a'>-{ys}</font>。,"HP <font color='#83d18a'>+{sm}</font>, MS <font color='#83d18a'>-{ys}</font>.","HP <font color='#83d18a'>+{sm}</font>, МС <font color='#83d18a'>-{ys}</font>."
bless_10042b_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，攻击力 <font color='#83d18a'>-{gjl}</font>。,"HP <font color='#83d18a'>+{sm}</font>, Damage <font color='#83d18a'>-{gjl}</font>.","HP <font color='#83d18a'>+{sm}</font>, Урон <font color='#83d18a'>-{gjl}</font>."
bless_10042c_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，技能增强 <font color='#83d18a'>-{jnzq}%</font>。,"HP <font color='#83d18a'>+{sm}</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>.","HP <font color='#83d18a'>+{sm}</font>, Усил. закл. <font color='#83d18a'>-{jnzq}%</font>."
bless_10042d_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，最大魔法值 <font color='#83d18a'>-{mf}</font>。,"HP <font color='#83d18a'>+{sm}</font>, Max MP <font color='#83d18a'>-{mf}</font>.","HP <font color='#83d18a'>+{sm}</font>, Макс. MP <font color='#83d18a'>-{mf}</font>."
bless_10042e_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，攻击速度 <font color='#83d18a'>-{gs}</font>。,"HP <font color='#83d18a'>+{sm}</font>, AS <font color='#83d18a'>-{gs}</font>.","HP <font color='#83d18a'>+{sm}</font>, АС <font color='#83d18a'>-{gs}</font>."
bless_10043_desc_short,技能增强 <font color='#83d18a'>+{jnzq}%</font>。,+<font color='#83d18a'>{jnzq}%</font> Spell Amp.,+<font color='#83d18a'>{jnzq}%</font> к силе заклинаний.
bless_10043a_desc_short,技能增强 <font color='#83d18a'>+{jnzq}%</font>，魔法值 <font color='#83d18a'>-{mfI}%</font> 。,"Spell Amp <font color='#83d18a'>+{jnzq}%</font>, MP <font color='#83d18a'>-{mfI}%</font>.","Усил. закл. <font color='#83d18a'>+{jnzq}%</font>, MP <font color='#83d18a'>-{mfI}%</font>."
bless_10044_desc_short,基础攻击力 <font color='#83d18a'>+{gjbI}%</font>。,+<font color='#83d18a'>{gjbI}%</font> Base Damage.,+<font color='#83d18a'>{gjbI}%</font> к базовому урону.
bless_10044a_desc_short,基础攻击力 <font color='#83d18a'>+{gjbI}%</font>，攻击速度 <font color='#83d18a'>-{gs}</font> 。,"Base DMG <font color='#83d18a'>+{gjbI}%</font>, AS <font color='#83d18a'>-{gs}</font>.","Баз. урон <font color='#83d18a'>+{gjbI}%</font>, АС <font color='#83d18a'>-{gs}</font>."
bless_10045_desc_short,攻击速度 <font color='#83d18a'>+{gsI}%</font>。,+<font color='#83d18a'>{gsI}%</font> Attack Speed.,+<font color='#83d18a'>{gsI}%</font> к скорости атаки.
bless_10045a_desc_short,攻击速度 <font color='#83d18a'>+{gsI}%</font>，基础攻击力 <font color='#83d18a'>-{gjbI}%</font>。,"AS <font color='#83d18a'>+{gsI}%</font>, Base DMG <font color='#83d18a'>-{gjbI}%</font>.","АС <font color='#83d18a'>+{gsI}%</font>, Баз. урон <font color='#83d18a'>-{gjbI}%</font>."
bless_10046_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，伤害输出 <font color='#83d18a'>-{shI}%</font>。,"+<font color='#83d18a'>{sm}</font> Health, -<font color='#83d18a'>{shI}%</font> Damage Output.","+<font color='#83d18a'>{sm}</font> здоровья, урон -<font color='#83d18a'>{shI}%</font>."
bless_10046a_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，移动速度 <font color='#83d18a'>-{ysI}%</font>。,"HP <font color='#83d18a'>+{sm}</font>, MS <font color='#83d18a'>-{ysI}%</font>.","HP <font color='#83d18a'>+{sm}</font>, МС <font color='#83d18a'>-{ysI}%</font>."
bless_10046b_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，总攻击力 <font color='#83d18a'>-{gjI}%</font>。,"HP <font color='#83d18a'>+{sm}</font>, Total DMG <font color='#83d18a'>-{gjI}%</font>.","HP <font color='#83d18a'>+{sm}</font>, Общ. урон <font color='#83d18a'>-{gjI}%</font>."
bless_10046c_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，技能增强 <font color='#83d18a'>-{jnzq}%</font>。,"HP <font color='#83d18a'>+{sm}</font>, Spell Amp <font color='#83d18a'>-{jnzq}%</font>.","HP <font color='#83d18a'>+{sm}</font>, Усил. закл. <font color='#83d18a'>-{jnzq}%</font>."
bless_10046d_desc_short,生命值 <font color='#83d18a'>+{sm}</font>，最大魔法值 <font color='#83d18a'>-{mfI}%</font>。,"HP <font color='#83d18a'>+{sm}</font>, Max MP <font color='#83d18a'>-{mfI}%</font>.","HP <font color='#83d18a'>+{sm}</font>, Макс. MP <font color='#83d18a'>-{mfI}%</font>."
