--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build b9dc48c · 2026-08-02 17:42:46 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
DOTA_Tooltip_ability_omniknight_hammer_of_purity_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,全能锤
DOTA_Tooltip_ability_spectre_dispersion_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,幽鬼皮
DOTA_Tooltip_ability_primal_beast_trample_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,兽踏
DOTA_Tooltip_ability_kez_kazurai_katana_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,凯长刀
DOTA_Tooltip_ability_elder_titan_earth_splitter_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,大牛大
DOTA_Tooltip_ability_huskar_burning_spear_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,火矛
DOTA_Tooltip_ability_enigma_midnight_pulse_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,凋零
DOTA_Tooltip_ability_necrolyte_reapers_scythe_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,镰刀
DOTA_Tooltip_ability_phantom_assassin_fan_of_knives_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,刀扇
DOTA_Tooltip_ability_enigma_black_hole_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能阿哈利姆福佑效果均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,黑洞
DOTA_Tooltip_ability_earthshaker_slugger_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,小牛先天
DOTA_Tooltip_ability_sandking_caustic_finale_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,沙王腐尸毒
DOTA_Tooltip_ability_phoenix_dying_light_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,凤凰命石
DOTA_Tooltip_ability_pangolier_gyroshell_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,滚滚大
DOTA_Tooltip_ability_doom_bringer_infernal_blade_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,滚滚大
DOTA_Tooltip_ability_jakiro_liquid_ice_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能25级天赋均可享受技能增强收益）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,液态火
DOTA_Tooltip_ability_abaddon_aphotic_shield_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能护盾均无法享受技能增强收益，alt键预览错误）（在DOTA2原版和该模式下，该技能伤害和魔晶伤害均可享受技能增强收益）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,亚巴顿
DOTA_Tooltip_ability_item_spirit_vessel_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，道具伤害均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,大骨灰
DOTA_Tooltip_ability_item_orchid_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，道具伤害均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,紫苑
DOTA_Tooltip_ability_item_bloodthorn_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，道具伤害均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,血辣
DOTA_Tooltip_ability_item_hydras_breath_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，道具伤害均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,怪蛇
DOTA_Tooltip_ability_bristleback_quill_spray_Lore,<font color='#F89F21'>在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误</font>,"<font color='#F89F21'>In both standard DOTA2 and this mode, this ability benefits from Spell Damage, but the Alt preview is not displayed correctly</font>","<font color='#F89F21'>Как в обычном режиме DOTA 2, так и в этом, способность получает бонусы от урона заклинаний, но предпросмотр через Alt работает некорректно</font>",刚背刺
DOTA_Tooltip_ability_enchantress_impetus_Lore,<font color='#F89F21'>在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误</font>,"<font color='#F89F21'>In both standard DOTA2 and this mode, this ability benefits from Spell Damage, but the Alt preview is not displayed correctly</font>","<font color='#F89F21'>Как в обычном режиме DOTA 2, так и в этом, способность получает бонусы от урона заклинаний, но предпросмотр через Alt работает некорректно</font>",推进
DOTA_Tooltip_ability_dark_willow_shadow_realm_Lore,<font color='#F89F21'>在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误</font>,"<font color='#F89F21'>In both standard DOTA2 and this mode, this ability benefits from Spell Damage, but the Alt preview is not displayed correctly</font>","<font color='#F89F21'>Как в обычном режиме DOTA 2, так и в этом, способность получает бонусы от урона заклинаний, но предпросмотр через Alt работает некорректно</font>",暗影之境
DOTA_Tooltip_ability_obsidian_destroyer_arcane_orb_Lore,<font color='#F89F21'>在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误</font>,"<font color='#F89F21'>In both standard DOTA2 and this mode, this ability benefits from Spell Damage, but the Alt preview is not displayed correctly</font>","<font color='#F89F21'>Как в обычном режиме DOTA 2, так и в этом, способность получает бонусы от урона заклинаний, но предпросмотр через Alt работает некорректно</font>",黑鸟法球
DOTA_Tooltip_ability_dazzle_nothl_projection_Lore,<font color='#F89F21'>由于该技能的投影实际上是一种分身，无法继承部分福佑的效果。</font>,"","",戴泽 大
DOTA_Tooltip_ability_muerta_pierce_the_veil_Lore,<font color='#F89F21'>由于该技能可以享受攻击增幅×技能增强，在该模式下过于超模，琼英碧灵总攻击力降低了30%</font>,"<font color='#F89F21'>Since this ability benefits from Attack Damage Amp × Spell Damage, it is overpowered in this mode; Muerta's total Damage has been reduced by 30%</font>","<font color='#F89F21'>Так как эта способность получает бонусы и от усиления атаки, и от урона заклинаний, она слишком сильна в этом режиме. Общий урон Муэрты уменьшен на 30%</font>",奶绿

DOTA_Tooltip_ability_life_stealer_feast_Lore,<font color='#F89F21'>对苦命鸳鸯绑定自身的目标使用感染，将导致自身离开地图，彻底变成苦命鸳鸯，该问题无法修复，请勿尝试。</font>,"Using Infest on a target bound by [Ill-fated Pair] will cause you to leave the map permanently. This issue is unfixable, do not try.","Использование Infest на цели, связанные [Ill-fated Pair], приведет к исчезновению с карты навсегда. Ошибка неисправима, не пытайтесь.",感染
DOTA_Tooltip_ability_marci_companion_run_Lore,<font color='#F89F21'>对苦命鸳鸯绑定自身的目标使用回旋踢，将导致自身离开地图，彻底变成苦命鸳鸯，该问题无法修复，请勿尝试。</font>,"Using Rebound on the Ill-fated Pair target bound to yourself will cause you to leave the map. Unfixable; do not try.","Использование Rebound на цели Несчастная пара, привязанной к себе, приведет к выходу за карту. Ошибка неисправима, не пытайтесь.",感染
DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_Lore,<font color='#F89F21'>该模式下，享受技能增强收益的50%（在DOTA2原版，该技能无法享受技能增强收益，alt键预览错误，蛇棒真实攻击力请点击蛇棒模型查看）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,小y大招
