--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 16fdfbc · 2026-08-07 21:47:55 UTC
  ~ auto-generated — do not edit
]]


"lang"
{
	"Language"		"Schinese"
	"Tokens"
	{
		//schinese/ability.vdf
		"DOTA_Tooltip_ability_ursa_talent"		"怒意狂击"
		"DOTA_Tooltip_ability_crystal_maiden_talent"		"冰霜灵气"
		"DOTA_Tooltip_ability_crystal_maiden_talent_description"		"每当对敌人添加{KeyWord:Ice}时，%chance%%概率回复%mana%点魔法值，每回复%mana_reply%魔法值释放冰霜新星。<br>冰霜新星：造成%ice_star_damage%点魔法伤害并施加%ice%层寒霜。"
		"DOTA_Tooltip_ability_crystal_maiden_ult"		"极寒领域"
		"DOTA_Tooltip_ability_crystal_maiden_ult_description"		"召唤%count%枚冰锥从天而降砸向敌人，每枚冰锥造成%damage%点魔法伤害，敌人身上每有%bonus_per_ice%层{KeyWord:Ice}则额外召唤1枚冰锥，最多不超过%bonus_max%"
		"DOTA_Tooltip_ability_crystal_maiden_crystal_nova"		"冰霜新星"
		"DOTA_Tooltip_ability_legion_commander_talent"		"压倒性优势"
		"DOTA_Tooltip_ability_legion_commander_talent_description"		"每次添加{KeyWord:Shield}时有%chance%%概率对敌方造成%damage%+当前{KeyWord:Shield}*%factor%点物理伤害。"
		"DOTA_Tooltip_ability_legion_commander_ult"		"强攻"
		"DOTA_Tooltip_ability_legion_commander_ult_description"		"每%interval%秒添加%shield%层{KeyWord:Shield}，持续%duration%秒。"
		"DOTA_Tooltip_ability_magnataur_talent"		"颠勺"
		"DOTA_Tooltip_ability_magnataur_talent_description"		"每回合准备阶段时颠勺，随机获得一些小奖励，包括属性、金币、流派经验、技能和神符和一个冠军奖杯。每有1个流派达到%sect_level%级，颠勺有%extra_trigger_pct%%额外触发%trigger_cnt%次。"
		"DOTA_Tooltip_ability_magnataur_ult"		"炒菜"
		"DOTA_Tooltip_ability_magnataur_ult_description"		"开战第一次释放时，随机提升菜品品质%quality1_value%~%quality5_value%，小概率触发爆炒获得%quality6_value%菜品品质，根据当前菜品造成效果。<br><font color='#68bfe8'>无味</font>（%stage1_trigger%-%stage2_trigger%次）：<br>效果为焯水，造成%stage1_damage%点魔法伤害。 <br><font color='#b0fae0'>普通</font>（%stage2_trigger%-%stage3_trigger%次）：<br>效果为过油，造成%stage2_damage_cnt%次%stage2_damage%魔法伤害。 <br><font color='#e188ed'>美味</font>（%stage3_trigger%-%stage4_trigger%次）：<br>效果为煎炸，眩晕敌方%stage3_stun_duration%秒，并释放{Ability:magnataur_ult_s}，有%stage3_dian_shao_pct%%概率颠勺。 <br><font color='#ffc444'>珍馐</font>（%stage4_trigger%+次）：<br>效果为熬制，眩晕敌方%stage4_stun_duration%秒，并释放{Ability:magnataur_ult_s}，根据敌方最高流派等级偷取%stage4_steal_pct%%流派效果，有%stage4_dian_shao_pct%%概率颠勺。"
		"DOTA_Tooltip_ability_magnataur_ult_s"		"震荡波"
		"DOTA_Tooltip_ability_magnataur_ult_s_description"		"释放%base_count%道震荡波攻击敌人，每道震荡波造成%damage%点魔法伤害。每拥有%attack_damage_per_extra_count%点攻击力，额外释放一道震荡波"
		"DOTA_Tooltip_ability_hoodwink_talent"		"猎手旋镖"
		"DOTA_Tooltip_ability_hoodwink_talent_description"		"每%interval%秒射出一发旋镖，造成【%damage%+最高流派等级*%damage_level%】点魔法伤害，并使敌人全伤害加深%damage_pct%%，持续%duration%秒。不可叠加"
		"DOTA_Tooltip_ability_hoodwink_ult"		"一箭穿心"
		"DOTA_Tooltip_ability_hoodwink_ult_description"		"延迟%delay%秒射出致命一箭造成【%base_damage% + 最高流派等级*%lv_factor%】点魔法伤害"
		"DOTA_Tooltip_ability_pudge_talent"		"腐肉堆积"
		"DOTA_Tooltip_ability_pudge_talent_description"		"敌人受到的{KeyWord:Poison}伤害会转化%health_pct%%为自身生命上限，最多转化%max_health%点最大生命值。"
		"DOTA_Tooltip_ability_pudge_ult"		"腐烂"
		"DOTA_Tooltip_ability_pudge_ult_description"		"每%interval%秒对敌方施加【自身最大生命值】*%health_pct%%层{KeyWord:Poison}，持续%duration%秒。"
		"DOTA_Tooltip_ability_spectre_talent"		"折射"
		"DOTA_Tooltip_ability_spectre_talent_description"		"每次触发闪避时额外减少%damage_reduce%点伤害，幽鬼之刃期间+%ulti_reduce%折射减少伤害。"
		"DOTA_Tooltip_ability_spectre_ult"		"幽鬼之刃"
		"DOTA_Tooltip_ability_spectre_ult_description"		"掷出一把匕首，造成%damage%点魔法伤害，并且在接下来%duration%秒内每次普攻造成【闪避*%damage_factor%】的魔法伤害。"
		"DOTA_Tooltip_ability_furion_talent"		"自然卷握"
		"DOTA_Tooltip_ability_furion_talent_description"		"开战%delay%秒后，制造藤蔓，使{KeyWord:Wisp}受到的伤害降低【%base_reduce%+英雄等级*%bonus_reduce%】，每%interval%秒造成%damage_pct%%此减伤数值的魔法伤害。每召唤1个{KeyWord:Wisp}减少%delay_reduce%秒开战冷却。"
		"DOTA_Tooltip_ability_furion_ult"		"疯狂生长"
		"DOTA_Tooltip_ability_furion_ult_description"		"召唤藤蔓将敌人缠绕%duration%秒，每%interval%秒造成%damage%点魔法伤害，缠绕期间树精卫士获得%reduce_pct%%自然卷握固定伤害减少。每个存在的{KeyWord:Wisp}都将增加%bonus_duration%秒持续时间。"
		"DOTA_Tooltip_ability_skywrath_mage_talent"		"奥法鹰隼"
		"DOTA_Tooltip_ability_skywrath_mage_talent_description"		"每次造成魔法伤害时%chance%%概率释放奥法鹰隼，对敌方造成%base_damage% 点魔法伤害，并回复奥法鹰隼伤害值%regen_pct%%的生命值"
		"DOTA_Tooltip_ability_skywrath_mage_ult"		"神秘之耀"
		"DOTA_Tooltip_ability_skywrath_mage_ult_description"		"召唤奥术力场对敌方每%interval%秒造成%damage%点魔法伤害，持续%duration%秒"
		"DOTA_Tooltip_ability_faceless_void_talent"		"时间锁定"
		"DOTA_Tooltip_ability_faceless_void_talent_description"		"每次攻击有%chance%%的概率再次发动攻击，额外造成%damage%点魔法伤害并施加{Info:Buff_Lock}，持续%duration%秒。"
		"DOTA_Tooltip_ability_faceless_void_ult"		"时间结界"
		"DOTA_Tooltip_ability_faceless_void_ult_description"		"提升%attackspeed%攻速，并对目标施加{Info:Buff_Lock}，持续%duration%秒。"
		"DOTA_Tooltip_ability_riki_talent"		"刀光谍影"
		"DOTA_Tooltip_ability_riki_talent_description"		"每次{KeyWord:Evade}触发持续时间%duration%秒的绝杀秘技。"
		"DOTA_Tooltip_ability_riki_ult"		"绝杀秘技"
		"DOTA_Tooltip_ability_riki_ult_description"		"每%interval%秒对敌人造成%damage%点物理伤害并施加%injury_bonus%层{KeyWord:Injury}，持续%duration%秒。"
		"DOTA_Tooltip_ability_ember_spirit_talent"		"无影拳"
		"DOTA_Tooltip_ability_ember_spirit_talent_description"		"获得{KeyWord:Fury}有%chance%%概率造成 %base_damage% +【怒火层数】* %fury_pct%%的物理伤害。"
		"DOTA_Tooltip_ability_ember_spirit_ult"		"烈火罩"
		"DOTA_Tooltip_ability_ember_spirit_ult_description"		"每%interval%秒获得%fury_gain%层{KeyWord:Fury}，并对敌方造成%base_damage%点魔法伤害，持续%duration%秒"
		"DOTA_Tooltip_ability_lich_talent"		"冰霜魔盾"
		"DOTA_Tooltip_ability_lich_talent_description"		"开战和每施加%ice%层寒霜时获得一次冰霜魔盾，获得%damage_reduce%%减伤并每%tick%秒对敌方造成%damage%点魔法伤害，持续%duration%秒。"
		"DOTA_Tooltip_ability_lich_ult"		"寒霜爆发"
		"DOTA_Tooltip_ability_lich_ult_description"		"对敌方造成%base_damage%魔法伤害并添加%ice%层{KeyWord:Ice}"
		"DOTA_Tooltip_ability_nevermore_talent"		"支配死灵"
		"DOTA_Tooltip_ability_nevermore_talent_description"		"每次胜利/失败收集%win_stack%/%lose_stack%层灵魂，每层灵魂增加%attack%点攻击力，在生命值低于%threshold%%时施放魂之挽歌，造成%damage%魔法伤害，每层灵魂提升%amp_per_stack%%该伤害。"
		"DOTA_Tooltip_ability_nevermore_ult"		"毁灭阴影"
		"DOTA_Tooltip_ability_nevermore_ult_description"		"造成%base_damage%魔法伤害，每次连中增加%damage_stack%点伤害。"
		"DOTA_Tooltip_ability_sniper_talent"		"爆头"
		"DOTA_Tooltip_ability_sniper_talent_description"		"每次暴击造成额外【%damage%+该次伤害*%damage_pct%%】点{KeyWord:HpLoss}伤害并在%reduce_duration%秒内减少其%reduce_attackspeed%攻击速度。"
		"DOTA_Tooltip_ability_sniper_ult"		"暗杀"
		"DOTA_Tooltip_ability_sniper_ult_description"		"发射一枚毁灭性的子弹，造成%damage%点物理伤害。"
		"DOTA_Tooltip_ability_luna_talent"		"月刃"
		"DOTA_Tooltip_ability_luna_talent_description"		"攻击可回弹月刃，造成%damage_pct%%攻击力的物理伤害，最多回弹%max_rebound_cnt%次。每次回弹月刃时有%collection_pct%%概率收集%collect_count%个月刃，持有%trigger_cnt%个月刃时释放{Info:Buff_RingMoon}。"
		"DOTA_Tooltip_ability_luna_ult"		"月蚀"
		"DOTA_Tooltip_ability_luna_ult_description"		"召唤月蚀，每%interval%秒扔出%count%把月刃，月刃额外造成%damage%点魔法伤害，+%recycle_chance%%回收月刃概率，持续%duration%秒"
		"DOTA_Tooltip_ability_luna_ringmoon"		"环月"
		"DOTA_Tooltip_ability_queenofpain_talent"		"暗影突袭"
		"DOTA_Tooltip_ability_queenofpain_talent_description"		"每%interval%秒对目标施放一把淬毒匕首，添加%poison%层{KeyWord:Poison}，每造成%count%次中毒伤害后降低%interval_reduce%秒，最低%min_interval%秒。"
		"DOTA_Tooltip_ability_queenofpain_ult"		"超声波"
		"DOTA_Tooltip_ability_queenofpain_ult_description"		"制造强大的声波造成%damage%纯粹伤害，并直接结算一次{KeyWord:Poison}伤害。"
		"DOTA_Tooltip_ability_pangolier_talent"		"幸运一击"
		"DOTA_Tooltip_ability_pangolier_talent_description"		"攻击有%chance%%概率减少对方%attackspeed%攻速持续%duration%秒。期间添加%bonus_damage%层{KeyWord:PermanentInjury}。最多叠加%max%层。"
		"DOTA_Tooltip_ability_pangolier_ult"		"虚张声势"
		"DOTA_Tooltip_ability_pangolier_ult_description"		"连续刺出数剑，造成%count%次%damage%伤害的攻击。"
		"DOTA_Tooltip_ability_morphling_talent"		"属性变换"
		"DOTA_Tooltip_ability_morphling_talent_description"		"生命值不满时，每%interval%秒将1%生命上限转化成回复。生命上限会在回复溢出时恢复。"
		"DOTA_Tooltip_ability_morphling_ult"		"变体攻击"
		"DOTA_Tooltip_ability_morphling_ult_description"		"造成120点魔法伤害，每转换1%生命上限伤害+10"
		"DOTA_Tooltip_ability_nyx_assassin_talent"		"尖刺外壳"
		"DOTA_Tooltip_ability_nyx_assassin_talent_description"		"每隔%interval%秒，格挡并反弹%damage_pct%%伤害，眩晕敌方%duration%秒，并施加%injury_pct%%伤害值的{KeyWord:Injury}层数，最大施加易伤层数不超过%max_injury%。"
		"DOTA_Tooltip_ability_nyx_assassin_ult"		"复仇"
		"DOTA_Tooltip_ability_nyx_assassin_ult_description"		"立刻进行一次附带%damage%点纯粹伤害的攻击，并施加%duration%秒的破坏效果。"
		"DOTA_Tooltip_ability_mirana_talent"		"群星护卫"
		"DOTA_Tooltip_ability_mirana_talent_description"		"每%interval%秒释放一波流星，造成%damage%点魔法伤害。每个守卫增加一波流星。"
		"DOTA_Tooltip_ability_mirana_ult"		"月之暗面"
		"DOTA_Tooltip_ability_mirana_ult_description"		"召唤%count%个无敌的守卫，该守卫只持续%duration%秒，持续时间内群星护卫触发间隔降低%interval%秒。召唤的守卫无法叠加"
		"DOTA_Tooltip_ability_blademaiden_talent"		"赤炎战刃"
		"DOTA_Tooltip_ability_blademaiden_talent_description"		"每%count%次{KeyWord:Attack}获得%fury_gain%层怒火并造成【%fury_base_damage%+当前{KeyWord:Fury}层数%fury_extra_pct%%】的魔法伤害"
		"DOTA_Tooltip_ability_blademaiden_ult"		"红莲乱舞"
		"DOTA_Tooltip_ability_blademaiden_ult_description"		"在%duration%秒内释放%strike_count%次赤炎战刃，期间{KeyWord:Fury}衰减延迟到效果结束后结算。"
		"DOTA_Tooltip_ability_lina_talent"		"龙破斩"
		"DOTA_Tooltip_ability_lina_talent_description"		"每次添加怒火时有%chance%%概率释放龙破斩造成【%damage%+当前{KeyWord:Fury}层数%fury_extra_pct%%】的魔法伤害。"
		"DOTA_Tooltip_ability_lina_ult"		"神灭斩"
		"DOTA_Tooltip_ability_lina_ult_description"		"造成【%damage%+当前{KeyWord:Fury}层数%fury_extra_pct%%】点魔法伤害并在%duration%秒内每%interval%秒获得%fury_per_tick%层{KeyWord:Fury}。"
		"DOTA_Tooltip_ability_windrunner_talent"		"风行"
		"DOTA_Tooltip_ability_windrunner_talent_description"		"每次造成和闪避伤害有%chance%%概率获得1层【风行】充能，每层提供%evasion%点闪避，持续%duration%秒。最大%max_stacks%层"
		"DOTA_Tooltip_ability_windrunner_ult"		"强力击"
		"DOTA_Tooltip_ability_windrunner_ult_description"		"释放%base_shot%道强力箭矢，造成%base_damage%+%evade_factor%*闪避的魔法伤害，每%bonus_threshold%层【风行】额外射出一道。"
		"DOTA_Tooltip_ability_kunkka_talent"		"潮汐使者"
		"DOTA_Tooltip_ability_kunkka_talent_description"		"每%cooldown%秒为武器充能，下次攻击时额外附加%bonus_damage%+%bonus_damage_pct%%当前已损失生命值的伤害"
		"DOTA_Tooltip_ability_kunkka_ult"		"幽灵船"
		"DOTA_Tooltip_ability_kunkka_ult_description"		"召唤一条幽灵船在%duration%秒内驶过战场，期间获得{Info:Buff_Drunk}效果。幽灵船命中后对敌人造成【%damage%+%damage_pct%%【朗姆酒】当前吸收伤害】的魔法伤害"
		"DOTA_Tooltip_ability_rum_displayer"		"朗姆酒"
		"DOTA_Tooltip_ability_dazzle_talent"		"邪能"
		"DOTA_Tooltip_ability_dazzle_talent_description"		"每次造成魔法伤害时有%chance%%施加%count%层{KeyWord:Injury}和{KeyWord:Poison}"
		"DOTA_Tooltip_ability_dazzle_ult"		"剧毒之触"
		"DOTA_Tooltip_ability_dazzle_ult_description"		"向敌人施加%poison%层{KeyWord:Poison}%injury%层{KeyWord:Injury}，并且每%interval%秒造成%damage%点魔法伤害，持续%duration%秒"
		"DOTA_Tooltip_ability_storm_spirit_talent"		"超负荷"
		"DOTA_Tooltip_ability_storm_spirit_talent_description"		"每回复10点魔法获得一层超负荷，每层超负荷提升1点每秒的魔法恢复速度，攻击时消耗1层超负荷造成60点魔法伤害。"
		"DOTA_Tooltip_ability_storm_spirit_ult"		"残影"
		"DOTA_Tooltip_ability_storm_spirit_ult_description"		"召唤一个残影，残影继承风暴之灵攻击速度并消耗超负荷，残影持续3秒。"
		"DOTA_Tooltip_ability_ancient_apparition_talent"		"冰霜旋涡"
		"DOTA_Tooltip_ability_ancient_apparition_talent_description"		"每%interval%秒施加%ice_count%层{KeyWord:Ice}，并施加%buff_count%层死亡雾霜。<br>死亡雾霜达到%stack_count%层时，施加%buff_ice%层{KeyWord:PermanentIce}，%duration%秒内使魔法伤害增加【%base_damage%+当前寒霜层数*%ice_damage_pct%%】"
		"DOTA_Tooltip_ability_ancient_apparition_ult"		"冰晶爆轰"
		"DOTA_Tooltip_ability_ancient_apparition_ult_description"		"施加%buff_count%层死亡雾霜，%duration%秒内每%interval%秒造成%damage%点魔法伤害。期间敌方血量低于%kill_threshold%%时触发即死，造成一次敌人当前生命值的纯粹伤害"
		"DOTA_Tooltip_ability_huskar_talent"		"狂战士之血"
		"DOTA_Tooltip_ability_huskar_talent_description"		"当前每损失%threshold%%血量时获得狂战士之血，每%fury_trigger%层狂战士之血获得%fury%层{KeyWord:PermanentFury}和每%fury_stack_trigger%层狂战士之血获得%fury_stack%点额外怒火层数。"
		"DOTA_Tooltip_ability_huskar_ult"		"沸血之矛"
		"DOTA_Tooltip_ability_huskar_ult_description"		"%buff_duration%秒内攻击射出带血长矛点燃对手，每%interval%秒造成%base_damage%+自身怒火层数%fury_pct%%的魔法伤害持续%duration%秒"
		"DOTA_Tooltip_ability_lycan_talent"		"野性驱使"
		"DOTA_Tooltip_ability_lycan_talent_description"		"守卫不再按守卫流攻击间隔攻击。每当狼人攻击时，守卫也攻击一次。守卫继承狼人%attack_pct%%的攻击力。"
		"DOTA_Tooltip_ability_lycan_ult"		"变身"
		"DOTA_Tooltip_ability_lycan_ult_description"		"狼人展现出他的凶狼形态，获得%attackspeed%攻速和%attack%攻击力，持续%duration%秒。多次释放大招只叠加持续时间。"
		"DOTA_Tooltip_ability_enigma_talent"		"恶魔召唤"
		"DOTA_Tooltip_ability_enigma_talent_description"		" 每次野怪回合直接秒杀野怪，击杀野怪或领取黑市后提升黑洞%ult_stun_add%秒眩晕时间，并使虚灵体个数+%neutral_add_count%。<br>开战时携带%begin_ghost_count%个虚灵体。虚灵体每%ghost_attack_interval%秒攻击1次，造成%ghost_damage_base%点混沌伤害，虚灵体只享受%chaos_damage_pct%%额外混沌伤害。"
		"DOTA_Tooltip_ability_enigma_ult"		"黑洞"
		"DOTA_Tooltip_ability_enigma_ult_description"		"召唤一个黑洞，眩晕敌人%stun_time%秒，并在%duration%秒内每%interval%造成%chaos_damage%点{KeyWord:Chaos}伤害。"
		"DOTA_Tooltip_ability_enigma_midnight_withering"		"午夜凋零"
		"DOTA_Tooltip_ability_enigma_curse"		"恶意诅咒"
		"DOTA_Tooltip_ability_zen_talent"		"不动心"
		"DOTA_Tooltip_ability_zen_talent_description"		"不会进行常规普攻，而是固定每%interval%秒消耗1颗法珠，造成【每秒攻击次数*%attackspeed% + 攻击力*%attack%】点伤害的攻击。初始和每次充能后获得%count%颗法珠，全部消耗后有%cooldown%秒充能时间。"
		"DOTA_Tooltip_ability_zen_ult"		"忿怒身"
		"DOTA_Tooltip_ability_zen_ult_description"		"立即召唤一个拥有初始法珠的忿怒化身，并将自身当前所有法珠转移给化身；化身以当前法珠发射间隔%interval_slow_multi%分之1的间隔每次射出1颗法珠，且每颗法珠伤害提升%damage%点。"
		"DOTA_Tooltip_ability_wasteland_guardian_talent"		"蒸汽动力"
		"DOTA_Tooltip_ability_wasteland_guardian_talent_description"		"每%interval%秒提供%shield_bonus%层护盾并使下一次攻击造成%damage%点物理伤害。每累计获得%threshold%层护盾后获得%count%层{Info:Buff_Overload}，持续%duration%秒，最多可叠加%max_stack%层"
		"DOTA_Tooltip_ability_wasteland_guardian_ult"		"震荡立场"
		"DOTA_Tooltip_ability_wasteland_guardian_ult_description"		"在%duration%秒内，持续释放(%base_count% + %bonus_count%*{Info:Buff_Overload}层数)道震波伤害敌人，每道震波造成%damage%点物理伤害并获得%shield_gain_pct%层{KeyWord:Shield}。"
		"DOTA_Tooltip_ability_phantom_assassin_talent"		"专注一心"
		"DOTA_Tooltip_ability_phantom_assassin_talent_description"		"暴击的任意物理伤害会叠加1层专注一心，每层提供%buff_attack%点攻击力与%buff_crit_damage%%攻击暴击伤害，每层持续%duration%秒，最多叠加%max_stack%层。"
		"DOTA_Tooltip_ability_phantom_assassin_ult"		"幻影突袭"
		"DOTA_Tooltip_ability_phantom_assassin_ult_description"		"获得%attack_speed%攻速，持续%duration%秒。幻影突袭期间提升%crit_damage%%攻击暴击伤害且前%count%次攻击必定暴击。"
		"DOTA_Tooltip_ability_marci_talent"		"怒拳破"
		"DOTA_Tooltip_ability_marci_talent_description"		"每隔%cooldown%秒，快速攻击%attack_count%次，最后一击触发一次脉冲，造成%damage%点物理伤害。"
		"DOTA_Tooltip_ability_marci_ult"		"健体术"
		"DOTA_Tooltip_ability_marci_ult_description"		"重置怒拳破冷却，在%duration%秒内提升%attack%点攻击力。健体术期间，受到攻击会触发1次脉冲，最多%count%次，每有%attack_add%点额外攻击力加1次数。"
		"DOTA_Tooltip_ability_zuus_talent"		"弧形闪电"
		"DOTA_Tooltip_ability_zuus_talent_description"		"每恢复%mana_threshold%点魔法，释放一次弧形闪电对敌人造成%damage%点魔法伤害。"
		"DOTA_Tooltip_ability_zuus_ult"		"雷神之怒"
		"DOTA_Tooltip_ability_zuus_ult_description"		"用雷电打击敌人，造成%damage%点魔法伤害。"
		"DOTA_Tooltip_ability_templar_assassin_talent"		"灵能"
		"DOTA_Tooltip_ability_templar_assassin_talent_description"		"攻击有%chance%%概率获得一层灵能之刃和灵能之盾，分别提供%attack%点攻击力和%shield%点{KeyWord:PermanentShield}。受到物理或魔法伤害时，减少一层灵能之盾。攻击敌人时，减少一层灵能之刃。最多可叠加%max_count%层"
		"DOTA_Tooltip_ability_templar_assassin_ult"		"折光"
		"DOTA_Tooltip_ability_templar_assassin_ult_description"		"获得%psi_count%层灵能之刃和灵能之盾。"
		"DOTA_Tooltip_ability_dark_willow_talent"		"荆棘迷宫"
		"DOTA_Tooltip_ability_dark_willow_talent_description"		"每%interval%秒产生%count%朵荆棘，使敌方受到伤害增加%damage_pct%%，最多%max_count%朵，每只荆棘持续%duration%秒。己方场上每有一个{KeyWord:Wisp}减少%interval_reduce%秒触发间隔，最低%min_interval%秒。"
		"DOTA_Tooltip_ability_dark_willow_ult"		"恐吓"
		"DOTA_Tooltip_ability_dark_willow_ult_description"		"邪影芳灵放出她的宠物恐吓她的敌人，造成%damage%点魔法伤害，并降低%damage_reduce_pct%%敌人造成的伤害，持续%duration%秒。己方场上每有一个{KeyWord:Wisp} +%wisp_factor%% 伤害和持续时间。"
		"DOTA_Tooltip_ability_void_spirit_talent"		"太虚之径"
		"DOTA_Tooltip_ability_void_spirit_talent_description"		"每%interval%秒进行一次斩击，对敌方添加%injury_gain%点{KeyWord:Injury}，%delay%秒后造成【%base_damage% + %damage_bonus%*英雄等级】点{KeyWord:Chaos}伤害。"
		"DOTA_Tooltip_ability_void_spirit_ult"		"共鸣脉冲"
		"DOTA_Tooltip_ability_void_spirit_ult_description"		"向周围发出脉冲，提供%shield_gain%层{KeyWord:Shield}，并造成【%damage% + %damage_bonus%*英雄等级】点魔法伤害。"
		"DOTA_Tooltip_ability_drow_ranger_talent"		"霜冻之箭"
		"DOTA_Tooltip_ability_drow_ranger_talent_description"		"攻击造成%damage%点物理伤害，并施加%ice%层{KeyWord:Ice}。"
		"DOTA_Tooltip_ability_drow_ranger_ult"		"数箭齐发"
