--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_modifier_pa_003_mark_debuff_Description,При достижении максимального количества слоев наносит урон и сбрасывает метку
DOTA_Tooltip_modifier_pa_005_insight,Проницательность
DOTA_Tooltip_modifier_pa_005_insight_Description,"Атаки накапливают ловкость, теряется 1 слой в секунду."
DOTA_Tooltip_modifier_pa_007_blur,Размытие призрака
DOTA_Tooltip_modifier_pa_007_blur_Description,"Фантомный убийца получает состояние размытости, после попадания обычной атаки по врагу наносит дополнительную атаку."
DOTA_Tooltip_modifier_pa_008_bing_shi,Боевая сила
DOTA_Tooltip_modifier_pa_008_bing_shi_Description,"Следующая обычная атака расходует всю накопленную силу войск, нанося дополнительный магический урон в том же объёме."
DOTA_Tooltip_modifier_pa_008_gem_overheal_pool,Запас крови
DOTA_Tooltip_modifier_pa_008_gem_overheal_pool_Description,Излишек вампиризма накапливается в резервуаре и постепенно превращается в лечение.
DOTA_Tooltip_modifier_pa_011_dexterity_training,Тренировка ловкости
DOTA_Tooltip_modifier_pa_011_dexterity_training_Description,"Даёт уклонение. При срабатывании уклонения увеличивает скорость передвижения, эффект суммируется."
DOTA_Tooltip_modifier_item_0099_erosa_ritual,Ритуал Эросы
DOTA_Tooltip_modifier_item_0099_erosa_ritual_Description,"При получении атаки даёт накладываемый эффект восстановления маны. Каждый слой даёт 0.2 ед./сек. восстановления маны, максимум 10 слоёв. Каждые 3 секунды теряется 1 слой."
DOTA_Tooltip_modifier_item_0209_doom,Рок
DOTA_Tooltip_modifier_item_0209_doom_Description,Снижает сопротивление магии.
DOTA_Tooltip_modifier_item_0221_soul_rend,Разрыв души
DOTA_Tooltip_modifier_item_0221_soul_rend_Description,"По истечении времени наносит часть урона, полученного за период действия."
DOTA_Tooltip_modifier_item_0225_guard,Защита
DOTA_Tooltip_modifier_item_0225_guard_Description,"Даёт временный лимит щита, снижает скорость передвижения."
DOTA_Tooltip_modifier_item_0240,Твёрдость
DOTA_Tooltip_modifier_item_0240_Description,Увеличение урона и сопротивления урону.
DOTA_Tooltip_modifier_item_0241,Кровь
DOTA_Tooltip_modifier_item_0241_Description,"При низком уровне здоровья даёт скорость атаки, вампиризм атаки и дополнительный урон."
DOTA_Tooltip_modifier_item_0250_aura_effect,За здоровье!
DOTA_Tooltip_modifier_item_0250_aura_effect_Description,Даёт дополнительную скорость передвижения.
DOTA_Tooltip_modifier_item_0251_buff,Ква-ква
DOTA_Tooltip_modifier_item_0251_buff_Description,Постоянное восстановление здоровья.
DOTA_Tooltip_modifier_item_0252_buff,Протокол сна
DOTA_Tooltip_modifier_item_0252_buff_Description,Повышает удачу на выпадение предметов.
DOTA_Tooltip_modifier_item_0253,Дуэль
DOTA_Tooltip_modifier_item_0253_Description,Повышает скорость атаки в зависимости от количества врагов.
DOTA_Tooltip_modifier_item_0255_self_slow,Боевой щит
DOTA_Tooltip_modifier_item_0255_self_slow_Description,Снижает скорость передвижения.
DOTA_Tooltip_modifier_item_0255_shield,Боевой щит
DOTA_Tooltip_modifier_item_0255_shield_Description,Даёт дополнительный максимум и текущий запас щита.
DOTA_Tooltip_modifier_item_0256_buff,Протокол сна
DOTA_Tooltip_modifier_item_0256_buff_Description,Повышает силу атаки.
DOTA_Tooltip_modifier_item_0257_buff,Фантомное движение
DOTA_Tooltip_modifier_item_0257_buff_Description,Повышает скорость передвижения.
DOTA_Tooltip_modifier_item_0258,Привязка души
DOTA_Tooltip_modifier_item_0258_Description,"Убивая врагов, получает души. При смерти теряет все души."
DOTA_Tooltip_modifier_item_0265_exposed,Разоблачение
DOTA_Tooltip_modifier_item_0265_exposed_Description,Весь получаемый урон увеличен.
DOTA_Tooltip_modifier_item_0266_serenity,Семя безмятежности
DOTA_Tooltip_modifier_item_0266_serenity_Description,Постоянно лечит союзников в области вокруг места падения.
DOTA_Tooltip_modifier_item_0269_empowered_attack,Отложенный взрыв
DOTA_Tooltip_modifier_item_0269_empowered_attack_Description,Следующая атака наносит дополнительный магический урон и отбрасывает цель.
DOTA_Tooltip_modifier_item_0270_dizzy_pollen,Пыльца головокружения
DOTA_Tooltip_modifier_item_0270_dizzy_pollen_Description,Атаки могут промахиваться.
DOTA_Tooltip_modifier_item_0271_psionic_surge,Псионический всплеск
DOTA_Tooltip_modifier_item_0271_psionic_surge_Description,Уменьшает время восстановления.
DOTA_Tooltip_modifier_item_0272_unyielding_shield,Непоколебимость
DOTA_Tooltip_modifier_item_0272_unyielding_shield_Description,Даёт дополнительный запас щита и временный щит.
DOTA_Tooltip_modifier_item_0274_chorus,Хор
DOTA_Tooltip_modifier_item_0274_chorus_Description,Постепенно восстанавливает ману.
DOTA_Tooltip_modifier_item_0275_shocked_slow,Молния в бутылке
DOTA_Tooltip_modifier_item_0275_shocked_slow_Description,Скорость передвижения снижена.
DOTA_Tooltip_modifier_item_0277_charged,Заряд
DOTA_Tooltip_modifier_item_0277_charged_Description,Следующая атака гарантированно наносит критический урон и усиливает этот критический урон.
DOTA_Tooltip_modifier_item_0278_resonant_armor,Резонансная броня
DOTA_Tooltip_modifier_item_0278_resonant_armor_Description,"Чем больше врагов поблизости, тем выше снижение получаемого урона."
DOTA_Tooltip_modifier_item_0280_bloodlust,Кровожадность
DOTA_Tooltip_modifier_item_0280_bloodlust_Description,Повышает базовый урон от атаки и вампиризм.
DOTA_Tooltip_modifier_item_0283_free_mana,Резонанс маны
DOTA_Tooltip_modifier_item_0283_free_mana_Description,Следующее заклинание не расходует ману.
DOTA_Tooltip_modifier_item_0284_fate_gaze,Взгляд судьбы
DOTA_Tooltip_modifier_item_0284_fate_gaze_Description,Понижает сопротивление магии и броню.
DOTA_Tooltip_modifier_item_0286_armor_break,Гниение брони
DOTA_Tooltip_modifier_item_0286_armor_break_Description,Понижает броню.
DOTA_Tooltip_modifier_item_0287_seismic_slow,Сейсмическое замедление
DOTA_Tooltip_modifier_item_0287_seismic_slow_Description,Замедляет скорость передвижения.
DOTA_Tooltip_modifier_item_0290_web_walk,Хождение по паутине
DOTA_Tooltip_modifier_item_0290_web_walk_Description,"Устанавливает скорость передвижения, снимает ограничения на передвижение и даёт иммунитет к эффектам ловушек."
DOTA_Tooltip_modifier_item_0293_holy_aura_effect,Святая аура
DOTA_Tooltip_modifier_item_0293_holy_aura_effect_Description,Увеличивает скорость восстановления здоровья и повышает броню в процентах.
DOTA_Tooltip_modifier_item_0294_aggressive,Резонатор (агрессивный)
DOTA_Tooltip_modifier_item_0294_aggressive_Description,"Увеличивает наносимый урон, но также повышает получаемый урон."
DOTA_Tooltip_modifier_item_0294_defensive,Резонатор (оборонительный)
DOTA_Tooltip_modifier_item_0294_defensive_Description,"Повышает броню и сопротивление магии, но снижает наносимый урон."
DOTA_Tooltip_modifier_item_0305_buff,Неуклюжесть
DOTA_Tooltip_modifier_item_0305_buff_Description,"Снижает скорость передвижения, увеличивает максимальную атаку и максимальное здоровье."
DOTA_Tooltip_modifier_item_0307_vortex,Вихревой удар
DOTA_Tooltip_modifier_item_0307_vortex_Description,Снижает скорость передвижения и наносит периодический магический урон.
DOTA_Tooltip_modifier_item_0308_valor,Доблесть
DOTA_Tooltip_modifier_item_0308_valor_Description,При атаке или использовании способности увеличивает максимальное здоровье. Складывается до указанного числа раз.
DOTA_Tooltip_modifier_item_0314_emperor_crown_aura,Владычество
DOTA_Tooltip_modifier_item_0314_emperor_crown_aura_Description,Даёт дополнительные характеристики.
DOTA_Tooltip_modifier_item_0317_madness,Безумие
DOTA_Tooltip_modifier_item_0317_madness_Description,"Увеличивает скорость атаки и передвижения, снижает броню."
DOTA_Tooltip_modifier_item_0332_madness,Безумие
DOTA_Tooltip_modifier_item_0332_madness_Description,Увеличивает скорость атаки и передвижения.
DOTA_Tooltip_modifier_item_0336_sage_boots,Бонус к магическому урону
DOTA_Tooltip_modifier_item_0336_sage_boots_Description,Бонус к магическому урону в зависимости от максимального запаса маны.
DOTA_Tooltip_modifier_item_0337_archmage_focus,Великий маг
DOTA_Tooltip_modifier_item_0337_archmage_focus_Description,Увеличивает урон от способностей. После полного накопления высвобождает магический взрыв.
DOTA_Tooltip_modifier_item_0339_secret,Скрытность
DOTA_Tooltip_modifier_item_0339_secret_Description,При использовании способностей восстанавливает здоровье и ману. Количество зарядов уменьшается со временем.
DOTA_Tooltip_modifier_item_0340_charged,Сокрушительный удар
DOTA_Tooltip_modifier_item_0340_charged_Description,Следующая атака наносит урон по области и снижает силу атаки врагов.
DOTA_Tooltip_modifier_item_0340_destroyed,Уничтожение
DOTA_Tooltip_modifier_item_0340_destroyed_Description,Сила атаки снижена. Эффект суммируется.
DOTA_Tooltip_modifier_item_0341_freeze,Ледяная хватка
DOTA_Tooltip_modifier_item_0341_freeze_Description,Скорость передвижения снижена.
DOTA_Tooltip_modifier_item_0348_butcher,Удар палача
DOTA_Tooltip_modifier_item_0348_butcher_Description,При потере здоровья даёт бонус к урону.
DOTA_Tooltip_modifier_item_0349_boil_aura_effect,Кипение
DOTA_Tooltip_modifier_item_0349_boil_aura_effect_Description,Скорость атаки увеличена.
DOTA_Tooltip_modifier_item_0350_swift_aura_effect,Быстрота
DOTA_Tooltip_modifier_item_0350_swift_aura_effect_Description,Скорость передвижения и регенерация здоровья увеличены.
DOTA_Tooltip_modifier_item_0351_storm_ready,Шквальный удар
DOTA_Tooltip_modifier_item_0351_storm_ready_Description,Следующая обычная атака наносит дополнительный высокий физический урон.
DOTA_Tooltip_modifier_item_0352_sonic_barrier,Звуковой барьер
DOTA_Tooltip_modifier_item_0352_sonic_barrier_Description,Скорость атаки и скорость передвижения повышены.
DOTA_Tooltip_modifier_item_0360_hunt,Охота
DOTA_Tooltip_modifier_item_0360_hunt_Description,"Получает силу атаки, когда скорость передвижения превышает порог."
DOTA_Tooltip_modifier_item_0364_torment,Мучение
DOTA_Tooltip_modifier_item_0364_torment_Description,При получении урона увеличивает максимальное здоровье. Слои теряются со временем.
DOTA_Tooltip_modifier_item_0365_corrosion,Коррозия
DOTA_Tooltip_modifier_item_0365_corrosion_Description,Каждый слой отравления снижает броню.
DOTA_Tooltip_modifier_item_0367_momentum,Накопление
DOTA_Tooltip_modifier_item_0367_momentum_Description,"Передвижение накапливает силу атаки, которая затем теряется со временем."
DOTA_Tooltip_modifier_item_0367_sonic_barrier,Звуковой барьер
DOTA_Tooltip_modifier_item_0367_sonic_barrier_Description,Скорость атаки и скорость передвижения повышены.
DOTA_Tooltip_modifier_item_0370_shadow_haste,Дикость
DOTA_Tooltip_modifier_item_0370_shadow_haste_Description,Скорость передвижения повышена.
DOTA_Tooltip_modifier_item_0375_slow,Замедление
DOTA_Tooltip_modifier_item_0375_slow_Description,Скорость передвижения снижена.
DOTA_Tooltip_modifier_item_0376_adventure,Приключение
DOTA_Tooltip_modifier_item_0376_adventure_Description,"Повышает удачу, но делает владельца более уязвимым к урону и снижает наносимый урон."
DOTA_Tooltip_modifier_item_0379_doom,Рок
DOTA_Tooltip_modifier_item_0379_doom_Description,Сопротивление магии снижено.
DOTA_Tooltip_modifier_item_0384_sage_cache,Тайник мудреца
DOTA_Tooltip_modifier_item_0384_sage_cache_Description,Автоматически восстанавливает ману при низком уровне после использования способности.
DOTA_Tooltip_modifier_item_0385_lionheart_barrier,Барьер львиного сердца
DOTA_Tooltip_modifier_item_0385_lionheart_barrier_Description,Автоматически восстанавливает щит при низком уровне после получения урона.
DOTA_Tooltip_modifier_item_0392,Бесстрашие
DOTA_Tooltip_modifier_item_0392_Description,Бонус к урону увеличен.
DOTA_Tooltip_modifier_item_0393_stealth_haste,Скрытность
DOTA_Tooltip_modifier_item_0393_stealth_haste_Description,"Скорость атаки увеличена, эффекты суммируются."
DOTA_Tooltip_modifier_item_0406_storm_ready,Штормовая серия
DOTA_Tooltip_modifier_item_0406_storm_ready_Description,Следующая обычная атака наносит дополнительный высокий физический урон.
DOTA_Tooltip_modifier_item_0412_blood_haste,Маска кровавого тумана
DOTA_Tooltip_modifier_item_0412_blood_haste_Description,Восстанавливает процент от максимального здоровья.
DOTA_Tooltip_modifier_item_0422_battle_standard_buff,Боевой штандарт королевского двора
DOTA_Tooltip_modifier_item_0422_battle_standard_buff_Description,Увеличивает физический урон союзников вокруг штандарта.
DOTA_Tooltip_modifier_item_0424_thorn_energy,Терновый венец
DOTA_Tooltip_modifier_item_0424_thorn_energy_Description,"Накапливает терновую энергию, когда щит поглощает урон."
DOTA_Tooltip_modifier_item_0169_aura_effect,Разрушение
DOTA_Tooltip_modifier_item_0169_aura_effect_Description,Снижение брони.
DOTA_Tooltip_modifier_item_0178_maim,Увечье
DOTA_Tooltip_modifier_item_0178_maim_Description,Снижение атаки и скорости передвижения.
DOTA_Tooltip_modifier_item_0233_aura_effect,Взгляд
DOTA_Tooltip_modifier_item_0233_aura_effect_Description,Снижение скорости атаки.
DOTA_Tooltip_modifier_item_0231_essence_ring,Крепость
DOTA_Tooltip_modifier_item_0231_essence_ring_Description,Увеличивает максимальное здоровье.
DOTA_Tooltip_modifier_item_0224_shield,Солнечное сияние
DOTA_Tooltip_modifier_item_0224_shield_Description,Дополнительный максимальный и текущий щит.
DOTA_Tooltip_modifier_item_0150_corrosion,Коррозия
DOTA_Tooltip_modifier_item_0150_corrosion_Description,Снижение брони и скорости передвижения.
DOTA_Tooltip_modifier_item_0152_phase,Фаза
DOTA_Tooltip_modifier_item_0152_phase_Description,Увеличивает скорость передвижения и дает фазовый статус.
DOTA_Tooltip_modifier_item_0155_madness,Безумие
DOTA_Tooltip_modifier_item_0155_madness_Description,"Увеличивает скорость атаки и передвижения, снижает броню и накладывает немоту."
DOTA_Tooltip_modifier_item_0145_ghost,Призрак
DOTA_Tooltip_modifier_item_0145_ghost_Description,"Переводит в состояние призрака: иммунитет к физическому урону, невозможность атаковать и дополнительный магический урон."
DOTA_Tooltip_modifier_item_0149_sacrifice,Жертвоприношение
DOTA_Tooltip_modifier_item_0149_sacrifice_Description,Увеличивает максимальный запас маны.
DOTA_Tooltip_item_P010_modifier,Теплое зелье
DOTA_Tooltip_item_P010_modifier_Description,Дает иммунитет к обморожению и восстанавливает небольшое количество здоровья.
DOTA_Tooltip_item_P017_modifier,Возрождение
DOTA_Tooltip_item_P017_modifier_Description,"Если в течение 120 секунд получен смертельный урон, он игнорируется, и восстанавливается 50% максимального здоровья. Эффект исчезает после срабатывания."
DOTA_Tooltip_item_P017_invulnerable,Защита возрождения
DOTA_Tooltip_item_P017_invulnerable_Description,На короткое время дает полную невосприимчивость к урону.
DOTA_Tooltip_item_P019_modifier,Зелье силы
DOTA_Tooltip_item_P019_modifier_Description,После применения дополнительно дает 30% к базовой силе на 120 секунд.
DOTA_Tooltip_item_P049_modifier,Светящееся зелье
DOTA_Tooltip_item_P049_modifier_Description,После применения тело начинает светиться на 360 секунд.
DOTA_Tooltip_modifier_item_P221_winner_blessing,Благословение победителя
DOTA_Tooltip_modifier_item_P221_winner_blessing_Description,После выпадения предмета активируется повторная проверка на удвоенный шанс выпадения.
DOTA_Tooltip_modifier_item_P222_ender_special,Особая смесь Эндера
DOTA_Tooltip_modifier_item_P222_ender_special_Description,Уклонение увеличено.
DOTA_Tooltip_modifier_item_P223_hunting_blood,Кровь охоты
DOTA_Tooltip_modifier_item_P223_hunting_blood_Description,Сила атаки повышена.
DOTA_Tooltip_modifier_item_potion_generic,Эффект зелья
DOTA_Tooltip_modifier_item_potion_generic_Description,"Временный усиливающий эффект, предоставляемый зельем."
DOTA_Tooltip_modifier_item_P006_potion,Зелье защиты
DOTA_Tooltip_modifier_item_P006_potion_Description,Броня. Увеличивает броню на 5 ед.
DOTA_Tooltip_modifier_item_P007_potion,Зелье восстановления
DOTA_Tooltip_modifier_item_P007_potion_Description,Увеличивает восстановление здоровья на 3 ед.
DOTA_Tooltip_modifier_item_P008_potion,Зелье скорости
DOTA_Tooltip_modifier_item_P008_potion_Description,Скорость. После использования скорость передвижения увеличена на 25%.
DOTA_Tooltip_modifier_item_P009_potion,Зелье ярости
DOTA_Tooltip_modifier_item_P009_potion_Description,"Ярость. После использования атака увеличена на 10 ед., скорость атаки увеличена на 30%."
DOTA_Tooltip_modifier_item_P011_potion,Зелье стойкости
DOTA_Tooltip_modifier_item_P011_potion_Description,Стойкость. После использования максимальное здоровье увеличено на 25%.
DOTA_Tooltip_modifier_item_P012_potion,Зелье мистики
DOTA_Tooltip_modifier_item_P012_potion_Description,"Спокойствие. Увеличивает сокращение перезарядки на 10%, восстановление маны на 1 ед."
DOTA_Tooltip_modifier_item_P014_potion,Арканное зелье
DOTA_Tooltip_modifier_item_P014_potion_Description,"Тайная магия. Увеличивает максимальную ману на 20 ед., восстановление маны на 2 ед."
DOTA_Tooltip_modifier_item_P015_potion,Зелье бешенства
DOTA_Tooltip_modifier_item_P015_potion_Description,"Увеличивает скорость атаки, шанс критического удара и урон от критического удара при использовании."
DOTA_Tooltip_modifier_item_P016_potion,Защитное зелье
DOTA_Tooltip_modifier_item_P016_potion_Description,Защита. При использовании уменьшает получаемый урон на 20%.
DOTA_Tooltip_modifier_item_P018_potion,Зелье хаоса
DOTA_Tooltip_modifier_item_P018_potion_Description,"Хаос. При использовании получаемый урон увеличивается на 25%, а наносимый урон — на 30%."
DOTA_Tooltip_modifier_item_P020_potion,Зелье кровожадности
DOTA_Tooltip_modifier_item_P020_potion_Description,Кровожадность. При использовании даёт 20% вампиризма от атак и 10% вампиризма от способностей.
DOTA_Tooltip_modifier_item_P021_potion,Зелье сопротивления магии
DOTA_Tooltip_modifier_item_P021_potion_Description,Сопротивление магии. При использовании даёт сопротивление магии на некоторое время.
DOTA_Tooltip_modifier_item_P022_potion,Сильное защитное зелье
DOTA_Tooltip_modifier_item_P022_potion_Description,Защита II. Увеличивает броню на 10. Длительность: 120 секунд.
DOTA_Tooltip_modifier_item_P023_potion,Мощное защитное зелье
DOTA_Tooltip_modifier_item_P023_potion_Description,Защита III. Увеличивает броню на 15. Длительность: 240 секунд.
DOTA_Tooltip_modifier_item_P024_potion,Зелье каменного щита
DOTA_Tooltip_modifier_item_P024_potion_Description,"Каменный щит. Увеличивает броню на 20%, уменьшает получаемый урон на 15%. Длительность: 600 секунд."
DOTA_Tooltip_modifier_item_P025_potion,Сильное восстанавливающее зелье
DOTA_Tooltip_modifier_item_P025_potion_Description,Восстановление II. Увеличивает регенерацию здоровья на 10.
DOTA_Tooltip_modifier_item_P026_potion,Мощное восстанавливающее зелье
DOTA_Tooltip_modifier_item_P026_potion_Description,Восстановление III. Увеличивает регенерацию здоровья на 20.
DOTA_Tooltip_modifier_item_P027_potion,Питательное зелье
DOTA_Tooltip_modifier_item_P027_potion_Description,Восстановление. Восстанавливает 2% здоровья в секунду. Максимальное здоровье +500.
DOTA_Tooltip_modifier_item_P028_potion,Зелье ярости
DOTA_Tooltip_modifier_item_P028_potion_Description,"Ярость. Урон +30, скорость атаки +40%."
DOTA_Tooltip_modifier_item_P029_potion,Зелье смертельной схватки
DOTA_Tooltip_modifier_item_P029_potion_Description,"Смертельная схватка. Урон +20%, скорость атаки +50%."
DOTA_Tooltip_modifier_item_P030_potion,Зелье просветления
DOTA_Tooltip_modifier_item_P030_potion_Description,Просветление. Получаемый опыт +5%.
DOTA_Tooltip_modifier_item_P031_potion,Сильное зелье просветления
DOTA_Tooltip_modifier_item_P031_potion_Description,Просветление II. Получаемый опыт +10%.
DOTA_Tooltip_modifier_item_P032_potion,Экстремальное зелье просветления
DOTA_Tooltip_modifier_item_P032_potion_Description,Просветление III. Получаемый опыт +15%.
DOTA_Tooltip_modifier_item_P033_potion,Зелье бесконечных знаний
DOTA_Tooltip_modifier_item_P033_potion_Description,"Знания. Получаемый опыт +25%, запас маны +80."
DOTA_Tooltip_modifier_item_P034_potion,Зелье контроля заклинаний
DOTA_Tooltip_modifier_item_P034_potion_Description,Сила заклинаний. Увеличивает магический урон на 15%.
DOTA_Tooltip_modifier_item_P035_potion,Сильное зелье контроля заклинаний
DOTA_Tooltip_modifier_item_P035_potion_Description,Сила заклинаний II. Увеличивает магический урон на 20%.
DOTA_Tooltip_modifier_item_P036_potion,Экстремальное зелье контроля заклинаний
DOTA_Tooltip_modifier_item_P036_potion_Description,Сила заклинаний III. Увеличивает магический урон на 25%.
DOTA_Tooltip_modifier_item_P037_potion,Зелье магического шторма
DOTA_Tooltip_modifier_item_P037_potion_Description,"Аркан. Увеличивает бонус магического урона на 30%, критические удары навыков увеличиваются на 15%"
DOTA_Tooltip_modifier_item_P040_potion,Зелье скорого усиления
DOTA_Tooltip_modifier_item_P040_potion_Description,Скорый II. После использования увеличивает скорость передвижения на 30%
DOTA_Tooltip_modifier_item_P041_potion,Зелье крайней скорой
DOTA_Tooltip_modifier_item_P041_potion_Description,Скорый III. После использования увеличивает скорость передвижения на 35%
DOTA_Tooltip_modifier_item_P042_potion,Эликсир скорости ветра
DOTA_Tooltip_modifier_item_P042_potion_Description,"Скорость ветра. После использования увеличивает скорость передвижения на 50%, уклонение увеличивается на 20% на 600 секунд"
DOTA_Tooltip_modifier_item_P043_potion,Зелье регенерации маны
DOTA_Tooltip_modifier_item_P043_potion_Description,Регенерация маны. После использования увеличивает восстановление маны на 2 в секунду
DOTA_Tooltip_modifier_item_P044_potion,Зелье сильной регенерации маны
DOTA_Tooltip_modifier_item_P044_potion_Description,Регенерация маны II. После использования увеличивает восстановление маны на 5 в секунду
DOTA_Tooltip_modifier_item_P045_potion,Зелье крайней регенерации маны
DOTA_Tooltip_modifier_item_P045_potion_Description,Регенерация маны III. После использования увеличивает восстановление маны на 10 в секунду
DOTA_Tooltip_modifier_item_P046_potion,Эликсир медитации
DOTA_Tooltip_modifier_item_P047_potion,Зелье удачи
DOTA_Tooltip_modifier_item_P047_potion_Description,"Удача. После использования увеличивает удачу на 35, длится 120 секунд"
DOTA_Tooltip_modifier_item_P050_potion,Зелье атаки
DOTA_Tooltip_modifier_item_P050_potion_Description,Сила атаки увеличена.
DOTA_Tooltip_modifier_item_M112_buff,Свечение
DOTA_Tooltip_modifier_item_M112_buff_Description,Светится в темноте.
DOTA_Tooltip_modifier_item_P038_source,Изначальный
DOTA_Tooltip_modifier_item_P038_source_Description,При нанесении урона дополнительно наносит чистый урон.
DOTA_Tooltip_modifier_item_P039_unyielding,Непреклонный
DOTA_Tooltip_modifier_item_P039_unyielding_Description,Часть прямого урона откладывается в виде кровотечения.
DOTA_Tooltip_modifier_boss_006_execute_stack,Метка бури
DOTA_Tooltip_modifier_boss_006_execute_stack_Description,"При начале запуска навыка устанавливается количество слоёв обратного отсчёта; каждое попадание вихрем снижает слой на 1, при обнулении происходит казнь."
DOTA_Tooltip_modifier_boss_kez_3_pull,Пустотное притяжение
DOTA_Tooltip_modifier_boss_kez_3_pull_Description,Постоянно притягивает ближайших врагов к себе.
DOTA_Tooltip_modifier_boss_kez_3_buff,Уход в тень
DOTA_Tooltip_modifier_boss_kez_3_buff_Description,"Увеличивает атаку, скорость атаки и скорость передвижения, атаки наносят дополнительный урон."
DOTA_Tooltip_modifier_boss_kez_4_parry,Парирование
DOTA_Tooltip_modifier_boss_kez_4_parry_Description,Блокирует все снаряды.
DOTA_Tooltip_modifier_boss_legion_1_mark,Метка дуэли
DOTA_Tooltip_modifier_boss_legion_1_mark_Description,По истечении обратного отсчёта легион устроит погоню за вами с серией рывков.
DOTA_Tooltip_modifier_boss_legion_1_duel_caster,Принудительная дуэль
DOTA_Tooltip_modifier_boss_legion_1_duel_caster_Description,Легион принудительно атакует цель дуэли.
DOTA_Tooltip_modifier_boss_legion_1_duel_target,Принудительная дуэль
DOTA_Tooltip_modifier_boss_legion_1_duel_target_Description,"Принудительно вступили в дуэль с легионом, постоянно атакуете легион."
DOTA_Tooltip_modifier_boss_night_005_buff,Ночная иллюзия
DOTA_Tooltip_modifier_boss_night_005_buff_Description,На стадии иллюзий вы неуязвимы. Уничтожение иллюзий уменьшает восстановление здоровья в конце.
DOTA_Tooltip_modifier_boss_night_007_wound,Светопожирающая рана
DOTA_Tooltip_modifier_boss_rubick_sand_4_center_slow,Ядро землетрясения
DOTA_Tooltip_modifier_boss_storm_spirit_4_storm,Глаз бури
DOTA_Tooltip_modifier_boss_storm_spirit_4_storm_Description,Периодически атакует ближайшего врага с наименьшим здоровьем.
DOTA_Tooltip_modifier_boss_storm_spirit_4_armor,Снижение брони Глаза бури
DOTA_Tooltip_modifier_boss_storm_spirit_4_armor_Description,Броня снижена.
