--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_ability_item_0121_bonus_attack_damage,+ Sát thương tấn công
DOTA_Tooltip_ability_item_0121_bonus_strength,+ Sức mạnh
DOTA_Tooltip_ability_item_0121_health_regen,+ Hồi máu
DOTA_Tooltip_ability_item_0122_extra_backpack_slot_limit,+ Ô ba lô bổ sung
DOTA_Tooltip_ability_item_0123_mana_regen,+ Hồi mana
DOTA_Tooltip_ability_item_0123_base_magic_resistance,+ Kháng phép
DOTA_Tooltip_ability_item_0124_bonus_all_stats,+ Tất cả chỉ số
DOTA_Tooltip_ability_item_0125_bonus_armor,+ Giáp
DOTA_Tooltip_ability_item_0125_mana_regen,+ Hồi mana
DOTA_Tooltip_ability_item_0126_bonus_agility,+ Nhanh nhẹn
DOTA_Tooltip_ability_item_0126_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0127_bonus_attack_damage,+ Sát thương tấn công
DOTA_Tooltip_ability_item_0127_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0128_bonus_all_stats,+ Tất cả chỉ số
DOTA_Tooltip_ability_item_0128_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0129_crit_chance_pct,%+ Chí mạng
DOTA_Tooltip_ability_item_0129_crit_damage_pct,%+ Sát thương chí mạng
DOTA_Tooltip_ability_item_0130_bonus_attack_damage,+ Sát thương tấn công
DOTA_Tooltip_ability_item_0130_crit_chance_pct,%+ Tỷ lệ chí mạng
DOTA_Tooltip_ability_item_0130_crit_damage_pct,%+ Sát thương chí mạng
DOTA_Tooltip_ability_item_0131_bonus_attack_damage,+ Sát thương tấn công
DOTA_Tooltip_ability_item_0131_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0131_crit_chance_pct,%+ Tỷ lệ chí mạng
DOTA_Tooltip_ability_item_0131_crit_damage_pct,%+ Sát thương chí mạng
DOTA_Tooltip_ability_item_0132_bonus_strength,+ Sức mạnh
DOTA_Tooltip_ability_item_0132_bonus_health,+ Máu
DOTA_Tooltip_ability_item_0133_bonus_all_stats,+ Tất cả chỉ số
DOTA_Tooltip_ability_item_0134_bonus_agility,+ Nhanh nhẹn
DOTA_Tooltip_ability_item_0134_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0135_bonus_intelligence,+ Thông minh
DOTA_Tooltip_ability_item_0135_magical_damage_add_pct,%+ Sát thương phép thuật
DOTA_Tooltip_ability_item_0136_bonus_all_stats,+ Tất cả chỉ số
DOTA_Tooltip_ability_item_0137_bonus_intelligence,+ Thông minh
DOTA_Tooltip_ability_item_0137_base_mana,+ Mana cơ bản
DOTA_Tooltip_ability_item_0138_bonus_strength,+ Sức mạnh
DOTA_Tooltip_ability_item_0138_bonus_agility,+ Nhanh nhẹn
DOTA_Tooltip_ability_item_0138_bonus_intelligence,+ Thông minh
DOTA_Tooltip_ability_item_0139_bonus_health,+ Máu
DOTA_Tooltip_ability_item_0139_bonus_mana,+ Mana tối đa
DOTA_Tooltip_ability_item_0140_mana_regen,+ Hồi mana
DOTA_Tooltip_ability_item_0141_bonus_health,+ Máu
DOTA_Tooltip_ability_item_0142_attack_lifesteal_pct,%+ Hút máu tấn công
DOTA_Tooltip_ability_item_0142_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0143_bonus_all_stats,+ Tất cả chỉ số
DOTA_Tooltip_ability_item_0143_spell_lifesteal_pct,%+ Hút máu kỹ năng
DOTA_Tooltip_ability_item_0144_crit_chance_pct,%+ Chí mạng
DOTA_Tooltip_ability_item_0144_base_movespeed,+ Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0145_bonus_all_stats,+ Tất cả chỉ số
DOTA_Tooltip_ability_item_0146_health_regen,+ Hồi máu
DOTA_Tooltip_ability_item_0147_bonus_intelligence,+ Trí tuệ
DOTA_Tooltip_ability_item_0147_bonus_mana,+ Mana tối đa
DOTA_Tooltip_ability_item_0147_magical_damage_add_pct,%+ Sát thương phép cộng thêm
DOTA_Tooltip_ability_item_0148_bonus_agility,+ Nhanh nhẹn
DOTA_Tooltip_ability_item_0148_bonus_health,+ Máu
DOTA_Tooltip_ability_item_0148_bonus_armor,+ Giáp
DOTA_Tooltip_ability_item_0148_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0149_bonus_strength,+ Sức mạnh
DOTA_Tooltip_ability_item_0150_bonus_attack_damage,+ Sát thương tấn công
DOTA_Tooltip_ability_item_0151_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0151_bonus_health,+Máu
DOTA_Tooltip_ability_item_0151_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0152_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0152_bonus_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0152_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0153_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0153_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0153_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0154_health_regen,+Hồi máu
DOTA_Tooltip_ability_item_0154_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0155_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0155_attack_lifesteal_pct,%+Hút máu tấn công thường
DOTA_Tooltip_ability_item_0156_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0157_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0157_extra_backpack_slot_limit,+Số ô ba lô phụ
DOTA_Tooltip_ability_item_0158_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0158_view_distance,+Tầm nhìn anh hùng
DOTA_Tooltip_ability_item_0158_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0159_bonus_health,+Máu
DOTA_Tooltip_ability_item_0159_bonus_mana,+Năng lượng ma thuật cộng thêm
DOTA_Tooltip_ability_item_0159_health_regen,+Hồi phục máu
DOTA_Tooltip_ability_item_0160_bonus_health,+Máu
DOTA_Tooltip_ability_item_0160_health_regen_pct,%+Hồi phục máu theo phần trăm
DOTA_Tooltip_ability_item_0161_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0161_evasion_pct,%+Né tránh
DOTA_Tooltip_ability_item_0161_mana_regen,+Hồi phục năng lượng
DOTA_Tooltip_ability_item_0162_health_regen,+Hồi phục máu
DOTA_Tooltip_ability_item_0162_mana_regen,+Hồi phục năng lượng
DOTA_Tooltip_ability_item_0162_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0163_bonus_mana,+Năng lượng ma thuật cộng thêm
DOTA_Tooltip_ability_item_0164_bonus_health,+Máu
DOTA_Tooltip_ability_item_0165_bonus_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0165_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0166_bonus_health,+Máu
DOTA_Tooltip_ability_item_0167_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0167_spell_amplify_pct,%+Sát thương kỹ năng
DOTA_Tooltip_ability_item_0168_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0168_mana_regen,+Hồi phục năng lượng
DOTA_Tooltip_ability_item_0169_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0170_bonus_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0171_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0172_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0173_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0173_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0173_evasion_pct,%+Né tránh
DOTA_Tooltip_ability_item_0174_bonus_health,+Máu
DOTA_Tooltip_ability_item_0174_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0174_damage_reduction_pct,%+Giảm sát thương
DOTA_Tooltip_ability_item_0176_base_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0176_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0176_bonus_movespeed_pct,%+Tốc độ di chuyển
DOTA_Tooltip_ability_item_0177_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0177_magical_damage_add_pct,%+Sát thương phép cộng thêm
DOTA_Tooltip_ability_item_0178_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0178_health_regen,+Hồi máu
DOTA_Tooltip_ability_item_0179_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0179_base_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0179_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0179_bonus_movespeed_pct,%+Tốc độ di chuyển
DOTA_Tooltip_ability_item_0179_health_regen,+Hồi máu
DOTA_Tooltip_ability_item_0180_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0180_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0180_spell_amplify_pct,%+Sát thương kỹ năng
DOTA_Tooltip_ability_item_0181_base_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0181_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0181_bonus_movespeed_pct,%+Tốc độ di chuyển
DOTA_Tooltip_ability_item_0181_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0181_magical_damage_add_pct,%+Sát thương phép cộng thêm
DOTA_Tooltip_ability_item_0182_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0183_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0184_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0184_physical_damage_add_pct,%+Sát thương vật lý cộng thêm
DOTA_Tooltip_ability_item_0185_bonus_mana,+Mana cộng thêm
DOTA_Tooltip_ability_item_0185_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0186_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0187_bonus_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0187_physical_damage_add_pct,%+Sát thương vật lý cộng thêm
DOTA_Tooltip_ability_item_0188_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0189_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0189_base_magic_resistance,+Kháng phép
DOTA_Tooltip_ability_item_0190_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0190_bonus_health,+Máu
DOTA_Tooltip_ability_item_0191_bonus_all_stats,+Tất cả thuộc tính
DOTA_Tooltip_ability_item_0192_bonus_health,+Máu
DOTA_Tooltip_ability_item_0192_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0192_bonus_mana,+Mana tối đa
DOTA_Tooltip_ability_item_0193_bonus_all_stats,+Tất cả thuộc tính
DOTA_Tooltip_ability_item_0194_bonus_mana,+Mana tối đa
DOTA_Tooltip_ability_item_0194_health_regen,+Hồi máu
DOTA_Tooltip_ability_item_0194_bonus_cast_range,+Tầm thi triển
DOTA_Tooltip_ability_item_0195_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0195_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0195_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0196_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0196_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0196_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0196_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0197_bonus_health,+Máu
DOTA_Tooltip_ability_item_0197_bonus_mana,+Mana tối đa
DOTA_Tooltip_ability_item_0197_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0198_bonus_health,+Máu
DOTA_Tooltip_ability_item_0198_base_magic_resistance,+Kháng phép
DOTA_Tooltip_ability_item_0199_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0199_attack_speed,+Tốc độ đánh
DOTA_Tooltip_ability_item_0199_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0199_base_mana,+Mana cơ bản
DOTA_Tooltip_ability_item_0200_bonus_mana,+Mana cộng thêm
DOTA_Tooltip_ability_item_0200_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0201_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0201_bonus_health,+Máu
DOTA_Tooltip_ability_item_0201_bonus_mana,+Mana cộng thêm
DOTA_Tooltip_ability_item_0201_health_regen,+Hồi máu
DOTA_Tooltip_ability_item_0202_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0202_bonus_health,+Máu
DOTA_Tooltip_ability_item_0203_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0203_attack_speed,+Tốc độ đánh
DOTA_Tooltip_ability_item_0204_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0204_bonus_health,+Máu
DOTA_Tooltip_ability_item_0204_bonus_mana,+Mana cộng thêm
DOTA_Tooltip_ability_item_0204_spell_amplify_pct,%+ Sát thương kỹ năng
DOTA_Tooltip_ability_item_0205_evasion_pct,%+ Né tránh
DOTA_Tooltip_ability_item_0205_base_movespeed,+ Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0206_bonus_attack_damage,+ Sát thương tấn công
DOTA_Tooltip_ability_item_0206_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0206_physical_damage_add_pct,%+ Tăng sát thương vật lý
DOTA_Tooltip_ability_item_0207_bonus_attack_damage,+ Sát thương tấn công
DOTA_Tooltip_ability_item_0207_physical_damage_add_pct,%+ Tăng sát thương vật lý
DOTA_Tooltip_ability_item_0207_health_regen,+ Hồi máu
DOTA_Tooltip_ability_item_0207_mana_regen,+ Hồi mana
DOTA_Tooltip_ability_item_0208_bonus_intelligence,+ Thông minh
DOTA_Tooltip_ability_item_0208_spell_amplify_pct,%+ Sát thương kỹ năng
DOTA_Tooltip_ability_item_0209_bonus_attack_damage,+ Sát thương tấn công
DOTA_Tooltip_ability_item_0209_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0209_bonus_intelligence,+ Thông minh
DOTA_Tooltip_ability_item_0209_mana_regen,+ Hồi mana
DOTA_Tooltip_ability_item_0210_bonus_attack_damage,+ Sát thương tấn công
DOTA_Tooltip_ability_item_0210_bonus_strength,+ Sức mạnh
DOTA_Tooltip_ability_item_0210_crit_chance_pct,%+ Chí mạng
DOTA_Tooltip_ability_item_0210_crit_damage_pct,%+ Sát thương chí mạng
DOTA_Tooltip_ability_item_0211_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0211_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0211_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0211_evasion_pct,%+Tỷ lệ né tránh
DOTA_Tooltip_ability_item_0212_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0212_spell_lifesteal_pct,%+Hút máu kỹ năng
DOTA_Tooltip_ability_item_0212_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0212_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0213_bonus_health,+Máu
DOTA_Tooltip_ability_item_0213_base_magic_resistance,+Kháng phép
DOTA_Tooltip_ability_item_0214_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0214_spell_amplify_pct,%+Khuếch đại sát thương kỹ năng
DOTA_Tooltip_ability_item_0215_bonus_mana,+Mana tối đa
DOTA_Tooltip_ability_item_0215_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0216_bonus_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0216_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0217_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0217_bonus_health,+Máu
DOTA_Tooltip_ability_item_0218_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0218_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0219_crit_chance_pct,%+Tỉ lệ chí mạng
DOTA_Tooltip_ability_item_0219_crit_damage_pct,%+Sát thương chí mạng
DOTA_Tooltip_ability_item_0220_evasion_pct,%+Né tránh
DOTA_Tooltip_ability_item_0220_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0221_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0221_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0221_physical_damage_add_pct,%+Sát thương vật lý cộng thêm
DOTA_Tooltip_ability_item_0221_crit_chance_pct,%+Tỉ lệ chí mạng
DOTA_Tooltip_ability_item_0222_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0222_spell_amplify_pct,%+Sát thương kỹ năng
DOTA_Tooltip_ability_item_0223_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0223_bonus_health,+Máu
DOTA_Tooltip_ability_item_0224_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0224_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0224_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0224_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0225_base_health_pct,%+Máu cơ bản
DOTA_Tooltip_ability_item_0225_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0226_bonus_health,+Máu
DOTA_Tooltip_ability_item_0226_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0226_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0226_health_regen,+Hồi phục máu
DOTA_Tooltip_ability_item_0227_bonus_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0228_bonus_intelligence,+Thông minh
DOTA_Tooltip_ability_item_0228_spell_amplify_pct,%+Sát thương kỹ năng
DOTA_Tooltip_ability_item_0229_bonus_mana,+Mana tối đa
DOTA_Tooltip_ability_item_0229_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0230_extra_backpack_slot_limit,+Ô balo bổ sung
DOTA_Tooltip_ability_item_0230_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0230_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0232_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0232_crit_chance_pct,%+Chí mạng
DOTA_Tooltip_ability_item_0232_crit_damage_pct,%+Sát thương chí mạng
DOTA_Tooltip_ability_item_0233_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0233_bonus_movespeed_pct,%+Tốc độ di chuyển
DOTA_Tooltip_ability_item_0233_bonus_health,+Máu
DOTA_Tooltip_ability_item_0234_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0234_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0234_bonus_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0234_evasion_pct,%+Né tránh
DOTA_Tooltip_ability_item_0235_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0235_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0236_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0236_health_regen,+Hồi máu
DOTA_Tooltip_ability_item_0237_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0237_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0238_bonus_health,+Máu
DOTA_Tooltip_ability_item_0238_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0238_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0238_health_regen,+Hồi máu
DOTA_Tooltip_ability_item_0239_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0239_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0239_bonus_health,+Máu
DOTA_Tooltip_ability_item_0239_base_health_pct,%+Máu cơ bản
DOTA_Tooltip_ability_item_0243_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0243_spell_amplify_pct,%+Sát thương kỹ năng
DOTA_Tooltip_ability_item_0243_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0244_bonus_mana,+Mana bổ sung
DOTA_Tooltip_ability_item_0244_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0244_bonus_intelligence,+Trí tuệ
DOTA_Tooltip_ability_item_0245_bonus_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0245_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0245_physical_damage_add_pct,%+Sát thương vật lý cộng thêm
DOTA_Tooltip_ability_item_0246_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0246_bonus_health,+Máu
DOTA_Tooltip_ability_item_0246_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0247_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0247_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0247_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0248_crit_chance_pct,%+Chí mạng
DOTA_Tooltip_ability_item_0248_crit_damage_pct,%+Sát thương chí mạng
DOTA_Tooltip_ability_item_0248_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0249_evasion_pct,%+Né tránh
DOTA_Tooltip_ability_item_0249_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0249_base_magic_resistance,+Kháng phép
DOTA_Tooltip_ability_item_0296_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0296_outgoing_damage_pct,%+Sát thương cộng thêm
DOTA_Tooltip_ability_item_0296_bonus_energy_shield,+Lượng khiên bổ sung
DOTA_Tooltip_ability_item_0297_extra_backpack_slot_limit,+Ô ba lô bổ sung
DOTA_Tooltip_ability_item_0297_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0297_bonus_armor,+ giáp
DOTA_Tooltip_ability_item_0298_bonus_armor,+ giáp
DOTA_Tooltip_ability_item_0298_health_regen,+ hồi máu
DOTA_Tooltip_ability_item_0298_mana_regen,+ hồi mana
DOTA_Tooltip_ability_item_0299_bonus_health,+ máu
DOTA_Tooltip_ability_item_0299_bonus_armor,+ giáp
DOTA_Tooltip_ability_item_0300_bonus_attack_damage,+ sát thương tấn công
DOTA_Tooltip_ability_item_0300_attack_speed,+ tốc độ tấn công
DOTA_Tooltip_ability_item_0300_bonus_agility,+ nhanh nhẹn
DOTA_Tooltip_ability_item_0300_evasion_pct,%+ né tránh
DOTA_Tooltip_ability_item_0301_bonus_health,+ máu
DOTA_Tooltip_ability_item_0301_bonus_armor,+ giáp
DOTA_Tooltip_ability_item_0301_health_regen,+ hồi máu
DOTA_Tooltip_ability_item_0301_extra_backpack_slot_limit,+ ô ba lô phụ
DOTA_Tooltip_ability_item_0302_extra_backpack_slot_limit,+ ô ba lô phụ
DOTA_Tooltip_ability_item_0302_bonus_all_stats,+ toàn bộ chỉ số
DOTA_Tooltip_ability_item_0302_mana_regen,+ hồi mana
DOTA_Tooltip_ability_item_0303_bonus_health,+ máu
DOTA_Tooltip_ability_item_0303_evasion_pct,%+ né tránh
DOTA_Tooltip_ability_item_0303_base_movespeed,+ tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0303_health_regen,+Hồi phục máu
DOTA_Tooltip_ability_item_0304_bonus_health,+Máu tối đa
DOTA_Tooltip_ability_item_0304_bonus_agility,+Nhanh nhẹn