--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_modifier_pa_008_gem_overheal_pool_Description,"Lifesteal overheal is stored in a pool, which continuously converts into healing."
DOTA_Tooltip_modifier_pa_011_dexterity_training,Dexterity Training
DOTA_Tooltip_modifier_pa_011_dexterity_training_Description,Gains evasion. Triggers a move speed stack when evading.
DOTA_Tooltip_modifier_item_0099_erosa_ritual,Erosa Ritual
DOTA_Tooltip_modifier_item_0099_erosa_ritual_Description,"Taking attacks grants stacking mana regeneration, 0.2/sec per stack. Max 10 stacks. Decays by 1 stack every 3 seconds."
DOTA_Tooltip_modifier_item_0209_doom,Doom
DOTA_Tooltip_modifier_item_0209_doom_Description,Magic resistance reduced.
DOTA_Tooltip_modifier_item_0221_soul_rend,Soul Rend
DOTA_Tooltip_modifier_item_0221_soul_rend_Description,"At the end of duration, a portion of damage taken during this period is applied."
DOTA_Tooltip_modifier_item_0240,Hardened
DOTA_Tooltip_modifier_item_0240_Description,Damage bonus and damage resistance increased.
DOTA_Tooltip_modifier_item_0241,Bloodthirst
DOTA_Tooltip_modifier_item_0241_Description,"When at low health, gains attack speed, lifesteal and bonus attack damage."
DOTA_Tooltip_modifier_item_0250_aura_effect,Cheers
DOTA_Tooltip_modifier_item_0250_aura_effect_Description,Grants bonus movement speed.
DOTA_Tooltip_modifier_item_0251_buff,Ribbit
DOTA_Tooltip_modifier_item_0251_buff_Description,Continuously restores health.
DOTA_Tooltip_modifier_item_0252_buff,Dormant Protocol
DOTA_Tooltip_modifier_item_0252_buff_Description,Increases item drop luck.
DOTA_Tooltip_modifier_item_0253,Duel
DOTA_Tooltip_modifier_item_0253_Description,Increases attack speed based on the number of enemy units.
DOTA_Tooltip_modifier_item_0255_self_slow,Battle Shield
DOTA_Tooltip_modifier_item_0255_self_slow_Description,Movement speed reduced.
DOTA_Tooltip_modifier_item_0255_shield,Battle Shield
DOTA_Tooltip_modifier_item_0255_shield_Description,Grants bonus max shield and current shield.
DOTA_Tooltip_modifier_item_0256_buff,Dormant Protocol
DOTA_Tooltip_modifier_item_0256_buff_Description,Increases attack damage.
DOTA_Tooltip_modifier_item_0257_buff,Phantom Shift
DOTA_Tooltip_modifier_item_0257_buff_Description,Increases movement speed.
DOTA_Tooltip_modifier_item_0258,Soul Bind
DOTA_Tooltip_modifier_item_0258_Description,Gain souls for killing units. Lose all souls upon death.
DOTA_Tooltip_modifier_item_0265_exposed,Exposed
DOTA_Tooltip_modifier_item_0265_exposed_Description,Increases all damage taken.
DOTA_Tooltip_modifier_item_0266_serenity,Seedfall
DOTA_Tooltip_modifier_item_0266_serenity_Description,Continuously heals allies in an area at the landing point.
DOTA_Tooltip_modifier_item_0269_empowered_attack,Delayed Blast
DOTA_Tooltip_modifier_item_0269_empowered_attack_Description,Next attack deals bonus magical damage and knocks back.
DOTA_Tooltip_modifier_item_0270_dizzy_pollen,Dizzying Pollen
DOTA_Tooltip_modifier_item_0270_dizzy_pollen_Description,Attacks have a chance to miss.
DOTA_Tooltip_modifier_item_0271_psionic_surge,Psionic Surge
DOTA_Tooltip_modifier_item_0271_psionic_surge_Description,Cooldown reduction increased.
DOTA_Tooltip_modifier_item_0272_unyielding_shield,Unyielding
DOTA_Tooltip_modifier_item_0272_unyielding_shield_Description,Gains bonus maximum shield capacity and temporary shield.
DOTA_Tooltip_modifier_item_0274_chorus,Chorus
DOTA_Tooltip_modifier_item_0274_chorus_Description,Gradually restores mana.
DOTA_Tooltip_modifier_item_0275_shocked_slow,Bottled Lightning
DOTA_Tooltip_modifier_item_0275_shocked_slow_Description,Movement speed reduced.
DOTA_Tooltip_modifier_item_0277_charged,Charged
DOTA_Tooltip_modifier_item_0277_charged_Description,Next attack is a guaranteed critical hit and deals increased critical damage.
DOTA_Tooltip_modifier_item_0278_resonant_armor,Resonant Armor
DOTA_Tooltip_modifier_item_0278_resonant_armor_Description,"The more nearby enemies, the higher the damage reduction."
DOTA_Tooltip_modifier_item_0280_bloodlust,Bloodlust
DOTA_Tooltip_modifier_item_0280_bloodlust_Description,Base attack damage and lifesteal increased.
DOTA_Tooltip_modifier_item_0283_free_mana,Mana Resonance
DOTA_Tooltip_modifier_item_0283_free_mana_Description,Next spell cast costs no mana.
DOTA_Tooltip_modifier_item_0284_fate_gaze,Fate's Gaze
DOTA_Tooltip_modifier_item_0284_fate_gaze_Description,Magic resistance and armor reduced.
DOTA_Tooltip_modifier_item_0286_armor_break,Corroding Armor
DOTA_Tooltip_modifier_item_0286_armor_break_Description,Armor reduced.
DOTA_Tooltip_modifier_item_0287_seismic_slow,Seismic Slow
DOTA_Tooltip_modifier_item_0287_seismic_slow_Description,Movement speed reduced.
DOTA_Tooltip_modifier_item_0290_web_walk,Web Walk
DOTA_Tooltip_modifier_item_0290_web_walk_Description,"Overrides movement speed and removes movement restrictions, also grants immunity to traps."
DOTA_Tooltip_modifier_item_0293_holy_aura_effect,Holy Aura
DOTA_Tooltip_modifier_item_0293_holy_aura_effect_Description,"Health regeneration increased, armor increased by a percentage."
DOTA_Tooltip_modifier_item_0294_aggressive,Resonator (Offensive)
DOTA_Tooltip_modifier_item_0294_aggressive_Description,"Increases damage dealt, but also increases damage taken."
DOTA_Tooltip_modifier_item_0294_defensive,Resonator (Defensive)
DOTA_Tooltip_modifier_item_0294_defensive_Description,"Increases armor and magic resistance, but reduces damage dealt."
DOTA_Tooltip_modifier_item_0305_buff,Clumsiness
DOTA_Tooltip_modifier_item_0305_buff_Description,"Movement speed reduced, maximum attack damage and maximum health increased."
DOTA_Tooltip_modifier_item_0307_vortex,Vortex Snare
DOTA_Tooltip_modifier_item_0307_vortex_Description,Movement speed reduced and taking magic damage per second.
DOTA_Tooltip_modifier_item_0308_valor,Valor
DOTA_Tooltip_modifier_item_0308_valor_Description,"Gains max health on hit, stacking up to a limit."
DOTA_Tooltip_modifier_item_0314_emperor_crown_aura,Imperial Reign
DOTA_Tooltip_modifier_item_0314_emperor_crown_aura_Description,Grants bonus all attributes.
DOTA_Tooltip_modifier_item_0317_madness,Madness
DOTA_Tooltip_modifier_item_0317_madness_Description,"Attack speed and movement speed increased, armor reduced."
DOTA_Tooltip_modifier_item_0332_madness,Madness
DOTA_Tooltip_modifier_item_0332_madness_Description,Attack speed and movement speed increased.
DOTA_Tooltip_modifier_item_0336_sage_boots,Magic Amp
DOTA_Tooltip_modifier_item_0336_sage_boots_Description,Magic damage bonus based on max mana.
DOTA_Tooltip_modifier_item_0337_archmage_focus,Archmage Focus
DOTA_Tooltip_modifier_item_0337_archmage_focus_Description,"Spell damage increased. At max stacks, releases an arcane burst."
DOTA_Tooltip_modifier_item_0339_secret,Secret
DOTA_Tooltip_modifier_item_0339_secret_Description,"Gain health and mana when casting abilities, with stacks decaying over time."
DOTA_Tooltip_modifier_item_0340_charged,Ruinous Strike
DOTA_Tooltip_modifier_item_0340_charged_Description,Next attack deals area damage and reduces enemy attack damage.
DOTA_Tooltip_modifier_item_0340_destroyed,Ruin
DOTA_Tooltip_modifier_item_0340_destroyed_Description,"Attack damage reduction, stacks."
DOTA_Tooltip_modifier_item_0341_freeze,Frozen
DOTA_Tooltip_modifier_item_0341_freeze_Description,Movement speed reduced.
DOTA_Tooltip_modifier_item_0348_butcher,Butcher
DOTA_Tooltip_modifier_item_0348_butcher_Description,Gain bonus damage while missing health.
DOTA_Tooltip_modifier_item_0349_boil_aura_effect,Boiling
DOTA_Tooltip_modifier_item_0349_boil_aura_effect_Description,Attack speed increased.
DOTA_Tooltip_modifier_item_0350_swift_aura_effect,Swiftness
DOTA_Tooltip_modifier_item_0350_swift_aura_effect_Description,Movement speed and health regeneration increased.
DOTA_Tooltip_modifier_item_0351_storm_ready,Storm Flurry
DOTA_Tooltip_modifier_item_0351_storm_ready_Description,Next basic attack deals high bonus physical damage.
DOTA_Tooltip_modifier_item_0352_sonic_barrier,Sonic Barrier
DOTA_Tooltip_modifier_item_0352_sonic_barrier_Description,Attack speed and movement speed increased.
DOTA_Tooltip_modifier_item_0360_hunt,Hunt
DOTA_Tooltip_modifier_item_0360_hunt_Description,Gain attack damage when movement speed exceeds a threshold.
DOTA_Tooltip_modifier_item_0364_torment,Torment
DOTA_Tooltip_modifier_item_0364_torment_Description,Gain max health on taking damage. Stacks decay over time.
DOTA_Tooltip_modifier_item_0365_corrosion,Corrosion
DOTA_Tooltip_modifier_item_0365_corrosion_Description,Each poison stack reduces armor.
DOTA_Tooltip_modifier_item_0367_momentum,Momentum
DOTA_Tooltip_modifier_item_0367_momentum_Description,"Moving builds up attack damage, which then decays over time."
DOTA_Tooltip_modifier_item_0367_sonic_barrier,Sonic Barrier
DOTA_Tooltip_modifier_item_0367_sonic_barrier_Description,Increased attack speed and movement speed.
DOTA_Tooltip_modifier_item_0370_shadow_haste,Feral
DOTA_Tooltip_modifier_item_0370_shadow_haste_Description,Increased movement speed.
DOTA_Tooltip_modifier_item_0375_slow,Slow
DOTA_Tooltip_modifier_item_0375_slow_Description,Reduced movement speed.
DOTA_Tooltip_modifier_item_0376_adventure,Adventure
DOTA_Tooltip_modifier_item_0376_adventure_Description,"Increases luck, but also increases damage taken and reduces damage dealt."
DOTA_Tooltip_modifier_item_0379_doom,Doom
DOTA_Tooltip_modifier_item_0379_doom_Description,Reduced magic resistance.
DOTA_Tooltip_modifier_item_0384_sage_cache,Sage's Cache
DOTA_Tooltip_modifier_item_0384_sage_cache_Description,"After casting a spell, automatically restores mana when low."
DOTA_Tooltip_modifier_item_0385_lionheart_barrier,Lionheart Barrier
DOTA_Tooltip_modifier_item_0385_lionheart_barrier_Description,"After taking damage, automatically restores shield when it is low."
DOTA_Tooltip_modifier_item_0392,Fearless
DOTA_Tooltip_modifier_item_0392_Description,Damage bonus increased.
DOTA_Tooltip_modifier_item_0393_stealth_haste,Concealment
DOTA_Tooltip_modifier_item_0393_stealth_haste_Description,Attack speed increased. Stacks.
DOTA_Tooltip_modifier_item_0406_storm_ready,Storm Flurry
DOTA_Tooltip_modifier_item_0406_storm_ready_Description,Next basic attack deals bonus high physical damage.
DOTA_Tooltip_modifier_item_0412_blood_haste,Bloodmist Mask
DOTA_Tooltip_modifier_item_0412_blood_haste_Description,Restores a percentage of your max health.
DOTA_Tooltip_modifier_item_0422_battle_standard_buff,Royal Banner
DOTA_Tooltip_modifier_item_0422_battle_standard_buff_Description,Increases physical damage of nearby allies around the banner.
DOTA_Tooltip_modifier_item_0424_thorn_energy,Thorn Crown
DOTA_Tooltip_modifier_item_0424_thorn_energy_Description,Stores thorn energy when the shield absorbs damage.
DOTA_Tooltip_modifier_item_0169_aura_effect,Shatter
DOTA_Tooltip_modifier_item_0169_aura_effect_Description,Reduces armor.
DOTA_Tooltip_modifier_item_0178_maim,Maim
DOTA_Tooltip_modifier_item_0178_maim_Description,Reduces attack damage and movement speed.
DOTA_Tooltip_modifier_item_0233_aura_effect,Gaze
DOTA_Tooltip_modifier_item_0233_aura_effect_Description,Reduces attack speed.
DOTA_Tooltip_modifier_item_0231_essence_ring,Vigor
DOTA_Tooltip_modifier_item_0231_essence_ring_Description,Increases max health.
DOTA_Tooltip_modifier_item_0224_shield,Sunflare
DOTA_Tooltip_modifier_item_0224_shield_Description,Grants additional max shield and current shield.
DOTA_Tooltip_modifier_item_0150_corrosion,Corrosion
DOTA_Tooltip_modifier_item_0150_corrosion_Description,Reduces armor and movement speed.
DOTA_Tooltip_modifier_item_0152_phase,Phase
DOTA_Tooltip_modifier_item_0152_phase_Description,Increases movement speed and grants phased movement.
DOTA_Tooltip_modifier_item_0155_madness,Madness
DOTA_Tooltip_modifier_item_0155_madness_Description,"Increases attack speed and movement speed, reduces armor, and silences you."
DOTA_Tooltip_modifier_item_0145_ghost,Ethereal
DOTA_Tooltip_modifier_item_0145_ghost_Description,"Enters ethereal state, immune to physical damage, cannot attack, and takes extra magic damage."
DOTA_Tooltip_modifier_item_0149_sacrifice,Sacrifice
DOTA_Tooltip_modifier_item_0149_sacrifice_Description,Increases max mana.
DOTA_Tooltip_item_P010_modifier,Warming Potion
DOTA_Tooltip_item_P010_modifier_Description,Grants immunity to frostbite and slowly restores health.
DOTA_Tooltip_item_P017_modifier,Revival
DOTA_Tooltip_item_P017_modifier_Description,"If you take lethal damage within 120 seconds, you are saved from death and restored to 50% of max health. Removed after triggering."
DOTA_Tooltip_item_P017_invulnerable,Revival Shield
DOTA_Tooltip_item_P017_invulnerable_Description,Gain full damage immunity for a short duration.
DOTA_Tooltip_item_P019_modifier,Strength Potion
DOTA_Tooltip_item_P019_modifier_Description,Grants 50% bonus base strength for 120 seconds.
DOTA_Tooltip_item_P049_modifier,Glow Potion
DOTA_Tooltip_item_P049_modifier_Description,Makes your body glow for 360 seconds.
DOTA_Tooltip_modifier_item_P221_winner_blessing,Winner's Blessing
DOTA_Tooltip_modifier_item_P221_winner_blessing_Description,"Upon a successful drop, has a chance to roll an additional drop."
DOTA_Tooltip_modifier_item_P222_ender_special,Ender's Special
DOTA_Tooltip_modifier_item_P222_ender_special_Description,Increases evasion.
DOTA_Tooltip_modifier_item_P223_hunting_blood,Hunting Blood
DOTA_Tooltip_modifier_item_P223_hunting_blood_Description,Increases attack damage.
DOTA_Tooltip_modifier_item_potion_generic,Potion Effect
DOTA_Tooltip_modifier_item_potion_generic_Description,Temporary buff provided by a potion.
DOTA_Tooltip_modifier_item_P006_potion,Defense Potion
DOTA_Tooltip_modifier_item_P006_potion_Description,Use: Fortify Armor. Increases armor by 5 for 120 seconds.
DOTA_Tooltip_modifier_item_P007_potion,Glimmer Potion
DOTA_Tooltip_modifier_item_P007_potion_Description,"Use: Shimmer. Causes the user to glow, increasing health regeneration by 3 for 240 seconds."
DOTA_Tooltip_modifier_item_P008_potion,Swiftness Potion
DOTA_Tooltip_modifier_item_P008_potion_Description,Use: Swiftness. Increases movement speed by 25% for 60 seconds.
DOTA_Tooltip_modifier_item_P009_potion,Fury Potion
DOTA_Tooltip_modifier_item_P009_potion_Description,Use: Fury. Increases attack damage by 10 and attack speed by 30 for 120 seconds.
DOTA_Tooltip_modifier_item_P011_potion,Fortitude Potion
DOTA_Tooltip_modifier_item_P011_potion_Description,Use: Fortitude. Increases max health by 25% for 120 seconds.
DOTA_Tooltip_modifier_item_P012_potion,Arcane Potion
DOTA_Tooltip_modifier_item_P012_potion_Description,Use: Serenity. Increases cooldown reduction by 10% and mana regeneration by 1 for 120 seconds.
DOTA_Tooltip_modifier_item_P014_potion,Mystic Potion
DOTA_Tooltip_modifier_item_P014_potion_Description,Use: Arcana. Increases max mana by 20 and mana regeneration by 2 for 120 seconds.
DOTA_Tooltip_modifier_item_P015_potion,Frenzy Potion
DOTA_Tooltip_modifier_item_P015_potion_Description,"Use: Frenzy. Increases attack speed by 30, grants 10% critical strike chance, 6% spell critical chance and 50% critical damage for 240 seconds."
DOTA_Tooltip_modifier_item_P016_potion,Warding Potion
DOTA_Tooltip_modifier_item_P016_potion_Description,Use: Warding. Increases damage reduction by 20% for 240 seconds.
DOTA_Tooltip_modifier_item_P018_potion,Chaos Potion
DOTA_Tooltip_modifier_item_P018_potion_Description,Use: Chaos. Increases damage taken by 25% and damage dealt by 30% for 60 seconds.
DOTA_Tooltip_modifier_item_P020_potion,Bloodthirst Potion
DOTA_Tooltip_modifier_item_P020_potion_Description,Use: Bloodthirst. Grants 20% attack lifesteal and 10% spell lifesteal for 120 seconds.
DOTA_Tooltip_modifier_item_P021_potion,Magic Resistance Potion
DOTA_Tooltip_modifier_item_P021_potion_Description,Use: Magic Resistance. Grants magic resistance for a duration.
DOTA_Tooltip_modifier_item_P022_potion,Greater Defense Potion
DOTA_Tooltip_modifier_item_P022_potion_Description,Use: Defense II. Increases armor by 10 for 120 seconds.
DOTA_Tooltip_modifier_item_P023_potion,Superior Defense Potion
DOTA_Tooltip_modifier_item_P023_potion_Description,Use: Defense III. Increases armor by 15 for 240 seconds.
DOTA_Tooltip_modifier_item_P024_potion,Stone Shield Elixir
DOTA_Tooltip_modifier_item_P024_potion_Description,Use: Stone Shield. Increases armor by 20% and damage reduction by 15% for 600 seconds.
DOTA_Tooltip_modifier_item_P025_potion,Greater Recovery Potion
DOTA_Tooltip_modifier_item_P025_potion_Description,Use: Recovery II. Increases health regeneration by 10 for 120 seconds.
DOTA_Tooltip_modifier_item_P026_potion,Superior Recovery Potion
DOTA_Tooltip_modifier_item_P026_potion_Description,Use: Recovery III. Increases health regeneration by 20 for 240 seconds.
DOTA_Tooltip_modifier_item_P027_potion,Nourishing Elixir
DOTA_Tooltip_modifier_item_P027_potion_Description,Use: Nourish. Restores 2% of max health per second and increases max health by 500 for 600 seconds.
DOTA_Tooltip_modifier_item_P028_potion,Rage Potion
DOTA_Tooltip_modifier_item_P028_potion_Description,Use: Rage. Increases attack damage by 30 and attack speed by 40% for 240 seconds.
DOTA_Tooltip_modifier_item_P029_potion,Deathmatch Elixir
DOTA_Tooltip_modifier_item_P029_potion_Description,"Use: Deathmatch. Increases attack damage by 20% and attack speed by 50%, lasts 600 seconds"
DOTA_Tooltip_modifier_item_P030_potion,Elixir of Enlightenment
DOTA_Tooltip_modifier_item_P030_potion_Description,"Use: Enlightenment. Increases experience gain by 5%, lasts 120 seconds"
DOTA_Tooltip_modifier_item_P031_potion,Greater Elixir of Enlightenment
DOTA_Tooltip_modifier_item_P031_potion_Description,"Use: Enlightenment II. Increases experience gain by 10%, lasts 120 seconds"
DOTA_Tooltip_modifier_item_P032_potion,Grand Elixir of Enlightenment
DOTA_Tooltip_modifier_item_P032_potion_Description,"Use: Enlightenment III. Increases experience gain by 15%, lasts 240 seconds"
DOTA_Tooltip_modifier_item_P033_potion,Endless Knowledge Elixir
DOTA_Tooltip_modifier_item_P033_potion_Description,"Use: Knowledge. Increases experience gain by 25%, +80 max mana, lasts 600 seconds"
DOTA_Tooltip_modifier_item_P034_potion,Spell Mastery Elixir
DOTA_Tooltip_modifier_item_P034_potion_Description,"Use: Spell Power. Increases spell damage by 15%, lasts 120 seconds"
DOTA_Tooltip_modifier_item_P035_potion,Greater Spell Mastery Elixir
DOTA_Tooltip_modifier_item_P035_potion_Description,"Use: Spell Power II. Increases spell damage by 20%, lasts 120 seconds"
DOTA_Tooltip_modifier_item_P036_potion,Grand Spell Mastery Elixir
DOTA_Tooltip_modifier_item_P036_potion_Description,"Use: Spell Power III. Increases spell damage by 25%, lasts 240 seconds"
DOTA_Tooltip_modifier_item_P037_potion,Arcane Storm Elixir
DOTA_Tooltip_modifier_item_P037_potion_Description,"Use: Arcane. Increases spell damage by 30% and spell critical strike chance by 15%, lasts 600 seconds"
DOTA_Tooltip_modifier_item_P040_potion,Greater Swiftness Elixir
DOTA_Tooltip_modifier_item_P040_potion_Description,"Use: Swiftness II. Increases movement speed by 30%, lasts 120 seconds"
DOTA_Tooltip_modifier_item_P041_potion,Potent Swiftness Potion
DOTA_Tooltip_modifier_item_P041_potion_Description,"Use: Swiftness III. On use, increases movement speed by 35% for 240 seconds."
DOTA_Tooltip_modifier_item_P042_potion,Windwalk Elixir
DOTA_Tooltip_modifier_item_P042_potion_Description,"Use: Windwalk. On use, increases movement speed by 50% and dodge chance by 20% for 600 seconds."
DOTA_Tooltip_modifier_item_P043_potion,Mana Regeneration Potion
DOTA_Tooltip_modifier_item_P043_potion_Description,"Use: Mana Regeneration. On use, increases mana regeneration by 2 per second for 120 seconds."
DOTA_Tooltip_modifier_item_P044_potion,Greater Mana Regeneration Potion
DOTA_Tooltip_modifier_item_P044_potion_Description,"Use: Mana Regeneration II. On use, increases mana regeneration by 5 per second for 120 seconds."
DOTA_Tooltip_modifier_item_P045_potion,Potent Mana Regeneration Potion
DOTA_Tooltip_modifier_item_P045_potion_Description,"Use: Mana Regeneration III. On use, increases mana regeneration by 10 per second for 240 seconds."
DOTA_Tooltip_modifier_item_P046_potion,Meditation Elixir
DOTA_Tooltip_modifier_item_P047_potion,Fortune Potion
DOTA_Tooltip_modifier_item_P047_potion_Description,"Use: Good Fortune. On use, increases luck by 35 points for 120 seconds."
DOTA_Tooltip_modifier_item_M112_buff,Glowing
DOTA_Tooltip_modifier_item_M112_buff_Description,Emits light in dark environments.
DOTA_Tooltip_modifier_item_P038_source,Primordial
DOTA_Tooltip_modifier_item_P038_source_Description,"When dealing damage, additionally inflicts pure damage."
DOTA_Tooltip_modifier_item_P039_unyielding,Unyielding
DOTA_Tooltip_modifier_item_P039_unyielding_Description,Converts a portion of direct damage into delayed bleeding damage.
DOTA_Tooltip_modifier_boss_006_execute_stack,Storm Mark
DOTA_Tooltip_modifier_boss_006_execute_stack_Description,Grants countdown stacks upon ability launch. Each Cyclone hit removes 1 stack. Triggers execution at 0 stacks.
DOTA_Tooltip_modifier_boss_kez_3_pull,Void Pull
DOTA_Tooltip_modifier_boss_kez_3_pull_Description,Continuously pulls nearby enemies toward you.
DOTA_Tooltip_modifier_boss_kez_3_buff,Into Shadows
DOTA_Tooltip_modifier_boss_kez_3_buff_Description,"Increases attack damage, attack speed, and movement speed. Attacks deal bonus damage."
DOTA_Tooltip_modifier_boss_kez_4_parry,Parry
DOTA_Tooltip_modifier_boss_kez_4_parry_Description,Blocks all projectiles.
DOTA_Tooltip_modifier_boss_legion_1_mark,Duel Mark
DOTA_Tooltip_modifier_boss_legion_1_mark_Description,"After the countdown, Legion will continuously dash to hunt you."
DOTA_Tooltip_modifier_boss_legion_1_duel_caster,Forced Duel
DOTA_Tooltip_modifier_boss_legion_1_duel_caster_Description,Legion is forced to attack the duel target.
DOTA_Tooltip_modifier_boss_legion_1_duel_target,Forced Duel
DOTA_Tooltip_modifier_boss_legion_1_duel_target_Description,Forced into a duel with Legion. Continually attacks Legion.
DOTA_Tooltip_modifier_boss_night_005_buff,Night Illusion
DOTA_Tooltip_modifier_boss_night_005_buff_Description,Invulnerable during the illusion phase. Destroying the illusion reduces the final heal.
DOTA_Tooltip_modifier_boss_night_007_wound,Devouring Wound
DOTA_Tooltip_modifier_boss_storm_spirit_4_storm,Eye of the Storm
DOTA_Tooltip_modifier_boss_storm_spirit_4_storm_Description,Periodically strikes the nearby enemy with the lowest health.
DOTA_Tooltip_modifier_boss_storm_spirit_4_armor,Eye of the Storm Armor Reduction
DOTA_Tooltip_modifier_boss_storm_spirit_4_armor_Description,Armor reduced.
DOTA_Tooltip_modifier_elite_030_hooked,Spider Hooked
DOTA_Tooltip_modifier_elite_030_hooked_Description,"Hit by Spider Hook, unable to act, continuously dragged towards the caster, and attracts nearby enemies to attack."
DOTA_Tooltip_modifier_elite_030_hooked_aura_buff,Pack Frenzy
DOTA_Tooltip_modifier_elite_030_hooked_aura_buff_Description,"Inspired by the hooked target, increasing attack damage, attack speed, and movement speed."
DOTA_Tooltip_modifier_elite_036_stack,Bash Mark
DOTA_Tooltip_modifier_elite_036_stack_Description,"Stacks from basic attacks of this unit. When stacks exceed 5, the target is stunned and stacks reset."
DOTA_Tooltip_modifier_elite_044_reflect,Damage Reflection
DOTA_Tooltip_modifier_elite_044_reflect_Description,Reflects damage back to attackers when taking damage.
DOTA_Tooltip_modifier_elite_046_dash,Dash
DOTA_Tooltip_modifier_elite_046_dash_Description,"Dash forward quickly, dealing damage to enemies along the path."
DOTA_Tooltip_modifier_elite_050_stone_skin,Stone Skin Tremors
DOTA_Tooltip_modifier_elite_050_stone_skin_Description,Increases armor and periodically shocks nearby enemies.
DOTA_Tooltip_modifier_elite_056_frenzy,Crystalline Frenzy
DOTA_Tooltip_modifier_elite_056_frenzy_Description,Grants bonus movement and attack speed. Attacks deal additional crystal blade damage in a small area.
DOTA_Tooltip_modifier_elite_062_no_heal,Frost Healing Block
DOTA_Tooltip_modifier_elite_062_no_heal_Description,Cannot receive any healing.
DOTA_Tooltip_modifier_elite_066_crit_aura,Chaos Rift
DOTA_Tooltip_modifier_elite_066_crit_aura_Description,Allies around the caster gain increased critical strike chance.
DOTA_Tooltip_modifier_elite_066_crit_buff,Chaos Critical Strike
DOTA_Tooltip_modifier_elite_066_crit_buff_Description,Critical strike chance increased.
DOTA_Tooltip_modifier_elite_067_root,Frost Web Bind
DOTA_Tooltip_modifier_elite_067_root_Description,"Entangled in a frost web, unable to move and suffering from intense cold."
DOTA_Tooltip_modifier_elite_068_latched,Ice Spider Latch
DOTA_Tooltip_modifier_elite_068_latched_Description,"An ice spider latches onto your back, dealing an attack each second."
