--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
pay_page_协议正文_029,"Refers to a virtual benefit that can only be used to participate in in-game random virtual item acquisition activities, and does not have cash, physical, profit-sharing, or other real-world property attributes."
pay_page_协议正文_030,Account
pay_page_协议正文_031,"Refers to the relevant third-party platform accounts, Dota 2 account, Yunhai Youchuang identification ID, payment account association records, and other data that can identify the user's identity or benefit attribution, used by the user to access this service."
pay_page_协议正文_032,Article 3 Platform Relationship and Third-Party Rights
pay_page_协议正文_033,"3.1 The names, trademarks, works, materials, platforms, clients, account systems, payment systems and other rights of the Dota2 Arcade and related third-party platforms belong to their respective right holders. Yunhai Youchuang only holds rights to the custom map content, operational content, original artwork, rule designs, data configurations and related services that it legally owns or has been authorized to use."
pay_page_协议正文_034,"3.2 If the Dota2 Arcade or any related third-party platform becomes unable to provide this service, in whole or in part, due to rule changes, review, bans, interface changes, policy changes, technical limitations or other reasons, Yunhai Youchuang has the right to adjust, suspend or terminate the service accordingly, and will make reasonable efforts to notify users via announcements, group notifications, customer support or other means."
pay_page_协议正文_035,Article 4: License to Use and Intellectual Property
pay_page_协议正文_036,"4.1 Provided that the user complies with this Agreement, game rules and platform rules, Yunhai Youchuang grants the user a non-commercial, non-exclusive, non-transferable, non-sublicensable, revocable limited license to experience this service for personal entertainment purposes."
pay_page_协议正文_037,"4.2 Users shall not copy, decompile, crack, modify, sell, rent, distribute, invoke via external software, bypass restrictions, operate private servers, or otherwise use the programs, data, materials, rules, documents, interfaces or operational content of this service in any unauthorized manner."
pay_page_协议正文_038,"4.3 Users shall not, for profit-making purposes or in any way that may affect the fairness, balance or normal operation of the game, use this service or the virtual items and virtual rights within it to engage in level-boosting, farming services, account trading, item trading, lottery ticket trading, resale of rights, cheating software, script farming, exploit exploitation, abnormal data misuse, bulk registration, malicious refunds, or other similar activities. Yunhai Youchuang has the right, based on its own judgment and server records, to unilaterally decide to take measures such as warnings, recovery of virtual items, deduction of abnormal gains, data rollback, deletion of save data, login restrictions, account suspension, or permanent bans from entering or playing this service, depending on the circumstances."
pay_page_协议正文_039,"Article 5: Accounts, Identity and Security"
pay_page_协议正文_040,"5.1 Users shall use an account legally owned and authorized by themselves to access or use this service. Users shall properly keep their accounts, passwords, tokens, payment tools, devices and verification codes."
pay_page_协议正文_041,"5.2 Login, sponsorship, claiming, consumption, trading, chatting, event participation, and other actions conducted through a user account shall, in principle, be deemed as actions taken by the user personally. Losses incurred due to the user lending, sharing, trading the account, or improper custody shall be borne by the user."
pay_page_协议正文_042,"5.3 If a user discovers that their account has been stolen, there is abnormal login, virtual entitlements have abnormally decreased, or payment is abnormal, they shall promptly submit materials through the customer service channels announced by Yunhai Youchuang. Yunhai Youchuang may take measures such as temporary freezing, login restriction, data verification, and suspension of entitlement distribution as appropriate."
pay_page_协议正文_043,"5.4 Users shall not purchase, sell, rent, lend, gift, share, inherit, or transfer accounts or virtual entitlements within accounts. Yunhai Youchuang has the right to refuse to handle or only assist in verification within a reasonable scope for disputes and losses arising from account trading, sharing, borrowing, boosting, etc."
pay_page_协议正文_044,Article 6 Sponsorship Mall and Payment
pay_page_协议正文_045,"6.1 Users understand and agree that payments made in the sponsorship mall are used to support Yunhai Youchuang's ongoing development of custom maps, as well as server, maintenance, event, customer service, and operational costs. After payment, users may obtain the eligibility to use corresponding virtual entitlements according to the page display or event rules."
pay_page_协议正文_046,"6.2 The sponsorship mall does not constitute investment, wealth management, dividend distribution, lending, crowdfunding rebates, cash top-up, currency exchange, or withdrawable assets. Users shall not, on the grounds of sponsorship, top-up, or purchase of virtual entitlements, require Yunhai Youchuang to refund cash, distribute profits, repurchase entitlements, or bear principal-guarantee responsibilities."
pay_page_协议正文_047,"6.3 The sponsorship amount, content received, validity period, arrival time, distribution method, claim conditions, usage restrictions, etc. shall be subject to the information confirmed by the payment page, in-game mall, event page, announcements, or customer service. Users should verify such information themselves before payment."
pay_page_协议正文_048,"6.4 If payment fails, is delayed, is duplicated, is not distributed, or is abnormally distributed due to payment channels, banks, networks, platform risk control, user operation errors, account abnormalities, third-party reasons, or any other reasons, Yunhai Youchuang has the right to verify based on actual arrival records, order records, risk control records, and game server records, and decide at its sole discretion whether to reissue, correct, refund, freeze, or refuse to process. Users shall contact customer service promptly and provide necessary materials; if the materials are insufficient or the situation is unclear, Yunhai Youchuang may refuse to process."
pay_page_协议正文_049,Article 7: Virtual Items and Virtual Rights Rules
pay_page_协议正文_050,"7.1 The virtual items and virtual rights in this Service are owned or managed by Yunhai Youchuang or the relevant rights holders in accordance with law. Users obtain only limited usage rights subject to this Agreement and game rules, and do not obtain ownership, disposal rights, or real-world property rights."
pay_page_协议正文_051,"7.2 Virtual items, virtual rights, lottery tickets, monthly passes, skins, attribute items, etc. do not have legal tender status and may not be exchanged for RMB, cash, physical goods, bank card balances, any platform balances, or any other real-world property rights."
pay_page_协议正文_052,"7.3 Yunhai Youchuang does not provide services for recycling, consignment, withdrawal, cashing out, exchange, repurchase, escrow trading, or conversion with real currency for virtual items or virtual rights. Users shall not engage in such activities themselves or through third parties."
pay_page_协议正文_053,"7.4 Unless explicitly permitted by game rules, users shall not transfer, gift, sell, mortgage, lease, lend, exchange, inherit, hold on behalf of others, trade off-platform, or dispose of virtual items and virtual rights in any way."
pay_page_协议正文_054,"7.5 To maintain game balance, fix bugs, adapt to Dota 2 updates, comply with platform rules, handle violations, or ensure service operation, Yunhai Youchuang has the right to adjust the names, appearances, attributes, values, drops, acquisition methods, usage periods, applicable maps, crafting rules, consumption rules, or other configurations of virtual items and virtual rights. Yunhai Youchuang will make reasonable efforts to notify users of major adjustments via announcements or in-game notices."
pay_page_协议正文_055,"7.6 For virtual rights marked with validity periods, usage counts, seasons, event periods, map versions, or other restrictions, users may only use them within the corresponding conditions. Once the period expires, counts are exhausted, the event ends, the map is shut down, the version is terminated, or the account is restricted in accordance with laws and regulations, the corresponding rights may become invalid."
pay_page_协议正文_056,Article 8: Lottery Tickets and Random Acquisition Events
pay_page_协议正文_057,"8.1 Draw tickets are used solely to participate in in-game random virtual item acquisition activities. The results only entitle you to virtual items or virtual benefits within this custom map and do not generate any cash, physical goods, profit dividends, or other real-world property rights."
pay_page_协议正文_058,"8.2 Yunhai Youchuang does not provide cash-out, retrieval, resale, or exchange-for-real-world-property services for draw tickets, draw results, prizes, points, or related virtual benefits. Users shall not organize gambling, betting, wagers, stake betting, over-the-counter trading, income promises, or other illegal or non-compliant activities using draw results as the subject."
pay_page_协议正文_059,"8.3 Yunhai Youchuang may publicize the prize pool scope, main prizes, probabilities, guarantee mechanism, duplicate handling, event duration, and other important rules for random acquisition activities in-game, on the mall page, in announcements, or in other locations it deems appropriate. If probabilities, prize pools, or rules undergo major adjustments, Yunhai Youchuang may decide whether and how to announce them."
pay_page_协议正文_060,"8.4 Before participating in a random acquisition activity, users should carefully read the relevant rules. Once a user uses a draw ticket, the draw ticket is consumed; except as otherwise provided by laws and regulations, system errors, or abnormal circumstances confirmed by Yunhai Youchuang, consumed draw tickets will not be refunded."
pay_page_协议正文_061,"8.5 If draw tickets or prizes are obtained through program vulnerabilities, abnormal issuance, configuration errors, cheating, hacks, farming, exploiting bugs, payment anomalies, or other improper means, Yunhai Youchuang has the right to correct data, recover abnormal benefits, revoke draw results, restrict accounts, or take other measures."
pay_page_协议正文_062,"Article 9 Monthly Cards, Limited-Time Benefits, and Continuous Services"
pay_page_协议正文_063,"9.1 The specific content, price, validity period, collection method, daily refresh time, make-up claim rules, and restrictions of monthly cards, passes, membership benefits, or other time-limited benefits shall be subject to the purchase page, event rules, or in-game announcements."
pay_page_协议正文_064,"9.2 Unless otherwise explicitly stated on the page, the validity period of a monthly card is calculated consecutively by calendar days, and will not be interrupted, suspended, or extended due to user not logging in, not claiming, device failure, account sharing, personal network issues, or personal reasons."
pay_page_协议正文_065,"9.3 If the Service becomes unavailable for an extended period due to reasons attributable to Yunhai Youchuang, Yunhai Youchuang has the right to take remedial measures such as reissuance, extension, alternative benefits, or other handling based on actual circumstances. However, such handling does not constitute an obligation of Yunhai Youchuang. The specific outcome shall be subject to announcements or customer service results."
pay_page_协议正文_066,"Article 10 Refunds, Chargebacks, and Handling of Payment Abnormalities"
pay_page_协议正文_067,"10.1 Before payment, users should confirm the account, amount, product, benefit content, term, and rules. Unless required by law or confirmed in writing by Yunhai Youchuang as a system error, once virtual benefits are issued, received, used, consumed, or their term begins, refunds, cash-outs, transfers, or changes are not supported in principle."
pay_page_协议正文_068,"10.2 If, after payment, a user causes Yunhai Youchuang to fail to actually receive or to have corresponding funds deducted back through refunds, chargebacks, transaction cancellations, complaints to payment channels, bank card disputes, malicious reports, false payment screenshots, or other means, Yunhai Youchuang has the right to deduct, freeze, or reclaim the corresponding virtual benefits, and may restrict the account, suspend services, or recover losses as appropriate."
pay_page_协议正文_069,"10.3 If the corresponding virtual benefits have been consumed, transferred, drawn, used, expired, or cannot be fully recovered, Yunhai Youchuang may restrict account use, suspend services, deduct equivalent in-game benefits, refuse subsequent services, and require the user to compensate for the corresponding payments and reasonable losses."
pay_page_协议正文_070,"10.4 For duplicate payments, obvious erroneous payments, non-arrival, non-issuance, incorrect issuance, or missing issuance, the user should provide materials such as order number, payment screenshot, game account ID, game ID, and time. Yunhai Youchuang has the right to decide whether to investigate and how to handle the matter based on its own judgment, and may reissue, correct, refund, or take other action within a scope it deems appropriate."
pay_page_协议正文_071,Article 11 Protection of Minors
pay_page_协议正文_072,11.1 Minors should use the Service under the consent and guidance of their guardians. Minors who make payments or receive or use virtual benefits should obtain guardian consent.
pay_page_协议正文_073,"11.2 Yunhai Youchuang will take minor protection measures in accordance with laws, regulations, regulatory requirements, platform rules, and its own capabilities, including but not limited to identity verification, consumption limits, time restrictions, anti-addiction reminders, customer service checks, and handling of abnormal consumption."
pay_page_协议正文_074,"11.3 If guardians discover that minors have made payments without consent or are experiencing addiction or abnormal consumption, they should promptly contact Yunhai Youchuang through customer service channels and provide necessary materials such as proof of guardianship, payment records, and account information. Yunhai Youchuang will handle the matter in accordance with laws and regulations, taking into account the issuance and usage of virtual entitlements."
pay_page_协议正文_075,Article 12 User Code of Conduct
pay_page_协议正文_076,"12.1 Users shall not publish, disseminate, or engage in any content or conduct that violates laws, regulations, public order and good customs, platform rules, or game rules, including but not limited to politically illegal content, pornography and vulgarity, gambling and betting, fraud and traffic diversion, cheating software sales, account theft, abuse and harassment, malicious spamming, infringement of others' rights, and dissemination of false information."
pay_page_协议正文_077,"12.2 Users shall not use the service through cheats, scripts, bots, abnormal emulator operations, packet manipulation tools, acceleration or damage tools, exploits, data tampering, abnormal logins, bulk registration, multi-account farming, malicious refunds, payment fraud, or other methods that undermine fairness."
pay_page_协议正文_078,"12.3 Users shall not use the service to organize or participate in account trading, virtual item trading, lottery ticket trading, paid top-up services, paid boosting, money laundering, gambling, betting, wagering, rebate schemes, illegal fundraising, fraud, or other illegal or non-compliant activities."
pay_page_协议正文_079,"12.4 Users agree that Yunhai Youchuang may determine whether a user has engaged in violations based on server records, game logs, payment records, abnormal data, platform feedback, user reports, customer service records, and technical detection results."
pay_page_协议正文_080,Article 13 Violation Handling and Data Anomalies
pay_page_协议正文_081,"13.1 If a user violates this Agreement, game rules, or platform rules, Yunhai Youchuang has the right, based on its own judgment and server records, to take measures depending on the circumstances, including warnings, chat bans, function restrictions, suspension of distributions, freezing of entitlements, recovery of virtual items, data rollbacks, deduction of abnormal gains, login restrictions, account bans, denial of services, and submission of materials to the platform or relevant authorities."
pay_page_协议正文_082,"13.2 If Yunhai Youchuang discovers abnormal user data, payment anomalies, entitlement anomalies, lottery anomalies, ranking anomalies, drop anomalies, or other situations that clearly do not conform to normal game logic, it has the right to take temporary restrictive measures and conduct an investigation. If the investigation confirms a system error, Yunhai Youchuang may correct the data; if it confirms a user violation, it may handle the matter in accordance with this Agreement."
pay_page_协议正文_083,"13.3 Yunhai Youchuang has the right to recover, revoke, reset, or adjust any virtual items, virtual entitlements, rankings, points, lottery results, event rewards, or other gains obtained by the user through violations."
pay_page_协议正文_084,"13.4 If a user disagrees with the handling result, they may appeal through the customer service channels published by Yunhai Youchuang and submit materials such as account, order, screenshots, time, and explanation as required. Yunhai Youchuang will review the matter based on its records."
pay_page_协议正文_085,"Article 14 Service Maintenance, Modification, and Termination"
pay_page_协议正文_086,"14.1 Yunhai Youchuang may maintain, suspend, adjust, or update this Service for version updates, feature adjustments, server maintenance, security processing, bug fixes, platform adaptation, event configuration, or operational needs."
pay_page_协议正文_087,"14.2 Due to Dota 2 updates, changes in Arcade rules, platform review or restrictions, network failures, server failures, third-party service anomalies, force majeure, regulatory requirements, operational adjustments, or other reasons beyond Yunhai Youchuang's full control, this Service may become wholly or partially unavailable."
pay_page_协议正文_088,"14.3 Yunhai Youchuang has the right to modify, suspend, or terminate this Service based on operational conditions, platform rules, laws and regulations, technical conditions, or commercial arrangements. For major changes or termination, Yunhai Youchuang will make reasonable efforts to announce in advance and provide reasonable handling solutions within the scope permitted by laws and regulations."
pay_page_协议正文_089,"14.4 After termination of the service, unless otherwise provided by laws and regulations or separately announced by Yunhai Youchuang, unused virtual items and virtual benefits will lapse upon termination, and users may not request Yunhai Youchuang to convert them into cash, buy them back, or compensate them based on original price, market price, subjective value, or third-party transaction price."
pay_page_协议正文_090,Article 15 Personal Information and Record Retention
pay_page_协议正文_091,"15.1 Yunhai Youchuang will process user personal information and related data in accordance with laws, regulations, and the privacy policy. To provide this service, process orders, identify benefits, provide customer support, ensure security, handle disputes, and meet regulatory requirements, Yunhai Youchuang may process users' game account IDs, game IDs, payment order numbers, payment times, amounts, distribution records, login records, game logs, chat report materials, customer support records, and device or network-related information."
pay_page_协议正文_092,"15.2 Yunhai Youchuang will take reasonable security measures to protect user information and will not disclose users' personal information to unrelated third parties without legitimate reason, except where disclosure is required by laws and regulations, regulatory requirements, judicial or administrative authorities, platform rules, payment channel risk control, rights protection needs, or user authorization."
pay_page_协议正文_093,"15.3 Users may apply through customer service channels to query, correct, or delete relevant personal information, or withdraw authorization and cancel related service records in accordance with the law. Records that need to be retained due to legal obligations, dispute resolution, security audits, payment verification, anti-cheating, or platform requirements may be retained by Yunhai Youchuang within the necessary period as legally permitted."
pay_page_协议正文_094,Article 16 User Content and Community Content
pay_page_协议正文_095,"16.1 Users who publish content in this service's related group chats, communities, comments, feedback, submissions, map suggestions, or in-game content must ensure that such content is legal, truthful, and does not infringe upon third-party rights, and shall bear corresponding responsibility themselves."
pay_page_协议正文_096,"16.2 When users submit suggestions, feedback, ideas, screenshots, recordings, text, images, or other content to Yunhai Youchuang, users agree to irrevocably, globally, and free of charge grant Yunhai Youchuang and its affiliates the right to use, copy, distribute, modify, display, adapt, compile, sublicense, and otherwise reasonably utilize such content within the scope of development, operation, promotion, customer service, and rights protection of this service."
pay_page_协议正文_097,Article 17 Disclaimer and Limitation of Liability
pay_page_协议正文_098,"17.1 Yunhai Youchuang will maintain the stability, security, and fairness of the Service within a reasonable scope, but does not guarantee that the Service will be permanently uninterrupted, error-free, or fully meet users' personal expectations, nor does it guarantee that users will obtain specific virtual items, rankings, rewards, game results, or experience effects."
pay_page_协议正文_099,"17.2 Yunhai Youchuang shall not be liable, to the extent permitted by law, for losses caused by the user's own reasons, third-party platform issues, payment channel issues, network environment, device failures, account sharing, account trading, cheat scripts, violations, force majeure, or changes in laws and policies."
pay_page_协议正文_100,"17.3 The disclaimer or limitation of liability clauses in this Agreement do not exclude the consumer rights and interests users are entitled to by law, nor do they exempt Yunhai Youchuang from liability arising from willful misconduct, gross negligence, or liability that laws and regulations expressly prohibit excluding."
pay_page_协议正文_101,Article 18 Notices and Agreement Changes
pay_page_协议正文_102,"18.1 Yunhai Youchuang may send notices to users through in-game announcements, game release pages, player groups, customer service messages, payment pages, website pages, or other reasonable means. Once a notice is published, it shall be deemed delivered to users within a reasonable scope."
pay_page_协议正文_103,"18.2 Yunhai Youchuang may modify this Agreement based on laws and regulations, platform rules, business adjustments, service changes, or risk control needs. After the Agreement is updated, if users continue to use the Service, make payments, or receive or use virtual benefits, they shall be deemed to have accepted the updated Agreement; if users do not agree, they should stop using the Service."
pay_page_协议正文_104,"Article 19 Complaints, Customer Service, and Dispute Resolution"
pay_page_协议正文_105,"19.1 If users have questions about orders, virtual benefits, lottery results, account handling, data anomalies, or other matters, they should first contact customer service through the channels published by Yunhai Youchuang and provide necessary materials."
pay_page_协议正文_106,"19.2 The formation, performance, interpretation, and dispute resolution of this Agreement shall be governed by the laws of the People's Republic of China, without excluding cases where other laws are mandatorily applicable."
pay_page_协议正文_107,"19.3 In the event of any dispute arising from this Agreement or the Service, both parties shall first negotiate in good faith; if negotiation fails, either party may file a lawsuit in a competent people's court at the location of Yunhai Youchuang in accordance with the law. If the user, as a consumer, is legally entitled to other statutory jurisdictional rights, statutory provisions shall prevail."
pay_page_协议正文_108,"Article 20 Policy Disclosure, Refund, and Payment Dispute Handling"
pay_page_协议正文_109,"20.1 Yunhai Youchuang may publish the ""Privacy Policy,"" ""User Service Agreement,"" ""Sponsorship Mall and Virtual Benefits Rules,"" ""Refund and Payment Exception Handling Rules,"" and other terms to users in-game, on the sponsorship mall page, or on relevant announcement pages. Users may review the relevant terms before payment; by paying, claiming, or using virtual benefits, users are deemed to have read and accepted the relevant rules."
pay_page_协议正文_110,"20.2 In terms of privacy and data, Yunhai Youchuang only processes necessary information such as user game account ID, game ID, order number, payment time, amount, virtual benefits issuance records, game logs, and customer service communication records for necessary purposes such as account identification, order processing, virtual benefits issuance, customer service handling, security risk control, and dispute resolution. Yunhai Youchuang will not collect users' sensitive information for unrelated purposes, nor will it sell users' personal information."
pay_page_协议正文_111,"20.3 After payment, users obtain in-game virtual benefits, including but not limited to attribute items, skins, lottery tickets, monthly cards, etc. Such virtual benefits can only be used in the designated Dota 2 Arcade custom map, have no real-world monetary value, and do not support withdrawal, redemption, resale, or exchange for RMB, physical goods, or other real-world property rights."
pay_page_协议正文_112,"20.4 In cases such as non-arrival, duplicate payment, incorrect delivery, missing delivery, or system errors, users may submit their game account ID, game ID, order number, payment screenshot, payment time, and problem description through customer service channels. Yunhai Youchuang will verify based on payment channel records, order records, game server records, and virtual benefits issuance records, and decide whether to reissue, correct, refund, or not handle based on the verification results."
pay_page_协议正文_113,"20.5 If the virtual entitlements have already been issued, claimed, used, consumed, or their validity period has begun, they are generally not eligible for refund, cash conversion, transfer, or modification, unless otherwise required by law or confirmed in writing by Yunhai Youchuang as a system error."
pay_page_协议正文_114,"20.6 If the user's payment is refunded through chargeback, transaction reversal, malicious complaints to the payment channel, or other means, and the corresponding virtual entitlements have already been issued, claimed, or used, Yunhai Youchuang has the right to freeze, deduct, clear, or restrict the corresponding virtual entitlements, and may restrict the relevant account's continued use of this service as appropriate."
pay_page_协议正文_115,Article 21 Miscellaneous
pay_page_协议正文_116,21.1 The headings of the clauses in this Agreement are for convenience only and do not affect the interpretation of the clauses.
pay_page_协议正文_117,"21.2 If any provision of this Agreement is found to be invalid, partially invalid, or unenforceable, the validity of the other provisions shall not be affected."
pay_page_协议正文_118,21.3 The failure of Yunhai Youchuang to exercise or fully exercise any right under this Agreement in a timely manner shall not be deemed a waiver of such right.
pay_page_协议正文_119,"21.4 The version number and effective date of this Agreement shall be as stated on the payment page, in-game announcement, or other formal publication."