--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,SChineseBaseline,English,EnglishReviewStatus,Russian,RussianReviewStatus,Vietnamese,VietnameseReviewStatus,ReviewIssue,ReviewBatch,Note
DOTA_Tooltip_ability_item_0107_bonus_armor,+护甲,+Armor,approved,+Броня,approved,+Giáp,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0107_health_regen,+生命恢复,+Health Regen,approved,+Восстановление здоровья,approved,+Hồi máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0107_extra_backpack_slot_limit,+额外背包格子,+Extra Backpack Slots,approved,+Дополнительные слоты рюкзака,approved,+Ô ba lô phụ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0108_health_regen,+生命恢复,+Health Regen,approved,+Восстановление здоровья,approved,+Hồi máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0109_extra_backpack_slot_limit,+额外背包格子,+Extra Backpack Slots,approved,+Дополнительные слоты рюкзака,approved,+Ô ba lô phụ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0109_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0110_bonus_mana,+额外魔法值,+Bonus Mana,approved,+Дополнительная мана,approved,+Thêm mana,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0110_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+Hồi mana,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0111_bonus_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0111_evasion_pct,%+闪避,%+Evasion,approved,%+Уклонение,approved,%+Né tránh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0112_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0112_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0112_extra_backpack_slot_limit,+额外背包格子,+Extra Backpack Slots,approved,+Дополнительные слоты рюкзака,approved,+Thêm ô ba lô,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0113_base_movespeed,+基础移动速度,+Base Move Speed,approved,+Базовая скорость передвижения,approved,+Tốc độ di chuyển cơ bản,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0113_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0113_bonus_armor,+护甲,+Armor,approved,+Броня,approved,+Giáp,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0114_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0115_evasion_pct,%+闪避,%+Evasion,approved,%+Уклонение,approved,%+Né tránh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0115_base_movespeed,+基础移动速度,+Base Move Speed,approved,+Базовая скорость передвижения,approved,+Tốc độ di chuyển cơ bản,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0116_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0116_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0117_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0117_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0118_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+Hồi mana,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0119_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0119_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+ Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0120_bonus_armor,+护甲,+Armor,approved,+Броня,approved,+ Giáp,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0121_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+ Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0121_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+ Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0121_health_regen,+生命恢复,+Health Regen,approved,+Восстановление здоровья,approved,+ Hồi máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0122_extra_backpack_slot_limit,+额外背包格子,+Extra Backpack Slots,approved,+Дополнительные слоты рюкзака,approved,+ Ô ba lô bổ sung,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0123_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+ Hồi mana,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0123_base_magic_resistance,+魔法抗性,+Magic Resistance,approved,+Сопротивление магии,approved,+ Kháng phép,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0124_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+ Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0125_bonus_armor,+护甲,+Armor,approved,+Броня,approved,+ Giáp,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0125_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+ Hồi mana,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0126_bonus_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+ Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0126_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+ Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0127_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+ Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0127_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+ Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0128_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+ Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0128_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+ Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0129_crit_chance_pct,%+暴击,%+Crit Chance,approved,%+Шанс крита,approved,%+ Chí mạng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0129_crit_damage_pct,%+暴击伤害,%+Crit Damage,approved,%+Критический урон,approved,%+ Sát thương chí mạng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0130_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+ Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0130_crit_chance_pct,%+暴击,%+Crit Chance,approved,%+Шанс крита,approved,%+ Tỷ lệ chí mạng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0130_crit_damage_pct,%+暴击伤害,%+Crit Damage,approved,%+Критический урон,approved,%+ Sát thương chí mạng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0131_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+ Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0131_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+ Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0131_crit_chance_pct,%+暴击,%+Crit Chance,approved,%+Шанс крита,approved,%+ Tỷ lệ chí mạng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0131_crit_damage_pct,%+暴击伤害,%+Crit Damage,approved,%+Критический урон,approved,%+ Sát thương chí mạng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0132_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+ Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0132_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+ Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0133_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+ Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0134_bonus_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+ Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0134_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+ Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0135_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+ Thông minh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0135_magical_damage_add_pct,%+魔法伤害加成,%+Magical Damage Bonus,approved,%+Бонус к магическому урону,approved,%+ Sát thương phép thuật,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0136_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+ Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0137_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+ Thông minh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0137_base_mana,+基础魔法值,+Base Mana,approved,+Базовая мана,approved,+ Mana cơ bản,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0138_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+ Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0138_bonus_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+ Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0138_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+ Thông minh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0139_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+ Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0139_bonus_mana,+额外魔法值,+Bonus Mana,approved,+Дополнительная мана,approved,+ Mana tối đa,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0140_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+ Hồi mana,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0141_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+ Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0142_attack_lifesteal_pct,%+攻击吸血,%+Attack Lifesteal,approved,%+Вампиризм от атак,approved,%+ Hút máu tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0142_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+ Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0143_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+ Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0143_spell_lifesteal_pct,%+技能吸血,%+Spell Lifesteal,approved,%+Вампиризм от заклинаний,approved,%+ Hút máu kỹ năng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0144_crit_chance_pct,%+暴击,%+Crit Chance,approved,%+Шанс крита,approved,%+ Chí mạng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0144_base_movespeed,+基础移动速度,+Base Move Speed,approved,+Базовая скорость передвижения,approved,+ Tốc độ di chuyển cơ bản,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0145_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+ Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0146_health_regen,+生命恢复,+Health Regen,approved,+Восстановление здоровья,approved,+ Hồi máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0147_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+ Trí tuệ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0147_bonus_mana,+额外魔法值,+Bonus Mana,approved,+Дополнительная мана,approved,+ Mana tối đa,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0147_magical_damage_add_pct,%+魔法伤害加成,%+Magical Damage Bonus,approved,%+Бонус к магическому урону,approved,%+ Sát thương phép cộng thêm,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0148_bonus_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+ Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0148_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+ Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0148_bonus_armor,+护甲,+Armor,approved,+Броня,approved,+ Giáp,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0148_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+ Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0149_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+ Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0150_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+ Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0151_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0151_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0151_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+Hồi mana,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0152_base_movespeed,+基础移动速度,+Base Move Speed,approved,+Базовая скорость передвижения,approved,+Tốc độ di chuyển cơ bản,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0152_bonus_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0152_bonus_armor,+护甲,+Armor,approved,+Броня,approved,+Giáp,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0153_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+Trí tuệ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0153_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0153_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+Hồi mana,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0154_health_regen,+生命恢复,+Health Regen,approved,+Восстановление здоровья,approved,+Hồi máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0154_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+Hồi mana,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0155_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0155_attack_lifesteal_pct,%+普攻吸血,%+Attack Lifesteal,approved,%+Вампиризм от атак,approved,%+Hút máu tấn công thường,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0156_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0157_base_movespeed,+基础移动速度,+Base Move Speed,approved,+Базовая скорость передвижения,approved,+Tốc độ di chuyển cơ bản,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0157_extra_backpack_slot_limit,+额外背包格子,+Extra Backpack Slots,approved,+Дополнительные слоты рюкзака,approved,+Số ô ba lô phụ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0158_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0158_view_distance,+英雄视野,+View Distance,approved,+Обзор героя,approved,+Tầm nhìn anh hùng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0158_base_movespeed,+基础移动速度,+Base Move Speed,approved,+Базовая скорость передвижения,approved,+Tốc độ di chuyển cơ bản,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0159_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0159_bonus_mana,+额外魔法值,+Bonus Mana,approved,+Дополнительная мана,approved,+Năng lượng ma thuật cộng thêm,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0159_health_regen,+生命恢复,+Health Regen,approved,+Восстановление здоровья,approved,+Hồi phục máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0160_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0160_health_regen_pct,%+生命恢复百分比,%+health regen pct,approved,%+Процент восстановления здоровья,approved,%+Hồi phục máu theo phần trăm,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0161_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0161_evasion_pct,%+闪避,%+Evasion,approved,%+Уклонение,approved,%+Né tránh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0161_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+Hồi phục năng lượng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0162_health_regen,+生命恢复,+Health Regen,approved,+Восстановление здоровья,approved,+Hồi phục máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0162_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+Hồi phục năng lượng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0162_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0163_bonus_mana,+额外魔法值,+Bonus Mana,approved,+Дополнительная мана,approved,+Năng lượng ma thuật cộng thêm,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0164_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0165_bonus_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0165_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+Thông minh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0166_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0167_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0167_spell_amplify_pct,%+技能伤害,%+Spell Amplify,approved,%+Урон способностей,approved,%+Sát thương kỹ năng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0168_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+Thông minh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0168_mana_regen,+魔法恢复,+Mana Regen,approved,+Восстановление маны,approved,+Hồi phục năng lượng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0169_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0170_bonus_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0171_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+Trí tuệ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0172_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0173_base_movespeed,+基础移动速度,+Base Move Speed,approved,+Базовая скорость передвижения,approved,+Tốc độ di chuyển cơ bản,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0173_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0173_evasion_pct,%+闪避,%+Evasion,approved,%+Уклонение,approved,%+Né tránh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0174_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0174_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0174_damage_reduction_pct,%+伤害减免,%+Damage Reduction,approved,%+Снижение урона,approved,%+Giảm sát thương,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0176_base_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0176_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0176_bonus_movespeed_pct,%+移动速度,%+Move Speed Percentage,approved,%+Скорость передвижения,approved,%+Tốc độ di chuyển,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0177_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+Trí tuệ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0177_magical_damage_add_pct,%+魔法伤害加成,%+Magical Damage Bonus,approved,%+Бонус к магическому урону,approved,%+Sát thương phép cộng thêm,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0178_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0178_health_regen,+生命恢复,+Health Regen,approved,+Восстановление здоровья,approved,+Hồi máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0179_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0179_base_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0179_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0179_bonus_movespeed_pct,%+移动速度,%+Move Speed Percentage,approved,%+Скорость передвижения,approved,%+Tốc độ di chuyển,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0179_health_regen,+生命恢复,+Health Regen,approved,+Восстановление здоровья,approved,+Hồi máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0180_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0180_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+Trí tuệ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0180_spell_amplify_pct,%+技能伤害,%+Spell Amplify,approved,%+Урон способностей,approved,%+Sát thương kỹ năng,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0181_base_agility,+敏捷,+Agility Bonus,approved,+Ловкость,approved,+Nhanh nhẹn,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0181_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0181_bonus_movespeed_pct,%+移动速度,%+Move Speed Percentage,approved,%+Скорость передвижения,approved,%+Tốc độ di chuyển,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0181_bonus_intelligence,+智力,+Intelligence Bonus,approved,+Интеллект,approved,+Trí tuệ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0181_magical_damage_add_pct,%+魔法伤害加成,%+Magical Damage Bonus,approved,%+Бонус к магическому урону,approved,%+Sát thương phép cộng thêm,approved,,migration-2026-08,
